numMC,PL,PL%,
0,-0.0002,-0.0200,-0.14%
1,0.0003,0.0300,1.09%
2,0.0076,0.7600,
3,-0.0004,-0.0400,
4,-0.0027,-0.2700,
5,-0.012,-1.2000,
6,0.0024,0.2400,
7,-0.0044,-0.4400,
8,-0.0019,-0.1900,
9,0.0013,0.1300,
10,-0.001,-0.1000,
11,0.0029,0.2900,
12,-0.0122,-1.2200,
13,0.0047,0.4700,
14,-0.0034,-0.3400,
15,0.0004,0.0400,
16,0.0135,1.3500,
17,0.0045,0.4500,
18,0.0017,0.1700,
19,-0.011,-1.1000,
20,0.0001,0.0100,
21,0.0037,0.3700,
22,-0.0122,-1.2200,
23,0.0003,0.0300,
24,-0.0008,-0.0800,
25,-0.0017,-0.1700,
26,-0.015,-1.5000,
27,-0.0008,-0.0800,
28,0.0011,0.1100,
29,-0.0017,-0.1700,
30,0.0029,0.2900,
31,-0.0038,-0.3800,
32,-0.0043,-0.4300,
33,-0.0002,-0.0200,
34,-0.003,-0.3000,
35,-0.0052,-0.5200,
36,0.005,0.5000,
37,0.0003,0.0300,
38,-0.0027,-0.2700,
39,0.0046,0.4600,
40,0.0091,0.9100,
41,-0.0019,-0.1900,
42,0.0139,1.3900,
43,-0.0091,-0.9100,
44,-0.0078,-0.7800,
45,-0.0094,-0.9400,
46,-0.0019,-0.1900,
47,-0.0046,-0.4600,
48,0.0018,0.1800,
49,-0.0001,-0.0100,
50,-0.0002,-0.0200,
51,-0.0001,-0.0100,
52,0.0157,1.5700,
53,-0.0019,-0.1900,
54,0.0164,1.6400,
55,0.0001,0.0100,
56,0.0002,0.0200,
57,0.0004,0.0400,
58,-0.0003,-0.0300,
59,0.0041,0.4100,
60,0.0041,0.4100,
61,0.0071,0.7100,
62,-0.0011,-0.1100,
63,-0.0106,-1.0600,
64,0.0014,0.1400,
65,-0.0011,-0.1100,
66,0.0018,0.1800,
67,0.0037,0.3700,
68,0.0041,0.4100,
69,0.027,2.7000,
70,-0.0012,-0.1200,
71,0.0036,0.3600,
72,-0.0021,-0.2100,
73,0.0004,0.0400,
74,-0.0013,-0.1300,
75,0.0029,0.2900,
76,-0.0004,-0.0400,
77,0.0007,0.0700,
78,-0.0011,-0.1100,
79,-0.0016,-0.1600,
80,-0.0016,-0.1600,
81,0.0023,0.2300,
82,-0.008,-0.8000,
83,-0.0001,-0.0100,
84,-0.0008,-0.0800,
85,-0.0009,-0.0900,
86,-0.0027,-0.2700,
87,-0.0022,-0.2200,
88,-0.0008,-0.0800,
89,0.0005,0.0500,
90,-0.0002,-0.0200,
91,-0.0006,-0.0600,
92,0.0011,0.1100,
93,-0.0136,-1.3600,
94,0.0004,0.0400,
95,-0.0093,-0.9300,
96,-0.0105,-1.0500,
97,-0.001,-0.1000,
98,0,0.0000,
99,0.0003,0.0300,
100,-0.0007,-0.0700,
101,-0.017,-1.7000,
102,-0.0068,-0.6800,
103,-0.0014,-0.1400,
104,0.001,0.1000,
105,-0.048,-4.8000,
106,-0.001,-0.1000,
107,0.0003,0.0300,
108,0.0012,0.1200,
109,0.0181,1.8100,
110,0.0079,0.7900,
111,0.017,1.7000,
112,0.0048,0.4800,
113,0.0028,0.2800,
114,-0.0035,-0.3500,
115,-0.0016,-0.1600,
116,0.0107,1.0700,
117,0.0053,0.5300,
118,0.0046,0.4600,
119,0.003,0.3000,
120,-0.0018,-0.1800,
121,-0.0031,-0.3100,
122,0.0032,0.3200,
123,0.0014,0.1400,
124,0.005,0.5000,
125,-0.001,-0.1000,
126,0.0148,1.4800,
127,-0.0008,-0.0800,
128,0.0033,0.3300,
129,-0.036,-3.6000,
130,-0.0018,-0.1800,
131,0.0003,0.0300,
132,-0.0098,-0.9800,
133,-0.0001,-0.0100,
134,0.0072,0.7200,
135,-0.0041,-0.4100,
136,-0.0064,-0.6400,
137,0.0028,0.2800,
138,-0.0144,-1.4400,
139,0.0106,1.0600,
140,0.0006,0.0600,
141,-0.0004,-0.0400,
142,0.0003,0.0300,
143,0.002,0.2000,
144,-0.0012,-0.1200,
145,-0.0235,-2.3500,
146,0.001,0.1000,
147,-0.0059,-0.5900,
148,0.0024,0.2400,
149,-0.0009,-0.0900,
150,-0.0013,-0.1300,
151,0.0001,0.0100,
152,0.0001,0.0100,
153,0.1139,11.3900,
154,0.0017,0.1700,
155,-0.0072,-0.7200,
156,0.0102,1.0200,
157,-0.0064,-0.6400,
158,-0.0371,-3.7100,
159,0.0027,0.2700,
160,0.0005,0.0500,
161,0.0085,0.8500,
162,-0.0003,-0.0300,
163,0.0016,0.1600,
164,-0.0007,-0.0700,
165,-0.0009,-0.0900,
166,-0.0011,-0.1100,
167,0.0007,0.0700,
168,-0.0025,-0.2500,
169,0.0171,1.7100,
170,0.0002,0.0200,
171,0.009,0.9000,
172,-0.0137,-1.3700,
173,0.0003,0.0300,
174,-0.0016,-0.1600,
175,-0.0051,-0.5100,
176,0.002,0.2000,
177,-0.001,-0.1000,
178,0.0004,0.0400,
179,0,0.0000,
180,0.0001,0.0100,
181,0.001,0.1000,
182,0.001,0.1000,
183,-0.0107,-1.0700,
184,-0.0021,-0.2100,
185,-0.0029,-0.2900,
186,0.0027,0.2700,
187,-0.0009,-0.0900,
188,0.0003,0.0300,
189,0.001,0.1000,
190,0.0045,0.4500,
191,0.009,0.9000,
192,-0.0146,-1.4600,
193,0.0044,0.4400,
194,0.0023,0.2300,
195,0.0011,0.1100,
196,0.0004,0.0400,
197,0.0029,0.2900,
198,-0.0051,-0.5100,
199,-0.0021,-0.2100,
200,0.0129,1.2900,
201,-0.0029,-0.2900,
202,-0.0006,-0.0600,
203,0.0021,0.2100,
204,0.0037,0.3700,
205,-0.0024,-0.2400,
206,-0.0082,-0.8200,
207,-0.0028,-0.2800,
208,-0.0059,-0.5900,
209,-0.0002,-0.0200,
210,-0.0052,-0.5200,
211,0.0027,0.2700,
212,-0.0071,-0.7100,
213,0.0006,0.0600,
214,-0.0036,-0.3600,
215,-0.0072,-0.7200,
216,-0.0018,-0.1800,
217,-0.0075,-0.7500,
218,0.0031,0.3100,
219,-0.0005,-0.0500,
220,-0.003,-0.3000,
221,0.0005,0.0500,
222,0.0016,0.1600,
223,0.0001,0.0100,
224,0.0056,0.5600,
225,0.007,0.7000,
226,-0.0063,-0.6300,
227,-0.0008,-0.0800,
228,-0.0025,-0.2500,
229,-0.0015,-0.1500,
230,-0.0001,-0.0100,
231,0.0018,0.1800,
232,0.0009,0.0900,
233,-0.0015,-0.1500,
234,-0.0011,-0.1100,
235,0.0019,0.1900,
236,-0.0024,-0.2400,
237,-0.0006,-0.0600,
238,0.0028,0.2800,
239,-0.0002,-0.0200,
240,0.0168,1.6800,
241,0.0023,0.2300,
242,0.0016,0.1600,
243,0.0111,1.1100,
244,0.0002,0.0200,
245,0.0005,0.0500,
246,0.0134,1.3400,
247,0.0046,0.4600,
248,-0.0012,-0.1200,
249,-0.0031,-0.3100,
250,-0.0476,-4.7600,
251,0.0004,0.0400,
252,0.005,0.5000,
253,0.0147,1.4700,
254,-0.0018,-0.1800,
255,0.0013,0.1300,
256,-0.0012,-0.1200,
257,0.0005,0.0500,
258,0.0032,0.3200,
259,-0.0066,-0.6600,
260,-0.0011,-0.1100,
261,0,0.0000,
262,-0.0143,-1.4300,
263,-0.0025,-0.2500,
264,0.0012,0.1200,
265,0.007,0.7000,
266,0.0007,0.0700,
267,0.0163,1.6300,
268,0.0115,1.1500,
269,0.0002,0.0200,
270,0.0009,0.0900,
271,0.0019,0.1900,
272,0.0015,0.1500,
273,0.0006,0.0600,
274,0.0002,0.0200,
275,-0.0021,-0.2100,
276,-0.0048,-0.4800,
277,-0.0003,-0.0300,
278,-0.0014,-0.1400,
279,-0.0022,-0.2200,
280,-0.0107,-1.0700,
281,-0.0068,-0.6800,
282,0.0039,0.3900,
283,0.0014,0.1400,
284,-0.0003,-0.0300,
285,-0.0129,-1.2900,
286,0.0017,0.1700,
287,0.0025,0.2500,
288,0.002,0.2000,
289,0.0005,0.0500,
290,-0.0071,-0.7100,
291,-0.012,-1.2000,
292,-0.0032,-0.3200,
293,-0.0057,-0.5700,
294,0.0279,2.7900,
295,-0.0005,-0.0500,
296,-0.0001,-0.0100,
297,0.0011,0.1100,
298,-0.0064,-0.6400,
299,0.0014,0.1400,
300,0.0005,0.0500,
301,0.001,0.1000,
302,-0.0033,-0.3300,
303,0.0124,1.2400,
304,0.0017,0.1700,
305,0.0046,0.4600,
306,-0.0018,-0.1800,
307,-0.0055,-0.5500,
308,-0.0024,-0.2400,
309,-0.0034,-0.3400,
310,0.0002,0.0200,
311,0.0011,0.1100,
312,0.0207,2.0700,
313,-0.0175,-1.7500,
314,0.0036,0.3600,
315,0.0046,0.4600,
316,0.0027,0.2700,
317,-0.0031,-0.3100,
318,-0.0021,-0.2100,
319,-0.0031,-0.3100,
320,0.0013,0.1300,
321,-0.0005,-0.0500,
322,-0.0022,-0.2200,
323,-0.0093,-0.9300,
324,-0.0052,-0.5200,
325,0.0005,0.0500,
326,0.0006,0.0600,
327,0.0179,1.7900,
328,0.0034,0.3400,
329,0.002,0.2000,
330,-0.005,-0.5000,
331,-0.0012,-0.1200,
332,-0.0043,-0.4300,
333,0.0077,0.7700,
334,0.0032,0.3200,
335,0.0046,0.4600,
336,0.0012,0.1200,
337,-0.0071,-0.7100,
338,-0.0099,-0.9900,
339,0.004,0.4000,
340,0.0026,0.2600,
341,-0.0032,-0.3200,
342,-0.0042,-0.4200,
343,-0.0016,-0.1600,
344,-0.0093,-0.9300,
345,-0.0001,-0.0100,
346,0.0002,0.0200,
347,0.0111,1.1100,
348,-0.0037,-0.3700,
349,0.0024,0.2400,
350,0.0049,0.4900,
351,0.0022,0.2200,
352,0.0044,0.4400,
353,0.0021,0.2100,
354,-0.0007,-0.0700,
355,-0.004,-0.4000,
356,-0.0037,-0.3700,
357,0.0014,0.1400,
358,0.0028,0.2800,
359,0.0005,0.0500,
360,-0.0133,-1.3300,
361,0.0023,0.2300,
362,-0.0015,-0.1500,
363,0.0016,0.1600,
364,0.0012,0.1200,
365,0.0007,0.0700,
366,-0.0011,-0.1100,
367,-0.004,-0.4000,
368,0.0021,0.2100,
369,0.0027,0.2700,
370,0.0023,0.2300,
371,-0.0047,-0.4700,
372,0.0009,0.0900,
373,-0.0014,-0.1400,
374,-0.0036,-0.3600,
375,-0.0005,-0.0500,
376,-0.0008,-0.0800,
377,-0.0063,-0.6300,
378,-0.0004,-0.0400,
379,-0.0063,-0.6300,
380,0.1122,11.2200,
381,0.0132,1.3200,
382,-0.004,-0.4000,
383,0.0019,0.1900,
384,0.0055,0.5500,
385,-0.0057,-0.5700,
386,-0.002,-0.2000,
387,0.0018,0.1800,
388,-0.0015,-0.1500,
389,-0.0044,-0.4400,
390,0.0029,0.2900,
391,0.0104,1.0400,
392,0.0065,0.6500,
393,0.0021,0.2100,
394,0,0.0000,
395,-0.0004,-0.0400,
396,0.0007,0.0700,
397,-0.0041,-0.4100,
398,0.0026,0.2600,
399,0,0.0000,
400,-0.0054,-0.5400,
401,0.0051,0.5100,
402,-0.001,-0.1000,
403,-0.0009,-0.0900,
404,-0.0019,-0.1900,
405,0.0025,0.2500,
406,0.0011,0.1100,
407,0.0002,0.0200,
408,-0.0067,-0.6700,
409,0.003,0.3000,
410,-0.0048,-0.4800,
411,-0.0101,-1.0100,
412,0.0033,0.3300,
413,0.0006,0.0600,
414,0.0005,0.0500,
415,0.0001,0.0100,
416,0.0001,0.0100,
417,0.0001,0.0100,
418,0.0003,0.0300,
419,-0.0011,-0.1100,
420,-0.0045,-0.4500,
421,-0.0045,-0.4500,
422,-0.003,-0.3000,
423,0.0004,0.0400,
424,-0.0009,-0.0900,
425,0.0059,0.5900,
426,0.0002,0.0200,
427,0.0055,0.5500,
428,0.013,1.3000,
429,0.0005,0.0500,
430,0.0004,0.0400,
431,0.0316,3.1600,
432,0.0064,0.6400,
433,-0.03,-3.0000,
434,-0.0004,-0.0400,
435,0.0013,0.1300,
436,-0.0032,-0.3200,
437,0.0012,0.1200,
438,-0.014,-1.4000,
439,0.0051,0.5100,
440,0.0002,0.0200,
441,0.0026,0.2600,
442,0.0083,0.8300,
443,-0.0064,-0.6400,
444,-0.0018,-0.1800,
445,0.0052,0.5200,
446,-0.0028,-0.2800,
447,0.0014,0.1400,
448,0.0009,0.0900,
449,-0.0005,-0.0500,
450,-0.0076,-0.7600,
451,-0.0005,-0.0500,
452,0.0052,0.5200,
453,-0.0001,-0.0100,
454,-0.0453,-4.5300,
455,-0.0026,-0.2600,
456,-0.0048,-0.4800,
457,-0.002,-0.2000,
458,-0.0028,-0.2800,
459,-0.0074,-0.7400,
460,0.0103,1.0300,
461,0.0012,0.1200,
462,-0.0011,-0.1100,
463,-0.0115,-1.1500,
464,0.0071,0.7100,
465,0,0.0000,
466,-0.0007,-0.0700,
467,-0.001,-0.1000,
468,-0.0071,-0.7100,
469,0.0004,0.0400,
470,-0.0014,-0.1400,
471,-0.0045,-0.4500,
472,0.0001,0.0100,
473,0.0226,2.2600,
474,0.0223,2.2300,
475,-0.052,-5.2000,
476,0.0023,0.2300,
477,-0.0008,-0.0800,
478,0.0003,0.0300,
479,-0.001,-0.1000,
480,0.0039,0.3900,
481,0.002,0.2000,
482,-0.0076,-0.7600,
483,0.0009,0.0900,
484,-0.0004,-0.0400,
485,0.0044,0.4400,
486,0.001,0.1000,
487,-0.0002,-0.0200,
488,0.0039,0.3900,
489,0.0023,0.2300,
490,0.0011,0.1100,
491,-0.0023,-0.2300,
492,0.0057,0.5700,
493,-0.0008,-0.0800,
494,-0.0035,-0.3500,
495,-0.0015,-0.1500,
496,-0.0055,-0.5500,
497,-0.0036,-0.3600,
498,0.0014,0.1400,
499,0.0072,0.7200,
500,-0.0002,-0.0200,
501,-0.0036,-0.3600,
502,0.0073,0.7300,
503,0.0013,0.1300,
504,0.0007,0.0700,
505,0.0001,0.0100,
506,0.0033,0.3300,
507,-0.0159,-1.5900,
508,-0.0044,-0.4400,
509,-0.0037,-0.3700,
510,-0.0016,-0.1600,
511,0.0001,0.0100,
512,-0.0071,-0.7100,
513,-0.001,-0.1000,
514,0.0036,0.3600,
515,0.0019,0.1900,
516,0.0031,0.3100,
517,-0.0006,-0.0600,
518,-0.007,-0.7000,
519,0.002,0.2000,
520,-0.0001,-0.0100,
521,0.0069,0.6900,
522,0.0048,0.4800,
523,0.0043,0.4300,
524,-0.0025,-0.2500,
525,-0.0172,-1.7200,
526,-0.0025,-0.2500,
527,-0.0003,-0.0300,
528,-0.0035,-0.3500,
529,0.0016,0.1600,
530,0.0001,0.0100,
531,-0.0158,-1.5800,
532,0,0.0000,
533,0.0045,0.4500,
534,-0.0005,-0.0500,
535,-0.0004,-0.0400,
536,-0.003,-0.3000,
537,0.0091,0.9100,
538,-0.0019,-0.1900,
539,0.0032,0.3200,
540,-0.0007,-0.0700,
541,-0.0024,-0.2400,
542,-0.0014,-0.1400,
543,0.0101,1.0100,
544,0.0075,0.7500,
545,-0.0025,-0.2500,
546,-0.0003,-0.0300,
547,-0.0022,-0.2200,
548,-0.0043,-0.4300,
549,-0.0026,-0.2600,
550,0.0015,0.1500,
551,0.0067,0.6700,
552,0.0018,0.1800,
553,0.0392,3.9200,
554,0.0043,0.4300,
555,-0.001,-0.1000,
556,-0.004,-0.4000,
557,0,0.0000,
558,0.0005,0.0500,
559,0.0043,0.4300,
560,0.0002,0.0200,
561,-0.0033,-0.3300,
562,-0.012,-1.2000,
563,-0.0015,-0.1500,
564,0.0158,1.5800,
565,0.0014,0.1400,
566,0.0002,0.0200,
567,0.0006,0.0600,
568,-0.0019,-0.1900,
569,0.0006,0.0600,
570,-0.0006,-0.0600,
571,0.0048,0.4800,
572,-0.0065,-0.6500,
573,-0.0013,-0.1300,
574,-0.0029,-0.2900,
575,-0.005,-0.5000,
576,0.0024,0.2400,
577,-0.0009,-0.0900,
578,0.0046,0.4600,
579,-0.0013,-0.1300,
580,0.0015,0.1500,
581,0.0036,0.3600,
582,0.0016,0.1600,
583,-0.0028,-0.2800,
584,-0.0023,-0.2300,
585,-0.0013,-0.1300,
586,-0.0022,-0.2200,
587,0.0004,0.0400,
588,0.0022,0.2200,
589,0.0005,0.0500,
590,-0.0023,-0.2300,
591,-0.0004,-0.0400,
592,-0.0017,-0.1700,
593,0.0049,0.4900,
594,0.0006,0.0600,
595,0.0025,0.2500,
596,-0.0008,-0.0800,
597,-0.0001,-0.0100,
598,0.0007,0.0700,
599,-0.0055,-0.5500,
600,0.0043,0.4300,
601,-0.006,-0.6000,
602,0.0068,0.6800,
603,0.0033,0.3300,
604,-0.0117,-1.1700,
605,-0.0012,-0.1200,
606,-0.0131,-1.3100,
607,-0.0021,-0.2100,
608,0.0037,0.3700,
609,-0.0158,-1.5800,
610,-0.1249,-12.4900,
611,0.0019,0.1900,
612,-0.0013,-0.1300,
613,-0.0219,-2.1900,
614,0,0.0000,
615,-0.0366,-3.6600,
616,0.0005,0.0500,
617,-0.0025,-0.2500,
618,-0.0056,-0.5600,
619,0.0004,0.0400,
620,0.0015,0.1500,
621,0.0016,0.1600,
622,0.0153,1.5300,
623,-0.0028,-0.2800,
624,0.0034,0.3400,
625,0.0018,0.1800,
626,-0.0001,-0.0100,
627,0.0028,0.2800,
628,-0.0005,-0.0500,
629,-0.0104,-1.0400,
630,-0.0013,-0.1300,
631,-0.0005,-0.0500,
632,0.0009,0.0900,
633,-0.0003,-0.0300,
634,0.0009,0.0900,
635,-0.0025,-0.2500,
636,0.0034,0.3400,
637,0.0012,0.1200,
638,0.0048,0.4800,
639,-0.002,-0.2000,
640,0.0033,0.3300,
641,-0.0048,-0.4800,
642,-0.0001,-0.0100,
643,0.0004,0.0400,
644,0.0004,0.0400,
645,-0.0048,-0.4800,
646,0.0024,0.2400,
647,0.0002,0.0200,
