numMC,PL,,,,
0,-0.000177866,0,-0.139%,,9371
1,0.000261388,0,1.093%,,
2,0.00761437,0,,,
3,-0.000360072,0,,,
4,-0.00271244,0,,,
5,-0.0119714,0,,,
6,0.00244676,0,,,
7,-0.00444772,0,,,
8,-0.00189012,0,,,
9,0.00127698,0,,,
10,-0.00104339,0,,,
11,0.00292568,0,,,
12,-0.0122378,1,,,
13,0.00472859,0,,,
14,-0.00335339,0,,,
15,0.000355514,0,,,
16,0.0135378,0,,,
17,0.00450091,0,,,
18,0.00173746,0,,,
19,-0.0110465,0,,,
20,8.47E-05,0,,,
21,0.00368216,0,,,
22,-0.0122195,1,,,
23,0.000269488,0,,,
24,-0.000756237,0,,,
25,-0.00165233,0,,,
26,-0.014989,1,,,
27,-0.000846689,0,,,
28,0.00105606,0,,,
29,-0.00171282,0,,,
30,0.00293073,0,,,
31,-0.00384079,0,,,
32,-0.00433004,0,,,
33,-0.000249494,0,,,
34,-0.00299705,0,,,
35,-0.00517987,0,,,
36,0.00504526,0,,,
37,0.000289742,0,,,
38,-0.00266217,0,,,
39,0.004649,0,,,
40,0.00914411,0,,,
41,-0.00188144,0,,,
42,0.0138745,0,,,
43,-0.00914755,0,,,
44,-0.00777234,0,,,
45,-0.00938495,0,,,
46,-0.0018615,0,,,
47,-0.00462836,0,,,
48,0.00178617,0,,,
49,-0.000124111,0,,,
50,-0.000218395,0,,,
51,-8.62E-05,0,,,
52,0.0156623,0,,,
53,-0.00193058,0,,,
54,0.0164361,0,,,
55,0.000114038,0,,,
56,0.000212962,0,,,
57,0.000448935,0,,,
58,-0.00034054,0,,,
59,0.004054,0,,,
60,0.00411972,0,,,
61,0.00711405,0,,,
62,-0.00105712,0,,,
63,-0.0105535,0,,,
64,0.00142486,0,,,
65,-0.00114833,0,,,
66,0.00182611,0,,,
67,0.00369746,0,,,
68,0.00410523,0,,,
69,0.0270448,0,,,
70,-0.00119016,0,,,
71,0.00357307,0,,,
72,-0.00211978,0,,,
73,0.000365202,0,,,
74,-0.00132666,0,,,
75,0.00291477,0,,,
76,-0.000413513,0,,,
77,0.000673809,0,,,
78,-0.00112919,0,,,
79,-0.00160799,0,,,
80,-0.00160599,0,,,
81,0.00232262,0,,,
82,-0.00798977,0,,,
83,-5.32E-05,0,,,
84,-0.000809005,0,,,
85,-0.000922931,0,,,
86,-0.00270137,0,,,
87,-0.00215404,0,,,
88,-0.000801242,0,,,
89,0.000510455,0,,,
90,-0.000168466,0,,,
91,-0.000562649,0,,,
92,0.00106939,0,,,
93,-0.0136082,1,,,
94,0.000423874,0,,,
95,-0.00925523,0,,,
96,-0.0104912,0,,,
97,-0.000971581,0,,,
98,-6.11E-06,0,,,
99,0.000308981,0,,,
100,-0.000704521,0,,,
101,-0.0170436,1,,,
102,-0.00678919,0,,,
103,-0.00137957,0,,,
104,0.00103235,0,,,
105,-0.0480435,1,,,
106,-0.00101958,0,,,
107,0.000266802,0,,,
108,0.00120015,0,,,
109,0.0180508,0,,,
110,0.00791352,0,,,
111,0.0170028,0,,,
112,0.00484254,0,,,
113,0.002831,0,,,
114,-0.00348,0,,,
115,-0.0015541,0,,,
116,0.0106881,0,,,
117,0.00531305,0,,,
118,0.00455884,0,,,
119,0.002959,0,,,
120,-0.00180706,0,,,
121,-0.00305624,0,,,
122,0.00316876,0,,,
123,0.00141733,0,,,
124,0.00500144,0,,,
125,-0.000980666,0,,,
126,0.0148117,0,,,
127,-0.000839158,0,,,
128,0.00334496,0,,,
129,-0.0360025,1,,,
130,-0.00176187,0,,,
131,0.000324207,0,,,
