numMC,PL ELS,,1.000,PL PUT,,,,,,total,,,
0,-0.000177866,0.0648119,0.00021806, 0.0000402 ,,-0.03%, 0.052 ,0.018%,,-0.017%,,,-0.124891
1,0.000261388,-0.124738,-0.000419682,-0.0001583 ,,1.22%, 0.856 ,0.288%,,1.181%,,,0.21353
2,0.00761437,-1.60971,-0.005415887, 0.0021985 ,,,,,,,,,
3,-0.000360072,0.070442,0.000237003,-0.0001231 ,,,,,,,,,
4,-0.00271244,0.418834,0.001409172,-0.0013033 ,,,,,,,,,
5,-0.0119714,1.2915,0.004345266,-0.0076261 ,,,,,,,,,
6,0.00244676,0.0730331,0.000245721, 0.0026925 ,,,,,,,,,
7,-0.00444772,1.3928,0.004686091, 0.0002384 ,,,,,,,,,
8,-0.00189012,0.550668,0.001852729,-0.0000374 ,,,,,,,,,
9,0.00127698,-0.594979,-0.002001813,-0.0007248 ,,,,,,,,,
10,-0.00104339,0.222376,0.000748187,-0.0002952 ,,,,,,,,,
11,0.00292568,0.281698,0.000947776, 0.0038735 ,,,,,,,,,
12,-0.0122378,1.85206,0.006231276,-0.006006524,,,,,,,,,
13,0.00472859,-0.894583,-0.003009834,0.001718756,,,,,,,,,
14,-0.00335339,1.70974,0.005752439,0.002399049,,,,,,,,,
15,0.000355514,0.360457,0.001212762,0.001568276,,,,,,,-0.02,,
16,0.0135378,-0.251742,-0.000846989,0.012690811,,,,,,,-0.0195,,
17,0.00450091,1.2929,0.004349976,0.008850886,,,,,,,-0.019,,
18,0.00173746,-0.175288,-0.000589758,0.001147702,,,,,,,-0.0185,,
19,-0.0110465,0.745196,0.00250722,-0.00853928,,,,,,,-0.018,,
20,8.47E-05,0.633553,0.002131596,0.00221634,,,,,,,-0.0175,,
21,0.00368216,-0.303082,-0.001019723,0.002662437,,,,,,,-0.017,,
22,-0.0122195,-0.189394,-0.000637218,-0.012856718,,,,,,,-0.0165,,
23,0.000269488,-0.396312,-0.001333396,-0.001063908,,,,,,,-0.016,,
24,-0.000756237,0.471073,0.00158493,0.000828693,,,,,,,-0.0155,,
25,-0.00165233,0.682341,0.002295744,0.000643414,,,,,,,-0.015,,
26,-0.014989,0.571431,0.001922586,-0.013066414,,,,,,,-0.0145,,
27,-0.000846689,-0.522616,-0.001758347,-0.002605036,,,,,,,-0.014,,
28,0.00105606,-1.33563,-0.004493742,-0.003437682,,,,,,,-0.0135,,
29,-0.00171282,0.943504,0.00317443,0.00146161,,,,,,,-0.013,,
30,0.00293073,-1.60395,-0.005396508,-0.002465778,,,,,,,-0.0125,,
31,-0.00384079,1.24264,0.004180876,0.000340086,,,,,,,-0.012,,
32,-0.00433004,0.933934,0.003142231,-0.001187809,,,,,,,-0.0115,,
33,-0.000249494,-0.41342,-0.001390956,-0.00164045,,,,,,,-0.011,,
34,-0.00299705,1.09066,0.003669538,0.000672488,,,,,,,-0.0105,,
35,-0.00517987,1.77368,0.005967566,0.000787696,,,,,,,-0.01,,
36,0.00504526,-0.1497,-0.000503667,0.004541593,,,,,,,-0.0095,,
37,0.000289742,1.39644,0.004698338,0.00498808,,,,,,,-0.009,,
38,-0.00266217,-0.151768,-0.000510625,-0.003172795,,,,,,,-0.0085,,
39,0.004649,-1.31939,-0.004439102,0.000209898,,,,,,,-0.008,,
40,0.00914411,-1.21037,-0.004072303,0.005071807,,,,,,,-0.0075,,
41,-0.00188144,1.5946,0.005365049,0.003483609,,,,,,,-0.007,,
42,0.0138745,-0.188426,-0.000633961,0.013240539,,,,,,,-0.0065,,
43,-0.00914755,-0.38352,-0.001290357,-0.010437907,,,,,,,-0.006,,
44,-0.00777234,0.826198,0.002779752,-0.004992588,,,,,,,-0.0055,,
45,-0.00938495,-0.415889,-0.001399263,-0.010784213,,,,,,,-0.005,,
46,-0.0018615,-0.524737,-0.001765483,-0.003626983,,,,,,,-0.0045,,
47,-0.00462836,0.853535,0.002871728,-0.001756632,,,,,,,-0.004,,
48,0.00178617,-0.883583,-0.002972825,-0.001186655,,,,,,,-0.0035,,
49,-0.000124111,0.407335,0.001370483,0.001246372,,,,,,,-0.003,,
50,-0.000218395,0.00176238,5.92955E-06,-0.000212465,,,,,,,-0.0025,,
51,-8.62E-05,-0.172135,-0.00057915,-0.000665352,,,,,,,-0.002,,
52,0.0156623,0.0783289,0.000263538,0.015925838,,,,,,,-0.0015,,
53,-0.00193058,1.03901,0.003495761,0.001565181,,,,,,,-0.001,,
54,0.0164361,-0.437992,-0.001473629,0.014962471,,,,,,,-0.0005,,
55,0.000114038,0.0812474,0.000273358,0.000387396,,,,,,,1.38778E-17,,
56,0.000212962,-0.105636,-0.000355413,-0.000142451,,,,,,,0.0005,,
57,0.000448935,-0.0383869,-0.000129153,0.000319782,,,,,,,0.001,,
58,-0.00034054,-0.0151112,-5.08418E-05,-0.000391382,,,,,,,0.0015,,
59,0.004054,-0.0930412,-0.000313038,0.003740962,,,,,,,0.002,,
60,0.00411972,-0.418445,-0.001407863,0.002711857,,,,,,,0.0025,,
61,0.00711405,-1.00355,-0.003376455,0.003737595,,,,,,,0.003,,
62,-0.00105712,0.437635,0.001472428,0.000415308,,,,,,,0.0035,,
63,-0.0105535,2.00743,0.006754021,-0.003799479,,,,,,,0.004,,
64,0.00142486,0.145277,0.000488786,0.001913646,,,,,,,0.0045,,
65,-0.00114833,1.20839,0.004065642,0.002917312,,,,,,,0.005,,
66,0.00182611,-0.422702,-0.001422186,0.000403924,,,,,,,0.0055,,
67,0.00369746,-0.340547,-0.001145774,0.002551686,,,,,,,0.006,,
68,0.00410523,-0.632007,-0.002126395,0.001978835,,,,,,,0.0065,,
69,0.0270448,-1.0505,-0.003534419,0.023510381,,,,,,,0.007,,
70,-0.00119016,0.0874619,0.000294267,-0.000895893,,,,,,,0.0075,,
71,0.00357307,-0.413366,-0.001390775,0.002182295,,,,,,,0.008,,
72,-0.00211978,0.0178755,6.01423E-05,-0.002059638,,,,,,,0.0085,,
73,0.000365202,-0.167173,-0.000562455,-0.000197253,,,,,,,0.009,,
74,-0.00132666,0.664159,0.00223457,0.00090791,,,,,,,0.0095,,
75,0.00291477,-0.61838,-0.002080546,0.000834224,,,,,,,0.01,,
76,-0.000413513,0.61039,0.002053664,0.001640151,,,,,,,0.0105,,
77,0.000673809,-0.1608,-0.000541013,0.000132796,,,,,,,0.011,,
78,-0.00112919,-0.320456,-0.001078178,-0.002207368,,,,,,,0.0115,,
79,-0.00160799,0.885985,0.002980906,0.001372916,,,,,,,0.012,,
80,-0.00160599,0.284523,0.000957281,-0.000648709,,,,,,,0.0125,,
81,0.00232262,-1.46216,-0.004919454,-0.002596834,,,,,,,0.013,,
82,-0.00798977,0.160138,0.000538786,-0.007450984,,,,,,,0.0135,,
83,-5.32E-05,0.925107,0.003112533,0.003059363,,,,,,,0.014,,
84,-0.000809005,1.01099,0.003401487,0.002592482,,,,,,,0.0145,,
85,-0.000922931,0.0592084,0.000199207,-0.000723724,,,,,,,0.015,,
86,-0.00270137,1.3932,0.004687437,0.001986067,,,,,,,0.0155,,
87,-0.00215404,0.685553,0.002306551,0.000152511,,,,,,,0.016,,
88,-0.000801242,0.778693,0.002619921,0.001818679,,,,,,,0.0165,,
89,0.000510455,0.16564,0.000557298,0.001067753,,,,,,,0.017,,
90,-0.000168466,-0.0430521,-0.000144849,-0.000313315,,,,,,,0.0175,,
91,-0.000562649,1.29501,0.004357076,0.003794427,,,,,,,0.018,,
92,0.00106939,-0.495364,-0.001666658,-0.000597268,,,,,,,0.0185,,
93,-0.0136082,0.0500361,0.000168347,-0.013439853,,,,,,,,,
94,0.000423874,0.0622585,0.000209469,0.000633343,,,,,,,,,
95,-0.00925523,0.140811,0.00047376,-0.00878147,,,,,,,,,
96,-0.0104912,0.69364,0.00233376,-0.00815744,,,,,,,,,
97,-0.000971581,-0.308874,-0.00103921,-0.002010791,,,,,,,,,
98,-6.11E-06,-0.0451824,-0.000152017,-0.000158127,,,,,,,,,
99,0.000308981,-0.35429,-0.001192013,-0.000883032,,,,,,,,,
100,-0.000704521,-0.949256,-0.003193782,-0.003898303,,,,,,,,,
101,-0.0170436,-0.0477363,-0.000160609,-0.017204209,,,,,,,,,
102,-0.00678919,0.249327,0.000838863,-0.005950327,,,,,,,,,
103,-0.00137957,0.925478,0.003113781,0.001734211,,,,,,,,,
104,0.00103235,-0.112741,-0.000379318,0.000653032,,,,,,,,,
105,-0.0480435,1.35892,0.004572101,-0.043471399,,,,,,,,,
106,-0.00101958,0.540381,0.001818118,0.000798538,,,,,,,,,
107,0.000266802,0.196524,0.000661207,0.000928009,,,,,,,,,
108,0.00120015,-0.552645,-0.00185938,-0.00065923,,,,,,,,,
109,0.0180508,-0.809591,-0.002723878,0.015326922,,,,,,,,,
110,0.00791352,-0.723091,-0.002432848,0.005480672,,,,,,,,,
111,0.0170028,-0.434867,-0.001463115,0.015539685,,,,,,,,,
112,0.00484254,-0.0591514,-0.000199016,0.004643524,,,,,,,,,
113,0.002831,-1.45035,-0.004879719,-0.002048719,,,,,,,,,
114,-0.00348,0.66038,0.002221856,-0.001258144,,,,,,,,,
115,-0.0015541,-0.0290386,-9.77007E-05,-0.001651801,,,,,,,,,
116,0.0106881,-0.886529,-0.002982737,0.007705363,,,,,,,,,
117,0.00531305,-2.64283,-0.008891831,-0.003578781,,,,,,,,,
118,0.00455884,-1.47483,-0.004962082,-0.000403242,,,,,,,,,
119,0.002959,-2.2621,-0.007610861,-0.004651861,,,,,,,,,
120,-0.00180706,0.807672,0.002717421,0.000910361,,,,,,,,,
121,-0.00305624,0.869625,0.002925863,-0.000130377,,,,,,,,,
122,0.00316876,-1.29897,-0.004370399,-0.001201639,,,,,,,,,
123,0.00141733,-0.272303,-0.000916166,0.000501164,,,,,,,,,
124,0.00500144,-0.504613,-0.001697776,0.003303664,,,,,,,,,
125,-0.000980666,0.458076,0.001541202,0.000560536,,,,,,,,,
126,0.0148117,-0.52961,-0.001781879,0.013029821,,,,,,,,,
127,-0.000839158,0.637624,0.002145293,0.001306135,,,,,,,,,
128,0.00334496,-1.5773,-0.005306843,-0.001961883,,,,,,,,,
129,-0.0360025,0.261085,0.000878423,-0.035124077,,,,,,,,,
130,-0.00176187,1.59285,0.005359162,0.003597292,,,,,,,,,
131,0.000324207,-0.38626,-0.001299576,-0.000975369,,,,,,,,,
132,-0.00983218,0.632742,0.002128868,-0.007703312,,,,,,,,,
133,-7.90E-05,-0.674589,-0.002269662,-0.002348667,,,,,,,,,
