numMC,PL,,
0,0.118671,0.0949368,0.288828184
1,-0.537233,-0.4297864,0.800549477
2,-0.181931,-0.1455448,
3,1.74506,1.396048,
4,1.17257,0.938056,
5,1.51532,1.212256,
6,0.306206,0.2449648,
7,-0.195044,-0.1560352,
8,0.676272,0.5410176,
9,-0.924642,-0.7397136,
10,0.246748,0.1973984,
11,1.88376,1.507008,
12,1.10859,0.886872,
13,1.18058,0.944464,
14,-0.424017,-0.3392136,
15,2.5672,2.05376,
16,-0.0232155,-0.0185724,
17,-0.416409,-0.3331272,
18,-0.169939,-0.1359512,
19,0.483304,0.3866432,
20,0.0337191,0.02697528,
21,0.239795,0.191836,
22,1.47282,1.178256,
23,-0.819275,-0.65542,
24,-0.969073,-0.7752584,
25,1.71995,1.37596,
26,1.36367,1.090936,
27,-1.48295,-1.18636,
28,1.52657,1.221256,
29,0.820957,0.6567656,
30,-0.03043,-0.024344,
31,0.588727,0.4709816,
32,0.828841,0.6630728,
33,1.83885,1.47108,
34,0.56765,0.45412,
35,-0.926315,-0.741052,
36,0.294808,0.2358464,
37,0.534084,0.4272672,
38,0.48622,0.388976,
39,0.529723,0.4237784,
40,-2.22977,-1.783816,
41,0.413658,0.3309264,
42,1.07584,0.860672,
43,0.780514,0.6244112,
44,0.337939,0.2703512,
45,0.174687,0.1397496,
46,0.143634,0.1149072,
47,0.765247,0.6121976,
48,1.49159,1.193272,
49,0.348688,0.2789504,
50,1.54013,1.232104,
51,-0.406769,-0.3254152,
52,0.297141,0.2377128,
53,0.94383,0.755064,
54,2.00886,1.607088,
55,-1.01258,-0.810064,
56,0.939774,0.7518192,
57,-0.555306,-0.4442448,
58,1.06388,0.851104,
59,-2.84227,-2.273816,
60,0.259003,0.2072024,
61,0.345285,0.276228,
62,0.000795974,0.000636779,
63,1.72834,1.382672,
64,1.74784,1.398272,
65,0.0464984,0.03719872,
66,0.839313,0.6714504,
67,0.363569,0.2908552,
68,0.894772,0.7158176,
69,0.813819,0.6510552,
70,0.283342,0.2266736,
71,-0.142452,-0.1139616,
72,-0.0684896,-0.05479168,
73,-0.801278,-0.6410224,
74,1.27565,1.02052,
75,-2.44139,-1.953112,
76,0.478059,0.3824472,
77,0.327247,0.2617976,
78,0.475784,0.3806272,
79,0.0614952,0.04919616,
80,-0.172268,-0.1378144,
81,0.381699,0.3053592,
82,0.938045,0.750436,
