numMC,PL
0,0.118671
1,-0.537233
2,-0.181931
3,1.74506
4,1.17257
5,1.51532
6,0.306206
7,-0.195044
8,0.676272
9,-0.924642
10,0.246748
11,1.88376
12,1.10859
13,1.18058
14,-0.424017
15,2.5672
16,-0.0232155
17,-0.416409
18,-0.169939
19,0.483304
20,0.0337191
21,0.239795
22,1.47282
23,-0.819275
24,-0.969073
25,1.71995
26,1.36367
27,-1.48295
28,1.52657
29,0.820957
30,-0.03043
31,0.588727
32,0.828841
33,1.83885
34,0.56765
35,-0.926315
36,0.294808
37,0.534084
38,0.48622
39,0.529723
40,-2.22977
41,0.413658
42,1.07584
43,0.780514
44,0.337939
45,0.174687
46,0.143634
47,0.765247
48,1.49159
49,0.348688
50,1.54013
51,-0.406769
52,0.297141
53,0.94383
54,2.00886
55,-1.01258
56,0.939774
57,-0.555306
58,1.06388
59,-2.84227
60,0.259003
61,0.345285
62,0.000795974
63,1.72834
64,1.74784
65,0.0464984
66,0.839313
67,0.363569
68,0.894772
69,0.813819
70,0.283342
71,-0.142452
72,-0.0684896
73,-0.801278
74,1.27565
75,-2.44139
76,0.478059
77,0.327247
78,0.475784
79,0.0614952
80,-0.172268
81,0.381699
82,0.938045
83,-0.877237
84,2.07091
85,0.331941
86,0.12506
87,0.152202
88,0.307083
89,1.27451
90,-0.874737
91,1.97367
92,0.822218
93,1.95105
94,-1.52504
95,-0.997931
96,0.19367
97,-1.28923
98,-0.910067
99,2.03984
100,0.590312
101,1.31814
102,0.391283
103,-0.297341
104,0.312603
105,0.972148
106,-0.228956
107,-0.137594
108,-0.0264388
109,-2.06483
110,1.46115
111,0.0646221
112,0.745712
113,0.199134
114,0.807529
115,0.860649
116,0.387825
117,0.969911
118,-0.027571
119,1.14826
120,-0.410422
121,1.24253
122,0.541078
123,1.29344
124,-0.0068007
125,0.568367
126,1.52322
127,1.02345
128,2.41403
129,-0.597294
130,0.599825
131,-0.720865
132,0.268474
133,0.901123
134,0.686427
135,0.0439969
136,1.92197
137,0.924866
138,-0.968239
139,2.10197
140,1.90229
141,2.19037
142,1.1906
143,-1.98514
144,1.24609
145,0.500146
146,0.719299
147,1.31567
148,-1.92284
149,-0.0688527
150,0.985679
151,1.50395
152,-0.322287
153,0.726146
154,-1.2226
155,0.692524
156,0.0117116
157,-0.572672
158,0.115285
159,-0.210759
160,1.2354
161,0.322062
162,-0.319445
163,-0.611222
164,0.399696
165,0.183406
166,-1.01601
167,-1.46631
168,0.174931
169,2.45725
170,-0.59077
171,-0.575086
172,0.61598
173,-0.666772
174,1.78056
175,1.61439
176,-0.91938
177,1.72391
178,-0.234199
179,0.532711
180,-0.48376
181,0.840151
182,0.080592
183,0.37359
184,0.125845
185,-0.154099
186,-0.527346
187,1.81318
188,0.38611
189,-1.47842
190,1.28847
191,-0.195133
192,0.12851
193,-0.213174
194,0.17363
