tau,s_tmp,cash,delta,pv,r_for,q,PL,cash,asset,debt,PL,,,
0,297.22,0.577136,0.00138143,0.987724,,,0.0000%,,,,,,,
1,294.98,0.524263,0.00156076,0.984659,0.0179022,0,-0.0001%,0.5242655,0.460392985,-0.984659,0.0000%,,,
2,295.856,0.553243,0.0014629,0.986166,0.0179066,0,-0.0115%,0.5532412,0.432807742,-0.986166,-0.0117%,,,
3,294.573,0.526743,0.00155295,0.984438,0.0179111,0,-0.0238%,0.5267439,0.45745714,-0.984438,-0.0237%,,,
4,295.735,0.555722,0.00145505,0.986381,0.0179155,0,-0.0349%,0.5557213,0.430309212,-0.986381,-0.0350%,,,
5,291.233,0.470363,0.00174824,0.979385,0.0179199,0,0.0124%,0.4703627,0.50914518,-0.979385,0.0123%,,,
6,294.476,0.531428,0.00154095,0.984887,0.0179244,0,0.0313%,0.5314280,0.453772792,-0.984887,0.0314%,,,
7,293.163,0.503625,0.00163588,0.983026,0.0179288,0,0.0177%,0.5036241,0.479579488,-0.983026,0.0178%,,,
8,297.255,0.588581,0.00135016,0.989267,0.0179332,0,0.0655%,0.5885814,0.401341811,-0.989267,0.0656%,,,
9,292.396,0.507494,0.00162758,0.982188,0.0179377,0,0.1203%,0.5074934,0.475897882,-0.982188,0.1203%,,,
10,292.806,0.508754,0.00162336,0.983077,0.0179421,0,0.1007%,0.5087546,0.475329548,-0.983077,0.1007%,,,
11,291.625,0.479579,0.00172349,0.981314,0.0179465,0,0.0877%,0.4795786,0.502612771,-0.981314,0.0877%,,,
12,295.366,0.568561,0.0014223,0.987383,0.017951,0,0.1278%,0.5685639,0.420099062,-0.987383,0.1280%,,,
13,293.48,0.513381,0.00161042,0.984743,0.0179554,0,0.1263%,0.5133795,0.472626062,-0.984743,0.1263%,,,
14,294.869,0.543841,0.00150721,0.987047,0.0179598,0,0.1222%,0.5438397,0.444429505,-0.987047,0.1222%,,,
15,292.753,0.516246,0.00160156,0.98402,0.0179643,0,0.1086%,0.5162465,0.468861495,-0.98402,0.1088%,,,
16,293.219,0.517592,0.00159706,0.984949,0.0179687,0,0.0931%,0.5175909,0.468288336,-0.984949,0.0930%,,,
17,294.589,0.548005,0.0014939,0.987231,0.0179731,0,0.0861%,0.5480073,0.440086507,-0.987231,0.0863%,,,
18,297.611,0.603174,0.00130862,0.991583,0.0179776,0,0.1052%,0.6031734,0.389459707,-0.991583,0.1050%,,,
19,300.339,0.652675,0.0011439,0.995067,0.017982,0,0.1167%,0.6526756,0.343557782,-0.995067,0.1166%,,,
20,295.303,0.580767,0.00138752,0.988846,0.0179864,0,0.1659%,0.5807654,0.409738819,-0.988846,0.1658%,,,
21,294.32,0.55485,0.00147567,0.987637,0.0179909,0,0.1533%,0.5548513,0.434319194,-0.987637,0.1534%,,,
22,291.554,0.497356,0.00167296,0.983519,0.0179953,0,0.1596%,0.4973567,0.48775818,-0.983519,0.1596%,,,
23,288.394,0.456973,0.00181307,0.978236,0.0179997,0,0.1617%,0.4569736,0.52287851,-0.978236,0.1616%,,,
24,293.325,0.531385,0.00155947,0.986735,0.0180042,0,0.2081%,0.5313828,0.457431538,-0.986735,0.2079%,,,
25,292.608,0.532819,0.00155466,0.985843,0.0180086,0,0.1881%,0.5328187,0.454905953,-0.985843,0.1882%,,,
26,290.276,0.480317,0.00173562,0.982211,0.018013,0,0.1913%,0.4803170,0.503808831,-0.982211,0.1915%,,,
27,288.736,0.464269,0.00179128,0.979748,0.0180175,0,0.1729%,0.4642697,0.517207022,-0.979748,0.1729%,,,
28,286.501,0.448334,0.00184744,0.976054,0.0180219,0.0933255,0.1572%,0.4483333,0.529293407,-0.976054,0.1573%,,,
29,285.794,0.431365,0.00190739,0.975117,0.0180263,0.0999914,0.1370%,0.4313675,0.545120618,-0.975117,0.1371%,,,
30,285.977,0.434259,0.00189791,0.97586,0.0180307,0.106657,0.1157%,0.4342568,0.542758608,-0.97586,0.1155%,,,
31,277.69,0.324468,0.00229394,0.959106,0.0180352,0.113323,0.2368%,0.3244705,0.637004199,-0.959106,0.2369%,,,
32,277.644,0.327064,0.00228541,0.959496,0.0180396,0.119989,0.2096%,0.3270617,0.634530374,-0.959496,0.2096%,,,
33,276.335,0.304042,0.00236957,0.956963,0.018044,0.126655,0.1875%,0.3040430,0.654795126,-0.956963,0.1875%,,,
34,276.605,0.306758,0.00236067,0.958132,0.0180485,0.133321,0.1599%,0.3067583,0.652973125,-0.958132,0.1599%,,,
35,278.535,0.334558,0.00226094,0.962834,0.0180529,0.00388886,0.1476%,0.3345585,0.629750923,-0.962834,0.1475%,,,
36,279.104,0.361531,0.00216438,0.964387,0.0180573,0.00277777,0.1230%,0.3615296,0.604087116,-0.964387,0.1230%,,,
37,279.382,0.363272,0.00215822,0.965292,0.0180618,0.00166668,0.0948%,0.3632726,0.60296782,-0.965292,0.0948%,,,
38,278.727,0.365052,0.0021519,0.964143,0.0180662,0.000555594,0.0702%,0.3650525,0.599792631,-0.964143,0.0702%,,,
39,277.761,0.341398,0.00223712,0.962308,0.0180706,-0.000555494,0.0476%,0.3413984,0.621384688,-0.962308,0.0475%,,,
40,272.855,0.281017,0.00245847,0.950934,0.0180751,-0.00166658,0.0888%,0.2810157,0.670805832,-0.950934,0.0887%,,,
41,269.029,0.23416,0.00263267,0.941511,0.0180795,-0.00277767,0.0915%,0.2341610,0.708264577,-0.941511,0.0915%,,,
42,271.56,0.268975,0.00250448,0.948364,0.0180839,-0.00388876,0.0728%,0.2689753,0.680116589,-0.948364,0.0728%,,,
43,276.146,0.32419,0.0023046,0.959833,0.0180884,0.00198468,0.0761%,0.3241882,0.636406072,-0.959833,0.0761%,,,
44,273.294,0.290145,0.00242923,0.953367,0.0180928,0.00119107,0.0672%,0.2901475,0.663893984,-0.953367,0.0674%,,,
45,275.002,0.310283,0.00235606,0.957805,0.0180972,0.000397466,0.0399%,0.3102820,0.647921212,-0.957805,0.0398%,,,
46,272.203,0.275841,0.00248265,0.951255,0.0181017,-0.000396141,0.0369%,0.2758395,0.675784778,-0.951255,0.0369%,,,
47,272.97,0.293857,0.00241669,0.95334,0.0181061,-0.00118975,0.0201%,0.2938576,0.659683869,-0.95334,0.0201%,,,
48,272.979,0.294193,0.0024155,0.953564,0.0181105,-0.00198335,0.0008%,0.2941928,0.659380775,-0.953564,0.0010%,,,
49,275.902,0.333217,0.00227409,0.960699,0.018115,-0.00277696,-0.0056%,0.3332178,0.627425979,-0.960699,-0.0055%,,,
50,277.259,0.358528,0.00218288,0.963978,0.0181194,0.0024998,-0.0227%,0.3585267,0.605223126,-0.963978,-0.0228%,,,
51,279.136,0.383333,0.00209409,0.96825,0.0181238,0.00194425,-0.0382%,0.3833335,0.584535906,-0.96825,-0.0381%,,,
52,276.921,0.334821,0.00226935,0.963636,0.0181283,0.00138871,-0.0384%,0.3348211,0.628430671,-0.963636,-0.0384%,,,
53,275.579,0.313972,0.00234507,0.960782,0.0181327,0.000833159,-0.0558%,0.3139722,0.646252046,-0.960782,-0.0558%,,,
54,278.541,0.361079,0.00217601,0.967584,0.0181371,0.000277612,-0.0399%,0.3610782,0.606108001,-0.967584,-0.0398%,,,
55,279.091,0.386021,0.0020867,0.968957,0.0181416,-0.000277935,-0.0558%,0.3860221,0.58237919,-0.968957,-0.0556%,,,
56,276.863,0.337179,0.00226318,0.964322,0.018146,-0.000833482,-0.0555%,0.3371781,0.626590804,-0.964322,-0.0553%,,,
57,276.345,0.33761,0.00226167,0.963372,0.0181504,-0.00138903,-0.0761%,0.3376107,0.625001196,-0.963372,-0.0760%,,,
58,285.791,0.481733,0.00175742,0.982358,0.0181548,-0.00194458,0.1630%,0.4817335,0.502254819,-0.982358,0.1630%,,,
59,286.581,0.503593,0.00168121,0.983899,0.0181593,-0.00250012,0.1498%,0.5035939,0.481802843,-0.983899,0.1498%,,,
60,284.553,0.461424,0.00182952,0.980554,0.0181637,0.00453701,0.1464%,0.4614220,0.520595405,-0.980554,0.1463%,,,
61,281.407,0.416328,0.00198987,0.974859,0.0181681,0.00423455,0.1433%,0.4163293,0.559963347,-0.974859,0.1434%,,,
62,279.09,0.393003,0.00207354,0.970379,0.0181726,0.00393208,0.1329%,0.3930033,0.578704279,-0.970379,0.1329%,,,
63,277.798,0.368918,0.00216033,0.967845,0.018177,0.00362962,0.1209%,0.3689182,0.600135353,-0.967845,0.1209%,,,
64,280.379,0.418536,0.00198345,0.973433,0.0181814,0.00332716,0.1220%,0.4185353,0.556117728,-0.973433,0.1220%,,,
65,280.129,0.394989,0.0020676,0.973135,0.0181859,0.0030247,0.1049%,0.3949886,0.57919472,-0.973135,0.1048%,,,
66,278.906,0.395559,0.00206564,0.970827,0.0181903,0.00272223,0.0853%,0.3955596,0.57611939,-0.970827,0.0852%,,,
67,283.171,0.467247,0.00181256,0.979429,0.0181947,0.00241977,0.1084%,0.4672475,0.513264428,-0.979429,0.1083%,,,
68,280.506,0.42171,0.00197499,0.974514,0.0181992,0.00211731,0.1194%,0.4217107,0.553996545,-0.974514,0.1193%,,,
69,280.205,0.422322,0.0019729,0.974114,0.0182036,0.00181484,0.1024%,0.4223194,0.552816445,-0.974114,0.1022%,,,
70,282.563,0.44675,0.00188653,0.978906,0.018208,0.00151238,0.0907%,0.4467503,0.533063576,-0.978906,0.0908%,,,
71,283.299,0.47051,0.00180274,0.980463,0.0182125,0.00120992,0.0762%,0.4705117,0.510714439,-0.980463,0.0763%,,,
72,278.779,0.400413,0.00205427,0.971813,0.0182169,0.000907454,0.1289%,0.4004135,0.572687336,-0.971813,0.1288%,,,
73,281.511,0.42572,0.00196445,0.977506,0.0182213,0.000604991,0.1229%,0.4257193,0.553014284,-0.977506,0.1228%,,,
74,277.999,0.376431,0.00214183,0.970597,0.0182258,0.000302528,0.1261%,0.3764302,0.595426598,-0.970597,0.1260%,,,
75,272.449,0.293176,0.00244748,0.958073,0.0182302,6.45E-08,0.1916%,0.2931758,0.666813479,-0.958073,0.1916%,,,
76,272.799,0.311641,0.00237984,0.959132,0.0182346,-0.000302399,0.1729%,0.3116422,0.649217972,-0.959132,0.1728%,,,
77,274.979,0.329988,0.00231317,0.964511,0.0182391,-0.000604862,0.1552%,0.3299883,0.636073173,-0.964511,0.1551%,,,
78,276.626,0.352971,0.00223014,0.968466,0.0182435,-0.000907325,0.1421%,0.3529712,0.616914708,-0.968466,0.1420%,,,
