tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.575237,0.00138653,0.987342,,,-5.55112e-17
1,294.98,0.522827,0.0015643,0.984266,0.0179022,0,-1.22536e-06
2,295.856,0.551504,0.00146746,0.985774,0.0179066,0,-0.0001137
3,294.573,0.525232,0.00155674,0.98404,0.0179111,0,-0.00023546
4,295.735,0.553911,0.00145985,0.985985,0.0179155,0,-0.000345626
5,291.233,0.469398,0.00175013,0.978972,0.0179199,0,0.000122501
6,294.476,0.529795,0.00154511,0.984483,0.0179244,0,0.000310072
7,293.163,0.502247,0.00163917,0.982615,0.0179288,0,0.000175281
8,297.255,0.586384,0.00135621,0.988875,0.0179332,0,0.000647829
9,292.396,0.506026,0.00163113,0.98177,0.0179377,0,0.00119207
10,292.806,0.507247,0.00162704,0.982658,0.0179421,0,0.000997386
11,291.625,0.478359,0.00172619,0.98089,0.0179465,0,0.000868912
12,295.366,0.56643,0.00142809,0.986974,0.017951,0,0.00126629
13,293.48,0.511749,0.00161451,0.984323,0.0179554,0,0.00125159
14,294.869,0.541882,0.0015124,0.986631,0.0179598,0,0.00121087
15,292.753,0.514532,0.00160592,0.983593,0.0179643,0,0.00107611
16,293.219,0.515838,0.00160155,0.98452,0.0179687,0,0.000922106
17,294.589,0.545929,0.00149949,0.986809,0.0179731,0,0.000852851
18,297.611,0.600601,0.00131588,0.991179,0.0179776,0,0.00104162
19,300.339,0.64974,0.00115236,0.994684,0.017982,0,0.0011559
20,295.303,0.578322,0.00139432,0.988423,0.0179864,0,0.00164479
21,294.32,0.552605,0.00148179,0.987206,0.0179909,0,0.0015206
22,291.554,0.495655,0.00167722,0.983072,0.0179953,0,0.00158326
23,288.394,0.455699,0.00181585,0.977775,0.0179997,0,0.00160372
24,293.325,0.529282,0.00156507,0.986293,0.0180042,0,0.0020623
25,292.608,0.530674,0.0015604,0.985395,0.0180086,0,0.00186439
26,290.276,0.478692,0.00173957,0.98175,0.018013,0,0.0018967
27,288.736,0.462802,0.00179468,0.979277,0.0180175,0,0.00171435
28,286.501,0.447034,0.00185026,0.975576,0.0180219,0.0933255,0.0015592
29,285.794,0.430256,0.00190955,0.974633,0.0180263,0.0999914,0.0013603
30,285.977,0.433086,0.00190029,0.975374,0.0180307,0.106657,0.00115011
31,277.69,0.324845,0.00229074,0.958617,0.0180352,0.113323,0.00234476
32,277.644,0.327373,0.00228245,0.959004,0.0180396,0.119989,0.00207731
33,276.335,0.304688,0.00236539,0.956469,0.018044,0.126655,0.00185951
34,276.605,0.307333,0.00235675,0.957633,0.0180485,0.133321,0.00158833
35,278.535,0.334671,0.00225868,0.962326,0.0180529,0.00388886,0.00146641
36,279.104,0.36121,0.00216367,0.963874,0.0180573,0.00277777,0.00122453
37,279.382,0.362897,0.0021577,0.964775,0.0180618,0.00166668,0.000946261
38,278.727,0.364624,0.00215158,0.963622,0.0180662,0.000555594,0.000704125
39,277.761,0.341294,0.00223563,0.961783,0.0180706,-0.000555494,0.00048188
40,272.855,0.281838,0.00245358,0.950423,0.0180751,-0.00166658,0.000887875
41,269.029,0.235769,0.00262486,0.941018,0.0180795,-0.00277767,0.000914443
42,271.56,0.269942,0.00249904,0.94785,0.0180839,-0.00388876,0.000730493
43,276.146,0.324231,0.0023025,0.959295,0.0180884,0.00198468,0.000762742
44,273.294,0.290697,0.00242527,0.952833,0.0180928,0.00119107,0.000676088
45,275.002,0.310479,0.00235339,0.95726,0.0180972,0.000397466,0.000407324
46,272.203,0.276581,0.00247798,0.950717,0.0181017,-0.000396141,0.000377674
47,272.97,0.294281,0.00241318,0.952794,0.0181061,-0.00118975,0.000212366
48,272.979,0.294593,0.00241208,0.953017,0.0181105,-0.00198335,2.26463e-05
49,275.902,0.332986,0.00227296,0.96014,0.018115,-0.00277696,-4.07967e-05
50,277.259,0.3579,0.00218317,0.963413,0.0181194,0.0024998,-0.000208519
51,279.136,0.382329,0.00209573,0.967685,0.0181238,0.00194425,-0.000361376
52,276.921,0.334511,0.00226849,0.963067,0.0181283,0.00138871,-0.000364023
53,275.579,0.313965,0.00234311,0.960212,0.0181327,0.000833159,-0.000535286
54,278.541,0.36034,0.00217667,0.967012,0.0181371,0.000277612,-0.000378694
55,279.091,0.384905,0.00208872,0.968382,0.0181416,-0.000277935,-0.00053466
56,276.863,0.336759,0.00226268,0.963743,0.018146,-0.000833482,-0.000531577
57,276.345,0.337165,0.00226126,0.962789,0.0181504,-0.00138903,-0.000734964
58,285.791,0.479316,0.00176392,0.981805,0.0181548,-0.00194458,0.00162201
59,286.581,0.500907,0.00168865,0.98335,0.0181593,-0.00250012,0.00149131
60,284.553,0.459211,0.00183529,0.97999,0.0181637,0.00453701,0.00145772
61,281.407,0.414678,0.00199364,0.974275,0.0181681,0.00423455,0.00142781
62,279.09,0.391657,0.00207622,0.969785,0.0181726,0.00393208,0.00132526
63,277.798,0.367899,0.00216184,0.967246,0.018177,0.00362962,0.0012064
64,280.379,0.4168,0.00198751,0.972839,0.0181814,0.00332716,0.00121747
65,280.129,0.393559,0.00207057,0.972535,0.0181859,0.0030247,0.0010491
66,278.906,0.394102,0.00206871,0.970221,0.0181903,0.00272223,0.00085534
67,283.171,0.464821,0.00181905,0.97884,0.0181947,0.00241977,0.00108288
68,280.506,0.419855,0.00197945,0.97391,0.0181992,0.00211731,0.00119155
69,280.205,0.420439,0.00197745,0.973505,0.0182036,0.00181484,0.00102422
70,282.563,0.444525,0.00189229,0.978307,0.018208,0.00151238,0.000908448
71,283.299,0.467963,0.00180964,0.979866,0.0182125,0.00120992,0.000765367
72,278.779,0.398777,0.0020579,0.971191,0.0182169,0.000907454,0.00128628
73,281.511,0.423715,0.00196939,0.976893,0.0182213,0.000604991,0.00122687
74,277.999,0.375103,0.00214433,0.969967,0.0182258,0.000302528,0.00125845
75,272.449,0.293122,0.0024453,0.957438,0.0182302,6.44829e-08,0.00190427
76,272.799,0.311269,0.00237883,0.958493,0.0182346,-0.000302399,0.00171958
77,274.979,0.329308,0.00231329,0.963867,0.0182391,-0.000604862,0.0015459
78,276.626,0.351921,0.00223159,0.967821,0.0182435,-0.000907325,0.0014164
79,274.645,0.330688,0.00230896,0.963528,0.0182479,-0.00120979,0.00130439
80,276.339,0.35335,0.002227,0.967621,0.0182524,-0.00151225,0.00113707
81,279.072,0.406164,0.00203781,0.973683,0.0182568,-0.00181471,0.00117602
82,276.734,0.355104,0.00222238,0.96892,0.0182612,-0.00211718,0.00119204
83,281.098,0.433331,0.00194414,0.978138,0.0182657,-0.00241964,0.00168614
84,277.775,0.383892,0.00212218,0.971608,0.0182701,-0.0027221,0.00177331
85,280.17,0.435287,0.00193879,0.976725,0.0182745,-0.00302457,0.00175274
86,279.851,0.411195,0.00202494,0.9763,0.0182789,-0.00332703,0.00157667
87,281.612,0.43698,0.00193343,0.979923,0.0182834,-0.00362949,0.00153381
88,277.055,0.360847,0.00220828,0.970901,0.0182878,-0.00393196,0.0017617
89,279.695,0.414311,0.00201717,0.976611,0.0182922,-0.00423442,0.00189216
90,280.585,0.44008,0.00192538,0.97857,0.0182967,-0.00453688,0.00174225
91,283.134,0.488548,0.00175428,0.983533,0.0183011,0.00211756,0.00171227
92,284.946,0.511974,0.00167216,0.986896,0.0173885,0.00196633,0.0015543
93,287.475,0.534666,0.00159332,0.9912,0.0173732,0.00181511,0.00150621
94,288.092,0.556469,0.00151774,0.992349,0.0173578,0.00166389,0.00136727
95,290.471,0.577516,0.00144537,0.996026,0.0173425,0.00151266,0.00132929
96,288.753,0.55856,0.00151112,0.993718,0.0173271,0.00136144,0.00118332
97,289.778,0.579575,0.0014387,0.995414,0.0173118,0.00121022,0.0010641
98,291.311,0.60465,0.00135272,0.997743,0.0172964,0.00105899,0.000969003
99,290.803,0.605658,0.00134936,0.997214,0.0172811,0.000907772,0.000840208
100,294.285,0.66128,0.00116045,1.00181,0.0172658,0.000756548,0.000970346
101,293.59,0.662308,0.00115706,1.00115,0.0172504,0.000605325,0.000859245
102,296.739,0.71259,0.000987712,1.00479,0.0172351,0.000454102,0.000895421
103,297.972,0.736261,0.000908388,1.00615,0.0172197,0.000302879,0.000784815
104,299.445,0.737312,0.000904994,1.00764,0.0172044,0.000151655,0.000669837
105,301.043,0.780018,0.000763247,1.00911,0.017189,4.3195e-07,0.000677761
106,299.425,0.739644,0.000898208,1.00792,0.0171737,-0.000150791,0.000669977
107,298.491,0.740691,0.000894816,1.00725,0.0171584,-0.000302015,0.000533043
108,296.947,0.719183,0.000967364,1.00595,0.017143,-0.000453238,0.000487618
109,294.464,0.671327,0.00112999,1.00351,0.0171277,-0.000604461,0.000557026
110,296.177,0.697646,0.00104124,1.0055,0.0171123,-0.000755684,0.000539286
111,296.311,0.69867,0.00103789,1.00579,0.017097,-0.000906908,0.000416786
112,297.568,0.723692,0.000953909,1.00717,0.0170816,-0.00105813,0.000372296
113,297.175,0.724715,0.000950575,1.00697,0.0170663,-0.00120935,0.00023638
114,296.134,0.701833,0.00102796,1.0061,0.017051,-0.00136058,0.000149618
115,301.418,0.791933,0.000729141,1.01084,0.0170356,-0.0015118,0.000871903
116,301.88,0.793018,0.000725665,1.01132,0.0170203,-0.00166302,0.000764978
117,303.719,0.813174,0.000659419,1.01269,0.0170049,-0.00181425,0.000759622
118,302.726,0.814296,0.000655835,1.01218,0.0169896,-0.00196547,0.000654939
119,300.421,0.776291,0.000782462,1.01066,0.0169742,-0.00211669,0.000696982
120,299.083,0.755775,0.000851174,1.00974,0.0169589,-0.00226792,0.000611321
121,300.592,0.780419,0.000769667,1.01118,0.0169436,0.154889,0.000594698
122,298.831,0.761863,0.000832215,1.01005,0.0169282,0.157317,0.000502296
