tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.625516,0.00123562,0.992766,,,0
1,294.98,0.573599,0.00141172,0.990031,0.0179022,0,-2.01912e-06
2,295.856,0.602293,0.00131483,0.991408,0.0179066,0,-0.000113521
3,294.573,0.576274,0.00140326,0.989872,0.0179111,0,-0.000235057
4,295.735,0.60498,0.00130629,0.99164,0.0179155,0,-0.00034429
5,291.233,0.520588,0.00159617,0.985323,0.0179199,0,0.000121327
6,294.476,0.581252,0.00139025,0.990336,0.0179244,0,0.000310567
7,293.163,0.553827,0.00148389,0.988674,0.0179288,0,0.000175479
8,297.255,0.637818,0.00120143,0.9943,0.0179332,0,0.000649024
9,292.396,0.557879,0.00147493,0.987954,0.0179377,0,0.00118855
10,292.806,0.559241,0.00147037,0.988781,0.0179421,0,0.000993314
11,291.625,0.530336,0.00156958,0.987202,0.0179465,0,0.00086392
12,295.366,0.618676,0.00127059,0.992699,0.017951,0,0.00126417
13,293.48,0.564176,0.00145639,0.990349,0.0179554,0,0.0012487
14,294.869,0.594511,0.00135361,0.99244,0.0179598,0,0.00120861
15,292.753,0.567256,0.00144681,0.98974,0.0179643,0,0.00107313
16,293.219,0.568712,0.00144194,0.990597,0.0179687,0,0.000918727
17,294.589,0.599023,0.00133914,0.992669,0.0179731,0,0.000849953
18,297.611,0.653605,0.00115584,0.996556,0.0179776,0,0.0010394
19,300.339,0.702141,0.000994342,0.999627,0.017982,0,0.00115346
20,295.303,0.631834,0.00123254,0.994175,0.0179864,0,0.00163257
21,294.32,0.606336,0.00131928,0.993119,0.0179909,0,0.00150814
22,291.554,0.549239,0.00151522,0.989438,0.0179953,0,0.00156993
23,288.394,0.508915,0.00165514,0.984657,0.0179997,0,0.00158954
24,293.325,0.583425,0.0014012,0.992378,0.0180042,0,0.00205517
25,292.608,0.584984,0.00139598,0.991602,0.0180086,0,0.00185607
26,290.276,0.532652,0.00157636,0.988343,0.018013,0,0.00188772
27,288.736,0.516642,0.0016319,0.986127,0.0180175,0,0.00170231
28,286.501,0.50069,0.00168808,0.982784,0.0180219,0.0933255,0.00154368
29,285.794,0.483648,0.00174826,0.981951,0.0180263,0.0999914,0.00134019
30,285.977,0.486657,0.00173833,0.982656,0.0180307,0.106657,0.00112524
31,277.69,0.375311,0.00213993,0.967198,0.0180352,0.113323,0.00235163
32,277.644,0.37798,0.00213109,0.96759,0.0180396,0.119989,0.00207521
33,276.335,0.354566,0.00221663,0.965248,0.018044,0.126655,0.00184978
34,276.605,0.357352,0.00220743,0.966369,0.0180485,0.133321,0.0015691
35,278.535,0.385709,0.00210571,0.97078,0.0180529,0.00388886,0.00144323
36,279.104,0.413235,0.00200717,0.972251,0.0180573,0.00277777,0.00119319
37,279.382,0.415059,0.00200072,0.97312,0.0180618,0.00166668,0.000905459
38,278.727,0.416927,0.0019941,0.972082,0.0180662,0.000555594,0.000654815
39,277.761,0.392839,0.00208089,0.970405,0.0180706,-0.000555494,0.000424404
40,272.855,0.331155,0.00230702,0.959793,0.0180751,-0.00166658,0.000845133
41,269.029,0.283218,0.00248525,0.95095,0.0180795,-0.00277767,0.000872584
42,271.56,0.318835,0.00235412,0.957439,0.0180839,-0.00388876,0.000681088
43,276.146,0.375392,0.00214938,0.96822,0.0180884,0.00198468,0.000715125
44,273.294,0.340531,0.00227701,0.962201,0.0180928,0.00119107,0.000624508
45,275.002,0.361198,0.00220193,0.966388,0.0180972,0.000397466,0.0003446
46,272.203,0.325865,0.00233179,0.960273,0.0181017,-0.000396141,0.000313502
47,272.97,0.344366,0.00226407,0.962248,0.0181061,-0.00118975,0.000140995
48,272.979,0.344719,0.00226283,0.96248,0.0181105,-0.00198335,-5.70769e-05
49,275.902,0.384816,0.00211754,0.969173,0.018115,-0.00277696,-0.000123091
50,277.259,0.410834,0.00202378,0.972244,0.0181194,0.0024998,-0.000297837
51,279.136,0.436329,0.00193253,0.976225,0.0181238,0.00194425,-0.000456806
52,276.921,0.386543,0.0021124,0.971972,0.0181283,0.00138871,-0.000459918
53,275.579,0.365118,0.00219022,0.969336,0.0181327,0.000833159,-0.000638847
54,278.541,0.413608,0.00201621,0.975678,0.0181371,0.000277612,-0.000474862
55,279.091,0.439289,0.00192426,0.97697,0.0181416,-0.000277935,-0.000637358
56,276.863,0.389075,0.0021057,0.9727,0.018146,-0.000833482,-0.000634508
57,276.345,0.389545,0.00210406,0.971839,0.0181504,-0.00138903,-0.000847252
58,285.791,0.537556,0.00158622,0.989271,0.0181548,-0.00194458,0.0016122
59,286.581,0.559924,0.00150825,0.990682,0.0181593,-0.00250012,0.00147789
60,284.553,0.516999,0.00165922,0.987692,0.0181637,0.00453701,0.00144259
61,281.407,0.470797,0.00182351,0.982535,0.0181681,0.00423455,0.00141098
62,279.09,0.446838,0.00190946,0.978446,0.0181726,0.00393208,0.00130361
63,277.798,0.422034,0.00199885,0.976131,0.018177,0.00362962,0.00117898
64,280.379,0.47327,0.0018162,0.981304,0.0181814,0.00332716,0.00119103
65,280.129,0.449047,0.00190277,0.981054,0.0181859,0.0030247,0.001015
66,278.906,0.449689,0.00190056,0.978956,0.0181903,0.00272223,0.000811994
67,283.171,0.523621,0.00163957,0.986849,0.0181947,0.00241977,0.00105078
68,280.506,0.476815,0.00180654,0.982396,0.0181992,0.00211731,0.00116324
69,280.205,0.477516,0.00180413,0.982054,0.0182036,0.00181484,0.000987952
70,282.563,0.502802,0.00171473,0.986455,0.018208,0.00151238,0.00086728
71,283.299,0.527367,0.00162812,0.987893,0.0182125,0.00120992,0.000718181
72,278.779,0.455039,0.00188766,0.980017,0.0182169,0.000907454,0.00126169
73,281.511,0.481311,0.00179442,0.98526,0.0182213,0.000604991,0.00119976
74,277.999,0.430256,0.00197816,0.97895,0.0182258,0.000302528,0.00123241
75,272.449,0.343695,0.00229595,0.967311,0.0182302,6.44829e-08,0.00191358
76,272.799,0.362909,0.00222558,0.968327,0.0182346,-0.000302399,0.00171823
77,274.979,0.382022,0.00215614,0.97338,0.0182391,-0.000604862,0.00153457
78,276.626,0.405981,0.00206959,0.977085,0.0182435,-0.000907325,0.00139774
79,274.645,0.383541,0.00215136,0.973122,0.0182479,-0.00120979,0.00127905
80,276.339,0.407579,0.00206443,0.976961,0.0182524,-0.00151225,0.00110196
81,279.072,0.463516,0.00186406,0.982579,0.0182568,-0.00181471,0.00114361
82,276.734,0.409524,0.00205923,0.978224,0.0182612,-0.00211718,0.00116014
83,281.098,0.492382,0.00176453,0.986703,0.0182657,-0.00241964,0.00168421
84,277.775,0.440153,0.00195263,0.980769,0.0182701,-0.0027221,0.00177573
85,280.17,0.494645,0.0017582,0.985485,0.0182745,-0.00302457,0.00175439
86,279.851,0.469238,0.00184906,0.98513,0.0182789,-0.00332703,0.00156802
87,281.612,0.496633,0.00175184,0.98845,0.0182834,-0.00362949,0.00152317
88,277.055,0.415876,0.0020434,0.980245,0.0182878,-0.00393196,0.00176412
89,279.695,0.472785,0.00183998,0.985515,0.0182922,-0.00423442,0.00190338
90,280.585,0.500218,0.00174227,0.987328,0.0182967,-0.00453688,0.00174457
91,283.134,0.551582,0.00156096,0.991829,0.0183011,0.00211756,0.00171349
92,284.946,0.576379,0.00147404,0.994852,0.0173885,0.00196633,0.00154758
