tau,s_tmp,cash,delta,pv,r,q,PL,
0,297.22,1.07214,-0.000155874,1.02581,,,0.000%,
1,294.98,1.0607,-0.000116885,1.02622,0.0179022,0,0.000%,
2,295.856,1.06792,-0.000141143,1.02619,0.0179066,0,-0.003%,
3,294.573,1.06223,-0.000121619,1.02646,0.0179111,0,-0.006%,
4,295.735,1.06949,-0.000145998,1.02639,0.0179155,0,-0.008%,
5,291.233,1.04888,-7.51E-05,1.02699,0.0179199,0,0.003%,
6,294.476,1.06478,-0.000128886,1.02675,0.0179244,0,0.008%,
7,293.163,1.05835,-0.000106782,1.02701,0.0179288,0,0.004%,
8,297.255,1.07887,-0.000175619,1.0265,0.0179332,0,0.016%,
9,292.396,1.06023,-0.000111681,1.02729,0.0179377,0,0.029%,
10,292.806,1.06101,-0.000114168,1.02734,0.0179421,0,0.024%,
11,291.625,1.05381,-8.93E-05,1.02756,0.0179465,0,0.020%,
12,295.366,1.07659,-0.000166268,1.02717,0.017951,0,0.031%,
13,293.48,1.06359,-0.000121776,1.02755,0.0179554,0,0.030%,
14,294.869,1.07175,-0.000149267,1.02744,0.0179598,0,0.029%,
15,292.753,1.06527,-0.000126976,1.02784,0.0179643,0,0.026%,
16,293.219,1.0661,-0.000129614,1.02788,0.0179687,0,0.022%,
17,294.589,1.07431,-0.000157291,1.02777,0.0179731,0,0.020%,
18,297.611,1.08768,-0.00020206,1.02729,0.0179776,0,0.025%,
19,300.339,1.0981,-0.000236583,1.02677,0.017982,0,0.028%,
20,295.303,1.08377,-0.00018787,1.02792,0.0179864,0,0.037%,
21,294.32,1.07807,-0.000168301,1.02819,0.0179909,0,0.034%,
22,291.554,1.06346,-0.000118034,1.0287,0.0179953,0,0.035%,
23,288.394,1.05242,-7.96E-05,1.02912,0.0179997,0,0.036%,
24,293.325,1.07362,-0.000151638,1.02864,0.0180042,0,0.049%,
25,292.608,1.0745,-0.000154486,1.02886,0.0180086,0,0.044%,
26,290.276,1.06051,-0.000106096,1.02927,0.018013,0,0.044%,
27,288.736,1.05621,-9.10E-05,1.02954,0.0180175,0,0.039%,
28,286.501,1.05176,-7.53E-05,1.02984,0.0180219,0.0933255,0.034%,
29,285.794,1.04682,-5.79E-05,1.03,0.0180263,0.0999914,0.028%,
30,285.977,1.0481,-6.22E-05,1.0301,0.0180307,0.106657,0.021%,
31,277.69,1.01189,6.84E-05,1.03027,0.0180352,0.113323,0.060%,
32,277.644,1.01299,6.46E-05,1.03042,0.0180396,0.119989,0.051%,
33,276.335,1.00522,9.29E-05,1.03047,0.018044,0.126655,0.043%,
34,276.605,1.00634,8.91E-05,1.03065,0.0180485,0.133321,0.034%,
35,278.535,1.01622,5.38E-05,1.03091,0.0180529,0.00388886,0.029%,
36,279.104,1.02579,1.97E-05,1.03108,0.0180573,0.00277777,0.021%,
37,279.382,1.02665,1.68E-05,1.03123,0.0180618,0.00166668,0.011%,
38,278.727,1.02753,1.38E-05,1.03135,0.0180662,0.000555594,0.003%,
39,277.761,1.01952,4.28E-05,1.03147,0.0180706,-0.000555494,-0.005%,
40,272.855,0.99822,0.000121086,1.03117,0.0180751,-0.00166658,0.009%,
41,269.029,0.981319,0.000184092,1.03074,0.0180795,-0.00277767,0.010%,
42,271.56,0.994116,0.000137144,1.03133,0.0180839,-0.00388876,0.003%,
43,276.146,1.01428,6.43E-05,1.03199,0.0180884,0.00198468,0.005%,
44,273.294,1.00211,0.000109021,1.03189,0.0180928,0.00119107,0.001%,
45,275.002,1.00963,8.19E-05,1.03223,0.0180972,0.000397466,-0.009%,
46,272.203,0.997082,0.000128137,1.03206,0.0181017,-0.000396141,-0.010%,
47,272.97,1.00383,0.000103588,1.03227,0.0181061,-0.00118975,-0.016%,
48,272.979,1.00406,0.000102931,1.03239,0.0181105,-0.00198335,-0.023%,
49,275.902,1.01856,5.06E-05,1.03276,0.018115,-0.00277696,-0.025%,
50,277.259,1.02797,1.68E-05,1.03294,0.0181194,0.0024998,-0.032%,
51,279.136,1.03717,-1.60E-05,1.03308,0.0181238,0.00194425,-0.037%,
52,276.921,1.01958,4.77E-05,1.03317,0.0181283,0.00138871,-0.037%,
53,275.579,1.01197,7.55E-05,1.03322,0.0181327,0.000833159,-0.044%,
54,278.541,1.02961,1.24E-05,1.03344,0.0181371,0.000277612,-0.038%,
55,279.091,1.03897,-2.10E-05,1.03355,0.0181416,-0.000277935,-0.044%,
56,276.863,1.02103,4.40E-05,1.03365,0.018146,-0.000833482,-0.044%,
57,276.345,1.02132,4.31E-05,1.03376,0.0181504,-0.00138903,-0.051%,
58,285.791,1.07388,-0.000140597,1.03333,0.0181548,-0.00194458,0.037%,
59,286.581,1.08163,-0.000167449,1.03332,0.0181593,-0.00250012,0.033%,
60,284.553,1.06748,-0.000117529,1.03372,0.0181637,0.00453701,0.031%,
61,281.407,1.05144,-6.03E-05,1.03416,0.0181681,0.00423455,0.030%,
62,279.09,1.04297,-2.98E-05,1.03439,0.0181726,0.00393208,0.026%,
63,277.798,1.03404,2.53E-06,1.03453,0.018177,0.00362962,0.022%,
64,280.379,1.05296,-6.48E-05,1.03458,0.0181814,0.00332716,0.022%,
65,280.129,1.04431,-3.37E-05,1.03471,0.0181859,0.0030247,0.016%,
66,278.906,1.04472,-3.50E-05,1.03488,0.0181903,0.00272223,0.008%,
67,283.171,1.07177,-0.000130333,1.03469,0.0181947,0.00241977,0.017%,
68,280.506,1.05509,-7.07E-05,1.03506,0.0181992,0.00211731,0.021%,
69,280.205,1.05555,-7.21E-05,1.03519,0.0182036,0.00181484,0.015%,
70,282.563,1.06506,-0.000105601,1.03512,0.018208,0.00151238,0.010%,
71,283.299,1.07424,-0.000137805,1.03515,0.0182125,0.00120992,0.005%,
72,278.779,1.04771,-4.25E-05,1.03563,0.0182169,0.000907454,0.025%,
73,281.511,1.05777,-7.80E-05,1.03559,0.0182213,0.000604991,0.022%,
74,277.999,1.03859,-8.82E-06,1.0359,0.0182258,0.000302528,0.023%,
75,272.449,1.00539,0.000113214,1.03574,0.0182302,6.45E-08,0.050%,
76,272.799,1.01282,8.62E-05,1.03591,0.0182346,-0.000302399,0.042%,
77,274.979,1.02025,5.93E-05,1.03622,0.0182391,-0.000604862,0.035%,
78,276.626,1.02961,2.57E-05,1.03642,0.0182435,-0.000907325,0.030%,
