tau,s_tmp,cash,delta,pv,r_for,q,PL
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,351.543,1.02282,0,1.023,,,-0.000177866
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,324.566,1.02326,0,1.023,,,0.000261388
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,299.967,1.07661,0,1.069,,,0.00761437
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,357.517,1.02264,0,1.023,,,-0.000360072
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,309.85,1.02029,0,1.023,,,-0.00271244
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,302.554,1.03403,0,1.046,,,-0.0119714
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,299.471,1.02545,0,1.023,,,0.00244676
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,303.271,1.04155,0,1.046,,,-0.00444772
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,315.56,1.02111,0,1.023,,,-0.00189012
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,361.293,1.02428,0,1.023,,,0.00127698
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,362.664,1.04496,0,1.046,,,-0.00104339
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,208.103,1.14093,0,1.138,,,0.00292568
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,125.63,-0.0122378,0.00336451,0.422683,,,-0.0122378
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,299.512,1.05073,0,1.046,,,0.00472859
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,307.867,1.01965,0,1.023,,,-0.00335339
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,297.923,1.67175,-0.00209919,1.046,,,0.000355514
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,245.746,1.15154,0,1.138,,,0.0135378
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,299.051,1.76207,-0.00237941,1.046,,,0.00450091
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,324.843,1.02474,0,1.023,,,0.00173746
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,148.495,-0.0110465,0.00336451,0.499614,,,-0.0110465
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,307.489,1.02308,0,1.023,,,8.47439e-05
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,219.684,1.14168,0,1.138,,,0.00368216
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_5-th Autocalled,276.533,1.10278,0,1.115,,,-0.0122195
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,304.27,1.02327,0,1.023,,,0.000269488
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,315.883,1.02224,0,1.023,,,-0.000756237
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,328.621,1.02135,0,1.023,,,-0.00165233
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,159.01,-0.014989,0.00336451,0.534992,,,-0.014989
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,300.584,1.02215,0,1.023,,,-0.000846689
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_4-th Autocalled,296.477,1.09306,0,1.092,,,0.00105606
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,269.78,1.13629,0,1.138,,,-0.00171282
