tau,s_tmp,cash,delta,pv,r_for,q,PL,,
0_1-th Autocalled,351.543,1.02283,0,1.023,,,-0.000167966,0.011832034,1
0_1-th Autocalled,324.566,1.02324,0,1.023,,,0.000244489,0.012244489,1
0_2-th Autocalled,293.443,1.05367,0,1.046,,,0.00767388,0.01967388,1
0_1-th Autocalled,305.152,1.02505,0,1.023,,,0.00204794,0.01404794,1
0_1-th Autocalled,357.517,1.02259,0,1.023,,,-0.000414337,0.011585663,1
0_1-th Autocalled,309.85,1.02025,0,1.023,,,-0.00275255,0.00924745,1
0_2-th Autocalled,302.554,1.03436,0,1.046,,,-0.0116351,0.0003649,1
0_1-th Autocalled,299.471,1.02436,0,1.023,,,0.00135631,0.01335631,1
0_1-th Autocalled,296.116,1.02199,0,1.023,,,-0.00100684,0.01099316,1
0_1-th Autocalled,295.403,1.0231,0,1.023,,,9.57E-05,0.012095703,1
0_1-th Autocalled,324.821,1.0213,0,1.023,,,-0.0017013,0.0102987,1
0_1-th Autocalled,350.502,1.02436,0,1.023,,,0.00136358,0.01336358,1
0_1-th Autocalled,291.012,1.01852,0,1.023,,,-0.00447518,0.00752482,1
0_1-th Autocalled,383.377,1.02269,0,1.023,,,-0.000311547,0.011688453,1
0_6-th Autocalled,193.232,1.12816,0,1.138,,,-0.00983705,0.00216295,1
1_6-th Autocalled,130.178,0.00755383,0.00336451,0.437984,,,0.00755383,0.01955383,1
0_2-th Autocalled,292.608,1.05262,0,1.046,,,0.00661973,0.01861973,1
0_1-th Autocalled,307.677,1.01849,0,1.023,,,-0.00451478,0.00748522,1
0_2-th Autocalled,297.464,1.0427,0,1.046,,,-0.00329504,0.00870496,1
0_6-th Autocalled,255.785,1.1473,0,1.138,,,0.00929945,0.02129945,1
0_1-th Autocalled,292.226,1.02217,0,1.023,,,-0.000826868,0.011173132,1
0_1-th Autocalled,302.951,1.02739,0,1.023,,,0.00438992,0.01638992,1
0_1-th Autocalled,338.825,1.02594,0,1.023,,,0.00294005,0.01494005,1
1_6-th Autocalled,133.843,-0.00033169,0.00336451,0.450315,,,-0.00033169,0.01166831,1
0_1-th Autocalled,308.098,1.02401,0,1.023,,,0.00100567,0.01300567,1
0_6-th Autocalled,231.032,1.13117,0,1.138,,,-0.00682736,0.00517264,1
0_6-th Autocalled,271.875,1.12361,0,1.138,,,-0.0143861,-0.0023861,0
0_1-th Autocalled,310.747,1.02155,0,1.023,,,-0.00144593,0.01055407,1
0_1-th Autocalled,320.137,1.0208,0,1.023,,,-0.00220061,0.00979939,1
1_6-th Autocalled,162.842,-0.0118628,0.00336451,0.547885,,,-0.0118628,0.0001372,1
0_1-th Autocalled,308.514,1.02193,0,1.023,,,-0.00107106,0.01092894,1
0_2-th Autocalled,288.635,1.05357,0,1.046,,,0.00756784,0.01956784,1
0_2-th Autocalled,305.278,1.05139,0,1.046,,,0.00539159,0.01739159,1
0_2-th Autocalled,284.778,1.03745,0,1.046,,,-0.00855456,0.00344544,1
0_1-th Autocalled,290.175,1.02747,0,1.023,,,0.00447121,0.01647121,1
0_3-th Autocalled,286.589,1.06454,0,1.069,,,-0.00445631,0.00754369,1
0_2-th Autocalled,286.894,1.05297,0,1.046,,,0.00696904,0.01896904,1
0_2-th Autocalled,289.112,1.04309,0,1.046,,,-0.00290701,0.00909299,1
0_3-th Autocalled,272.253,1.06211,0,1.069,,,-0.00689482,0.00510518,1
0_1-th Autocalled,299.005,1.02008,0,1.023,,,-0.00292494,0.00907506,1
0_3-th Autocalled,273.175,1.07173,0,1.069,,,0.00272603,0.01472603,1
0_5-th Autocalled,255.615,1.11763,0,1.115,,,0.00262853,0.01462853,1
0_1-th Autocalled,313.874,1.0215,0,1.023,,,-0.00150477,0.01049523,1
0_2-th Autocalled,293.598,1.04812,0,1.046,,,0.00212123,0.01412123,1
0_6-th Autocalled,288.37,1.1529,0,1.138,,,0.0149042,0.0269042,1
1_6-th Autocalled,146.9,0.00652953,0.00336451,0.494248,,,0.00652953,0.01852953,1
0_1-th Autocalled,313.315,1.0274,0,1.023,,,0.00440021,0.01640021,1
0_2-th Autocalled,296.074,1.05281,0,1.046,,,0.00681299,0.01881299,1
0_1-th Autocalled,344.47,1.02444,0,1.023,,,0.0014405,0.0134405,1
0_2-th Autocalled,301.733,1.04236,0,1.046,,,-0.00363779,0.00836221,1
0_1-th Autocalled,296.738,1.02621,0,1.023,,,0.00321187,0.01521187,1
0_4-th Autocalled,314.024,1.09867,0,1.092,,,0.00666901,0.01866901,1
0_6-th Autocalled,245.948,1.12565,0,1.138,,,-0.0123464,-0.0003464,0
0_2-th Autocalled,304.879,1.03568,0,1.046,,,-0.0103167,0.0016833,1
0_1-th Autocalled,287.385,1.03724,0,1.023,,,0.0142422,0.0262422,1
0_6-th Autocalled,219.745,1.13061,0,1.138,,,-0.007386,0.004614,1
1_6-th Autocalled,249.781,0.0303867,0.00336451,0.84039,,,0.0303867,0.0423867,1
0_1-th Autocalled,311.952,1.02251,0,1.023,,,-0.000486299,0.011513701,1
0_1-th Autocalled,355.36,1.02363,0,1.023,,,0.000628434,0.012628434,1
0_1-th Autocalled,290.314,1.02204,0,1.023,,,-0.000956314,0.011043686,1
0_2-th Autocalled,336.209,1.04755,0,1.046,,,0.00155304,0.01355304,1
0_5-th Autocalled,262.199,1.1154,0,1.115,,,0.000400136,0.012400136,1
0_1-th Autocalled,314.264,1.019,0,1.023,,,-0.0039974,0.0080026,1
0_3-th Autocalled,270.579,1.06983,0,1.069,,,0.000827213,0.012827213,1
0_5-th Autocalled,313.015,1.11438,0,1.115,,,-0.000620684,0.011379316,1
0_1-th Autocalled,304.832,1.02154,0,1.023,,,-0.00145984,0.01054016,1
0_1-th Autocalled,311.234,1.02398,0,1.023,,,0.000979955,0.012979955,1
0_6-th Autocalled,229.355,1.13687,0,1.138,,,-0.00113017,0.01086983,1
0_5-th Autocalled,292.173,1.11663,0,1.115,,,0.00163407,0.01363407,1
0_6-th Autocalled,262.498,1.14438,0,1.138,,,0.00638274,0.01838274,1
0_1-th Autocalled,309.144,1.02103,0,1.023,,,-0.00197155,0.01002845,1
0_2-th Autocalled,286.296,1.03423,0,1.046,,,-0.0117724,0.0002276,1
0_1-th Autocalled,308.066,1.02127,0,1.023,,,-0.00173358,0.01026642,1
0_1-th Autocalled,306.372,1.02435,0,1.023,,,0.0013502,0.0133502,1
0_1-th Autocalled,291.764,1.01839,0,1.023,,,-0.00460904,0.00739096,1
0_1-th Autocalled,285.456,1.01617,0,1.023,,,-0.00682856,0.00517144,1
0_1-th Autocalled,293.79,1.02875,0,1.023,,,0.00575078,0.01775078,1
0_1-th Autocalled,314.148,1.02538,0,1.023,,,0.00237728,0.01437728,1
0_1-th Autocalled,291.957,1.0251,0,1.023,,,0.00210222,0.01410222,1
0_1-th Autocalled,337.437,1.02518,0,1.023,,,0.0021751,0.0141751,1
1_6-th Autocalled,183.206,0.0250277,0.00336451,0.6164,,,0.0250277,0.0370277,1
0_1-th Autocalled,282.748,-0.732476,0.00615657,1.023,,,-0.0147217,-0.0027217,0
0_1-th Autocalled,291.436,1.0194,0,1.023,,,-0.00359564,0.00840436,1
0_6-th Autocalled,216.955,1.13839,0,1.138,,,0.000385447,0.012385447,1
0_1-th Autocalled,312.545,1.025,0,1.023,,,0.00200029,0.01400029,1
0_1-th Autocalled,320.548,1.0205,0,1.023,,,-0.00249988,0.00950012,1
0_1-th Autocalled,307.418,1.02163,0,1.023,,,-0.00137231,0.01062769,1
0_1-th Autocalled,368.747,1.0246,0,1.023,,,0.00160261,0.01360261,1
0_1-th Autocalled,311.713,1.02109,0,1.023,,,-0.00190925,0.01009075,1
0_1-th Autocalled,310.546,1.02496,0,1.023,,,0.00195713,0.01395713,1
0_1-th Autocalled,295.239,1.02225,0,1.023,,,-0.000748439,0.011251561,1
0_1-th Autocalled,324.005,1.02584,0,1.023,,,0.00283899,0.01483899,1
0_1-th Autocalled,305.374,1.02458,0,1.023,,,0.00158282,0.01358282,1
0_1-th Autocalled,317.341,1.02223,0,1.023,,,-0.000771137,0.011228863,1
0_1-th Autocalled,338.764,1.02254,0,1.023,,,-0.000459587,0.011540413,1
0_1-th Autocalled,327.427,1.02362,0,1.023,,,0.00062317,0.01262317,1
0_1-th Autocalled,290.336,1.02771,0,1.023,,,0.00471064,0.01671064,1
0_1-th Autocalled,289.363,1.02019,0,1.023,,,-0.00281482,0.00918518,1
0_1-th Autocalled,299.597,1.01902,0,1.023,,,-0.00398273,0.00801727,1
0_1-th Autocalled,335.637,1.02252,0,1.023,,,-0.00047504,0.01152496,1
0_4-th Autocalled,295.356,1.09229,0,1.092,,,0.000285098,0.012285098,1
0_5-th Autocalled,295.351,1.10843,0,1.115,,,-0.00656797,0.00543203,1
0_1-th Autocalled,302.259,1.02032,0,1.023,,,-0.00268236,0.00931764,1
0_1-th Autocalled,321.75,1.01893,0,1.023,,,-0.00406659,0.00793341,1
0_1-th Autocalled,287.176,1.02277,0,1.023,,,-0.000231745,0.011768255,1
0_1-th Autocalled,325.505,1.0239,0,1.023,,,0.000901583,0.012901583,1
0_1-th Autocalled,296.573,1.02391,0,1.023,,,0.000908433,0.012908433,1
0_5-th Autocalled,271.435,1.13246,0,1.115,,,0.0174609,0.0294609,1
0_1-th Autocalled,309.655,1.02367,0,1.023,,,0.00067425,0.01267425,1
0_1-th Autocalled,302.41,1.02105,0,1.023,,,-0.00195042,0.01004958,1
1_6-th Autocalled,170.347,-0.0032122,0.00336451,0.573135,,,-0.0032122,0.0087878,1
0_5-th Autocalled,279.418,1.10821,0,1.115,,,-0.00679013,0.00520987,1
1_6-th Autocalled,105.057,-0.00754136,0.00336451,0.353465,,,-0.00754136,0.00445864,1
0_1-th Autocalled,296.392,1.02305,0,1.023,,,4.87E-05,0.012048705,1
0_1-th Autocalled,307.301,1.02484,0,1.023,,,0.00184058,0.01384058,1
0_1-th Autocalled,313.47,1.02279,0,1.023,,,-0.000211544,0.011788456,1
0_1-th Autocalled,291.842,1.02656,0,1.023,,,0.00355614,0.01555614,1
0_1-th Autocalled,360.506,1.02252,0,1.023,,,-0.000480409,0.011519591,1
0_6-th Autocalled,233.182,1.12508,0,1.138,,,-0.0129172,-0.0009172,0
0_2-th Autocalled,295.498,1.04235,0,1.046,,,-0.00364944,0.00835056,1
0_1-th Autocalled,311.603,1.02054,0,1.023,,,-0.00246262,0.00953738,1
0_1-th Autocalled,302.682,1.01974,0,1.023,,,-0.00325765,0.00874235,1
0_2-th Autocalled,296.946,1.04828,0,1.046,,,0.00227979,0.01427979,1
0_1-th Autocalled,340.38,1.02297,0,1.023,,,-3.13E-05,0.011968699,1
1_6-th Autocalled,148.463,-0.0353714,0.00336451,0.499507,,,-0.0353714,-0.0233714,0
0_3-th Autocalled,269.137,0.407083,0.00245422,1.069,,,-0.00139589,0.01060411,1
0_5-th Autocalled,277.849,1.13249,0,1.115,,,0.01749,0.02949,1
1_6-th Autocalled,191.437,-0.00293436,0.00336451,0.644091,,,-0.00293436,0.00906564,1
0_6-th Autocalled,219.04,1.14767,0,1.138,,,0.00966979,0.02166979,1
0_6-th Autocalled,200.541,1.15488,0,1.138,,,0.0168811,0.0288811,1
0_3-th Autocalled,314.868,1.06914,0,1.069,,,0.000140856,0.012140856,1
0_1-th Autocalled,311.01,1.0225,0,1.023,,,-0.00050371,0.01149629,1
0_1-th Autocalled,299.7,1.02274,0,1.023,,,-0.00025901,0.01174099,1
0_1-th Autocalled,303.881,1.02233,0,1.023,,,-0.00067019,0.01132981,1
0_1-th Autocalled,308.233,1.02271,0,1.023,,,-0.000292122,0.011707878,1
0_1-th Autocalled,300.166,1.0225,0,1.023,,,-0.000497113,0.011502887,1
0_1-th Autocalled,289.532,1.03214,0,1.023,,,0.00913783,0.02113783,1
0_2-th Autocalled,298.353,1.04145,0,1.046,,,-0.00455338,0.00744662,1
0_3-th Autocalled,276.948,1.06674,0,1.069,,,-0.00226092,0.00973908,1
0_1-th Autocalled,290.086,1.031,0,1.023,,,0.00799675,0.01999675,1
0_1-th Autocalled,339.867,1.02525,0,1.023,,,0.00224931,0.01424931,1
0_3-th Autocalled,302.375,1.07014,0,1.069,,,0.00114191,0.01314191,1
0_1-th Autocalled,330.558,1.0194,0,1.023,,,-0.00359895,0.00840105,1
0_1-th Autocalled,314.421,1.02554,0,1.023,,,0.00254498,0.01454498,1
0_1-th Autocalled,302.827,1.0271,0,1.023,,,0.00409638,0.01609638,1
0_1-th Autocalled,293.36,1.02279,0,1.023,,,-0.000214302,0.011785698,1
0_1-th Autocalled,289.518,1.02091,0,1.023,,,-0.00208814,0.00991186,1
0_1-th Autocalled,376.716,1.02295,0,1.023,,,-4.72E-05,0.011952792,1
0_1-th Autocalled,305.062,1.02475,0,1.023,,,0.00175088,0.01375088,1
0_1-th Autocalled,294.769,1.02282,0,1.023,,,-0.000182049,0.011817951,1
0_1-th Autocalled,297.876,1.024,0,1.023,,,0.000995127,0.012995127,1
0_1-th Autocalled,306.244,1.02289,0,1.023,,,-0.000114813,0.011885187,1
0_1-th Autocalled,295.493,1.02634,0,1.023,,,0.00334354,0.01534354,1
0_1-th Autocalled,385.646,1.02299,0,1.023,,,-1.26E-05,0.011987426,1
0_1-th Autocalled,291.406,1.02455,0,1.023,,,0.00154548,0.01354548,1
0_1-th Autocalled,304.179,1.02332,0,1.023,,,0.000315492,0.012315492,1
0_2-th Autocalled,291.71,1.04946,0,1.046,,,0.00345612,0.01545612,1
0_1-th Autocalled,300.877,1.01803,0,1.023,,,-0.00497102,0.00702898,1
0_1-th Autocalled,304.563,1.02549,0,1.023,,,0.00248676,0.01448676,1
0_3-th Autocalled,294.924,1.05054,0,1.069,,,-0.0184646,-0.0064646,0
0_6-th Autocalled,203.69,1.15827,0,1.138,,,0.0202653,0.0322653,1
0_1-th Autocalled,298.216,1.02191,0,1.023,,,-0.00109145,0.01090855,1
0_1-th Autocalled,295.165,1.02368,0,1.023,,,0.000677639,0.012677639,1
0_4-th Autocalled,315.955,1.09725,0,1.092,,,0.00524991,0.01724991,1
0_1-th Autocalled,292.312,1.02159,0,1.023,,,-0.00140639,0.01059361,1
0_2-th Autocalled,295.437,1.04947,0,1.046,,,0.0034722,0.0154722,1
