tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL
0,297.22,0.305407,0.00218554,0.954993,,,0,,,,
1,294.98,0.260356,0.00233832,0.950106,0.0179022,0,0.0006%,0.2603549,0.689757634,-0.950106,0.0007%
2,295.856,0.282542,0.00226337,0.952264,0.0179066,0,-0.0090%,0.2825432,0.669631595,-0.952264,-0.0089%
3,294.573,0.259796,0.00234063,0.949471,0.0179111,0,-0.0187%,0.2597972,0.689486401,-0.949471,-0.0187%
4,295.735,0.281993,0.00226562,0.952297,0.0179155,0,-0.0281%,0.2819918,0.670023131,-0.952297,-0.0282%
5,291.233,0.214731,0.00249662,0.941722,0.0179199,0,0.0108%,0.2147320,0.727098132,-0.941722,0.0108%
6,294.476,0.259656,0.0023441,0.949698,0.0179244,0,0.0240%,0.2596550,0.690281192,-0.949698,0.0238%
7,293.163,0.236847,0.00242195,0.946736,0.0179288,0,0.0136%,0.2368460,0.710026128,-0.946736,0.0136%
8,297.255,0.304529,0.0021943,0.956294,0.0179332,0,0.0500%,0.3045287,0.652266647,-0.956294,0.0501%
9,292.396,0.237293,0.00242429,0.945175,0.0179377,0,0.0972%,0.2372958,0.708852699,-0.945175,0.0974%
10,292.806,0.236963,0.00242546,0.94633,0.0179421,0,0.0823%,0.2369621,0.710189241,-0.94633,0.0821%
11,291.625,0.214115,0.00250385,0.943571,0.0179465,0,0.0729%,0.2141142,0.730185256,-0.943571,0.0728%
12,295.366,0.281833,0.00227462,0.952658,0.017951,0,0.1019%,0.2818323,0.671845411,-0.952658,0.1020%
13,293.48,0.23656,0.00242893,0.948387,0.0179554,0,0.1015%,0.2365600,0.712842376,-0.948387,0.1015%
14,294.869,0.258892,0.00235323,0.95181,0.0179598,0,0.0976%,0.2588932,0.693894577,-0.95181,0.0978%
15,292.753,0.236077,0.00243121,0.946945,0.0179643,0,0.0875%,0.2360759,0.711744021,-0.946945,0.0875%
16,293.219,0.235757,0.00243234,0.94821,0.0179687,0,0.0755%,0.2357573,0.713208302,-0.94821,0.0756%
17,294.589,0.258081,0.0023566,0.951614,0.0179731,0,0.0695%,0.2580808,0.694228437,-0.951614,0.0695%
18,297.611,0.303096,0.00220539,0.958601,0.0179776,0,0.0842%,0.3030955,0.656348323,-0.958601,0.0843%
19,300.339,0.34798,0.00205599,0.964538,0.017982,0,0.0937%,0.3479816,0.617493981,-0.964538,0.0938%
20,295.303,0.280795,0.00228356,0.953724,0.0179864,0,0.1414%,0.2807950,0.674342119,-0.953724,0.1413%
21,294.32,0.257996,0.00236107,0.951592,0.0179909,0,0.1315%,0.2579961,0.694910122,-0.951592,0.1314%
22,291.554,0.212747,0.00251632,0.945015,0.0179953,0,0.1374%,0.2127450,0.733643161,-0.945015,0.1373%
23,288.394,0.18333,0.00261835,0.937048,0.0179997,0,0.1399%,0.1833327,0.75511643,-0.937048,0.1401%
24,293.325,0.235279,0.00244128,0.949657,0.0180042,0,0.1710%,0.2352781,0.716088456,-0.949657,0.1710%
25,292.608,0.234948,0.00244245,0.948071,0.0180086,0,0.1558%,0.2349483,0.71468041,-0.948071,0.1558%
26,290.276,0.195106,0.00257975,0.942353,0.018013,0,0.1591%,0.1951047,0.748839511,-0.942353,0.1591%
27,288.736,0.182974,0.0026218,0.938513,0.0180175,0,0.1469%,0.1829743,0.757008045,-0.938513,0.1469%
28,286.501,0.171485,0.0026626,0.93295,0.0180219,0.0933255,0.1373%,0.1714859,0.762837563,-0.93295,0.1373%
29,285.794,0.159856,0.00270405,0.931406,0.0180263,0.0999914,0.1251%,0.1598558,0.772801266,-0.931406,0.1251%
30,285.977,0.160365,0.00270309,0.932265,0.0180307,0.106657,0.1121%,0.1603644,0.773021569,-0.932265,0.1121%
31,277.69,0.100391,0.00291993,0.909412,0.0180352,0.113323,0.1815%,0.1003917,0.810835362,-0.909412,0.1815%
32,277.644,0.100631,0.00292005,0.909679,0.0180396,0.119989,0.1685%,0.1006292,0.810734362,-0.909679,0.1685%
33,276.335,0.0887235,0.00296417,0.906243,0.018044,0.126655,0.1584%,0.0887241,0.819103917,-0.906243,0.1585%
34,276.605,0.0889794,0.00296434,0.907476,0.0180485,0.133321,0.1455%,0.0889804,0.819951266,-0.907476,0.1456%
35,278.535,0.101091,0.00292091,0.913274,0.0180529,0.00388886,0.1391%,0.1010894,0.813575667,-0.913274,0.1391%
36,279.104,0.113295,0.00287722,0.915071,0.0180573,0.00277777,0.1267%,0.1132963,0.803043611,-0.915071,0.1269%
37,279.382,0.113004,0.00287829,0.916023,0.0180618,0.00166668,0.1125%,0.1130053,0.804142417,-0.916023,0.1125%
38,278.727,0.112715,0.00287936,0.914266,0.0180662,0.000555594,0.1003%,0.1127126,0.802555375,-0.914266,0.1002%
39,277.761,0.0998619,0.00292564,0.911596,0.0180706,-0.000555494,0.0896%,0.0998646,0.812628692,-0.911596,0.0897%
40,272.855,0.0712825,0.00303039,0.897038,0.0180751,-0.00166658,0.1102%,0.0712816,0.826857063,-0.897038,0.1101%
41,269.029,0.0518228,0.00310271,0.88542,0.0180795,-0.00277767,0.1123%,0.0518236,0.834718969,-0.88542,0.1123%
42,271.56,0.0642945,0.00305677,0.893344,0.0180839,-0.00388876,0.1046%,0.0642919,0.830096461,-0.893344,0.1044%
43,276.146,0.0869998,0.00297457,0.907367,0.0180884,0.00198468,0.1048%,0.0870015,0.821415607,-0.907367,0.1050%
44,273.294,0.0708237,0.00303379,0.89892,0.0180928,0.00119107,0.1019%,0.0708223,0.829116604,-0.89892,0.1019%
45,275.002,0.0782907,0.00300665,0.904226,0.0180972,0.000397466,0.0899%,0.0782917,0.826834763,-0.904226,0.0900%
46,272.203,0.063178,0.00306218,0.895822,0.0181017,-0.000396141,0.0891%,0.0631783,0.833534583,-0.895822,0.0891%
47,272.97,0.0698514,0.00303773,0.89824,0.0181061,-0.00118975,0.0821%,0.0698525,0.829209158,-0.89824,0.0822%
48,272.979,0.0692996,0.00303975,0.898346,0.0181105,-0.00198335,0.0742%,0.0692989,0.829787915,-0.898346,0.0741%
49,275.902,0.0856112,0.00298062,0.90726,0.018115,-0.00277696,0.0710%,0.0856107,0.822359019,-0.90726,0.0710%
50,277.259,0.096603,0.00294101,0.911394,0.0181194,0.0024998,0.0631%,0.0966033,0.815421492,-0.911394,0.0631%
51,279.136,0.107867,0.00290069,0.917002,0.0181238,0.00194425,0.0553%,0.1078669,0.809687004,-0.917002,0.0552%
52,276.921,0.0839946,0.00298693,0.910581,0.0181283,0.00138871,0.0557%,0.0839937,0.827143643,-0.910581,0.0556%
53,275.579,0.074031,0.00302311,0.906655,0.0181327,0.000833159,0.0481%,0.0740302,0.833105631,-0.906655,0.0481%
54,278.541,0.0944682,0.00294975,0.915549,0.0181371,0.000277612,0.0545%,0.0944691,0.821626315,-0.915549,0.0546%
55,279.091,0.105642,0.00290973,0.917253,0.0181416,-0.000277935,0.0467%,0.1056415,0.812079455,-0.917253,0.0468%
56,276.863,0.0818931,0.00299552,0.910767,0.018146,-0.000833482,0.0474%,0.0818933,0.829348654,-0.910767,0.0475%
57,276.345,0.0812917,0.0029977,0.909308,0.0181504,-0.00138903,0.0382%,0.0812916,0.828399407,-0.909308,0.0383%
58,285.791,0.155146,0.00273927,0.936463,0.0181548,-0.00194458,0.1543%,0.1551481,0.782858713,-0.936463,0.1544%
59,286.581,0.167793,0.00269515,0.938716,0.0181593,-0.00250012,0.1457%,0.1677923,0.772378782,-0.938716,0.1455%
60,284.553,0.140826,0.00278999,0.933283,0.0181637,0.00453701,0.1442%,0.1408239,0.793900024,-0.933283,0.1441%
61,281.407,0.115257,0.0028809,0.924533,0.0181681,0.00423455,0.1431%,0.1152594,0.810705426,-0.924533,0.1432%
62,279.09,0.102685,0.002926,0.91792,0.0181726,0.00393208,0.1383%,0.1026844,0.81661734,-0.91792,0.1382%
63,277.798,0.0904711,0.00297002,0.914207,0.018177,0.00362962,0.1329%,0.0904695,0.825065616,-0.914207,0.1328%
64,280.379,0.113446,0.00288812,0.921885,0.0181814,0.00332716,0.1328%,0.1134462,0.809768197,-0.921885,0.1329%
65,280.129,0.100866,0.00293307,0.921259,0.0181859,0.0030247,0.1244%,0.1008666,0.821637966,-0.921259,0.1246%
66,278.906,0.10021,0.00293546,0.917776,0.0181903,0.00272223,0.1152%,0.1002105,0.818717407,-0.917776,0.1152%
67,283.171,0.136409,0.00280766,0.9302,0.0181947,0.00241977,0.1258%,0.1364098,0.79504789,-0.9302,0.1258%
68,280.506,0.111081,0.002898,0.922661,0.0181992,0.00211731,0.1326%,0.1110795,0.812906388,-0.922661,0.1325%
69,280.205,0.110386,0.00290051,0.921881,0.0182036,0.00181484,0.1243%,0.1103873,0.812737405,-0.921881,0.1244%
70,282.563,0.121889,0.00285983,0.928793,0.018208,0.00151238,0.1179%,0.1218896,0.808082144,-0.928793,0.1179%
71,283.299,0.133688,0.00281822,0.930987,0.0182125,0.00120992,0.1099%,0.1336858,0.798398908,-0.930987,0.1098%
72,278.779,0.0969123,0.00295016,0.917969,0.0182169,0.000907454,0.1387%,0.0969145,0.822442655,-0.917969,0.1388%
73,281.511,0.108033,0.00291068,0.926069,0.0182213,0.000604991,0.1353%,0.1080326,0.819388437,-0.926069,0.1352%
74,277.999,0.0842927,0.0029961,0.915831,0.0182258,0.000302528,0.1375%,0.0842924,0.832912804,-0.915831,0.1374%
75,272.449,0.0506236,0.0031197,0.898926,0.0182302,6.45E-08,0.1656%,0.0506222,0.849959145,-0.898926,0.1655%
76,272.799,0.0565884,0.00309784,0.900088,0.0182346,-0.000302399,0.1588%,0.0565888,0.845087654,-0.900088,0.1588%
77,274.979,0.0627312,0.0030755,0.906911,0.0182391,-0.000604862,0.1519%,0.0627328,0.845697915,-0.906911,0.1520%
78,276.626,0.071037,0.00304548,0.912033,0.0182435,-0.000907325,0.1464%,0.0710365,0.84245895,-0.912033,0.1462%
79,274.645,0.0617223,0.0030794,0.906042,0.0182479,-0.00120979,0.1423%,0.0617218,0.845741813,-0.906042,0.1422%
80,276.339,0.0699611,0.00304959,0.911327,0.0182524,-0.00151225,0.1354%,0.0699595,0.842720651,-0.911327,0.1353%
81,279.072,0.0916967,0.0029717,0.91965,0.0182568,-0.00181471,0.1364%,0.0916973,0.829318262,-0.91965,0.1366%
82,276.734,0.0690102,0.00305368,0.912689,0.0182612,-0.00211718,0.1377%,0.0690099,0.845057081,-0.912689,0.1378%
83,281.098,0.102266,0.00293536,0.925814,0.0182657,-0.00241964,0.1576%,0.1022675,0.825123825,-0.925814,0.1577%
84,277.775,0.0791317,0.00301864,0.916011,0.0182701,-0.0027221,0.1624%,0.0791319,0.838502726,-0.916011,0.1624%
85,280.17,0.101065,0.00294035,0.923252,0.0182745,-0.00302457,0.1610%,0.1010632,0.82379786,-0.923252,0.1609%
86,279.851,0.0890169,0.00298339,0.922391,0.0182789,-0.00332703,0.1530%,0.0890178,0.834904675,-0.922391,0.1531%
87,281.612,0.0997222,0.00294536,0.927666,0.0182834,-0.00362949,0.1505%,0.0997227,0.82944872,-0.927666,0.1505%
88,277.055,0.0663408,0.00306583,0.91413,0.0182878,-0.00393196,0.1615%,0.0663416,0.849403531,-0.91413,0.1615%
89,279.695,0.0874211,0.00299044,0.922172,0.0182922,-0.00423442,0.1661%,0.0874204,0.836411116,-0.922172,0.1659%
90,280.585,0.0979382,0.00295294,0.924897,0.0182967,-0.00453688,0.1591%,0.0979370,0.82855067,-0.924897,0.1591%
91,283.134,0.120622,0.00287286,0.932454,0.0183011,0.00211756,0.1570%,0.1206213,0.813404343,-0.932454,0.1572%
92,284.946,0.132052,0.00283278,0.937758,0.0173885,0.00196633,0.1482%,0.1320528,0.80718933,-0.937758,0.1484%
93,287.475,0.143858,0.00279175,0.944968,0.0173732,0.00181511,0.1447%,0.1438574,0.802558331,-0.944968,0.1448%
94,288.092,0.15599,0.00274967,0.946792,0.0173578,0.00166389,0.1356%,0.1559914,0.79215793,-0.946792,0.1357%
95,290.471,0.168552,0.00270646,0.953378,0.0173425,0.00151266,0.1322%,0.1685520,0.786148143,-0.953378,0.1322%
96,288.753,0.154176,0.00275629,0.948836,0.0173271,0.00136144,0.1226%,0.1541744,0.795887006,-0.948836,0.1225%
97,289.778,0.166615,0.00271339,0.951756,0.0173118,0.00121022,0.1141%,0.1666174,0.786280727,-0.951756,0.1142%
98,291.311,0.183166,0.00265661,0.956001,0.0172964,0.00105899,0.1066%,0.1831658,0.773899716,-0.956001,0.1065%
99,290.803,0.182098,0.00266032,0.954756,0.0172811,0.000907772,0.0971%,0.1820977,0.773629037,-0.954756,0.0971%
100,294.285,0.225618,0.00251247,0.963941,0.0172658,0.000756548,0.1060%,0.2256183,0.739382234,-0.963941,0.1060%
101,293.59,0.224443,0.00251651,0.962301,0.0172504,0.000605325,0.0965%,0.2244438,0.738822171,-0.962301,0.0965%
102,296.739,0.271066,0.00235944,0.970216,0.0172351,0.000454102,0.0987%,0.2710633,0.700137866,-0.970216,0.0985%
103,297.972,0.294957,0.0022793,0.973262,0.0172197,0.000302879,0.0863%,0.2949588,0.67916758,-0.973262,0.0864%
104,299.445,0.293725,0.00228346,0.976773,0.0172044,0.000151655,0.0724%,0.2937255,0.68377068,-0.976773,0.0723%
105,301.043,0.345465,0.00211164,0.980439,0.017189,4.32E-07,0.0721%,0.3454640,0.635694441,-0.980439,0.0719%
106,299.425,0.291462,0.00229205,0.977035,0.0171737,-0.000150791,0.0723%,0.2914617,0.686297071,-0.977035,0.0724%
107,298.491,0.290154,0.00229647,0.975066,0.0171584,-0.000302015,0.0565%,0.2901558,0.685475627,-0.975066,0.0565%
108,296.947,0.263633,0.00238583,0.971573,0.017143,-0.000453238,0.0525%,0.2636316,0.708465061,-0.971573,0.0524%
109,294.464,0.21485,0.00255154,0.965573,0.0171277,-0.000604461,0.0612%,0.2148486,0.751336675,-0.965573,0.0612%
110,296.177,0.236818,0.00247739,0.96998,0.0171123,-0.000755684,0.0585%,0.2368200,0.733745938,-0.96998,0.0586%
111,296.311,0.235365,0.00248233,0.970445,0.017097,-0.000906908,0.0461%,0.2353635,0.735541685,-0.970445,0.0460%
112,297.568,0.258288,0.00240532,0.97363,0.0170816,-0.00105813,0.0406%,0.2582896,0.715746262,-0.97363,0.0406%
