tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,
0,297.22,0.577136,0.00138143,0.987724,,,-5.55E-17,0.577136,,,,,,
1,294.98,0.524263,0.00156076,0.984659,0.0179022,0,-1.38E-06,0.5242655,0.460392985,-0.984659,0.0000%,,,
2,295.856,0.553243,0.0014629,0.986166,0.0179066,0,-0.000114855,0.5532437,0.432807742,-0.986166,-0.0115%,,,
3,294.573,0.526743,0.00155295,0.984439,0.0179111,0,-0.000237842,0.5267446,0.45745714,-0.984439,-0.0237%,,,
4,295.735,0.555722,0.00145505,0.98638,0.0179155,0,-0.000348978,0.5557229,0.430309212,-0.98638,-0.0348%,,,
5,291.233,0.470363,0.00174824,0.979385,0.0179199,0,0.000123486,0.4703636,0.50914518,-0.979385,0.0124%,,,
6,294.476,0.531428,0.00154095,0.984887,0.0179244,0,0.000313303,0.5314286,0.453772792,-0.984887,0.0314%,,,
7,293.163,0.503625,0.00163588,0.983026,0.0179288,0,0.000177086,0.5036247,0.479579488,-0.983026,0.0178%,,,
8,297.255,0.588581,0.00135016,0.989268,0.0179332,0,0.00065457,0.5885812,0.401341811,-0.989268,0.0655%,,,
9,292.396,0.507494,0.00162758,0.982187,0.0179377,0,0.00120343,0.5074936,0.475897882,-0.982187,0.1204%,,,
10,292.806,0.508754,0.00162336,0.983076,0.0179421,0,0.0010067,0.5087542,0.475329548,-0.983076,0.1008%,,,
11,291.625,0.479579,0.00172349,0.981314,0.0179465,0,0.000876781,0.4795788,0.502612771,-0.981314,0.0878%,,,
12,295.366,0.568562,0.0014223,0.987383,0.017951,0,0.00127859,0.5685637,0.420099062,-0.987383,0.1280%,,,
13,293.48,0.513381,0.00161042,0.984744,0.0179554,0,0.00126362,0.5133822,0.472626062,-0.984744,0.1264%,,,
14,294.869,0.543841,0.00150721,0.987047,0.0179598,0,0.00122261,0.5438409,0.444429505,-0.987047,0.1223%,,,
15,292.753,0.516246,0.00160156,0.984021,0.0179643,0,0.00108642,0.5162464,0.468861495,-0.984021,0.1087%,,,
16,293.219,0.517592,0.00159706,0.984948,0.0179687,0,0.00093088,0.5175913,0.468288336,-0.984948,0.0932%,,,
17,294.589,0.548005,0.0014939,0.987231,0.0179731,0,0.000861053,0.5480066,0.440086507,-0.987231,0.0862%,,,
18,297.611,0.603174,0.00130862,0.991582,0.0179776,0,0.0010517,0.6031750,0.389459707,-0.991582,0.1053%,,,
19,300.339,0.652675,0.0011439,0.995067,0.017982,0,0.00116699,0.6526765,0.343557782,-0.995067,0.1167%,,,
20,295.303,0.580767,0.00138752,0.988846,0.0179864,0,0.00165892,0.5807670,0.409738819,-0.988846,0.1660%,,,
21,294.32,0.55485,0.00147567,0.987636,0.0179909,0,0.00153355,0.5548513,0.434319194,-0.987636,0.1534%,,,
22,291.554,0.497356,0.00167296,0.983519,0.0179953,0,0.00159662,0.4973579,0.48775818,-0.983519,0.1597%,,,
23,288.394,0.456973,0.00181307,0.978236,0.0179997,0,0.00161708,0.4569756,0.52287851,-0.978236,0.1618%,,,
24,293.325,0.531386,0.00155947,0.986735,0.0180042,0,0.00208109,0.5313853,0.457431538,-0.986735,0.2082%,,,
