tau,s_tmp,cash,delta,pv,r,q,PL
0,293.98,0.544842,0.00149219,0.983515,,,0
1,292.657,0.520718,0.00157469,0.981661,0.0132822,0,-9.97643e-05
2,290.783,0.49554,0.00166134,0.978798,0.0133058,0,-0.000169032
3,290.078,0.46917,0.00175231,0.977778,0.0133293,0,-0.000302345
4,288.914,0.47017,0.00174891,0.975919,0.0133528,0,-0.000465982
5,289.315,0.47118,0.00174547,0.976827,0.0133764,0,-0.00065488
6,286.27,0.420765,0.00192164,0.971355,0.0133999,0,-0.000480913
7,289.067,0.473719,0.00173851,0.976757,0.0134235,0,-0.000493027
8,285.764,0.405768,0.00197636,0.970766,0.013447,0,-0.000226593
9,284.755,0.406758,0.00197293,0.968981,0.0134706,0,-0.000421047
10,285.196,0.407762,0.00196947,0.970065,0.0134941,0,-0.000619646
11,281.561,0.371774,0.00209733,0.962824,0.0135176,0,-0.000522235
12,284.205,0.391821,0.00202684,0.968496,0.0135412,0,-0.000635426
13,287.281,0.429147,0.00189697,0.974652,0.0135647,0,-0.000541763
14,290.487,0.510004,0.00161867,0.980489,0.0135883,0,-0.000281192
15,290.561,0.511113,0.00161492,0.980795,0.0136118,0,-0.00044875
16,293.355,0.563526,0.00143632,0.985322,0.0136353,0,-0.000444069
17,294.02,0.564627,0.00143265,0.986471,0.0136589,0,-0.000617451
18,296.124,0.589615,0.00134834,0.989508,0.0136824,0,-0.000618683
19,294.555,0.566982,0.00142525,0.987552,0.013706,0,-0.00075596
20,298.886,0.63651,0.0011927,0.993248,0.0137295,0,-0.000258127
21,297.868,0.637537,0.00118933,0.992189,0.0137531,0,-0.000389304
22,297.248,0.617177,0.0012579,0.991588,0.0137766,0,-0.000501525
23,294.724,0.595894,0.0013302,0.988454,0.0138001,0,-0.00051953
24,296.43,0.619431,0.00125087,0.990874,0.0138237,0,-0.000647643
25,295.105,0.59821,0.00132286,0.989306,0.0138472,0,-0.000713788
26,293.009,0.551362,0.00148282,0.986546,0.0138708,0,-0.000703283
27,291.949,0.552551,0.00147882,0.985149,0.0138943,0,-0.000856742
28,292.575,0.55375,0.0014748,0.98627,0.0139179,0,-0.00103148
29,296.321,0.625339,0.00123328,0.991536,0.0139414,0,-0.000751349
30,297.232,0.626405,0.00122977,0.992826,0.0139649,0,-0.000894353
31,298.455,0.648513,0.00115578,0.994433,0.0139885,0,-0.000973568
32,297.602,0.62859,0.0012228,0.993578,0.014012,0,-0.00107864
33,299.699,0.670585,0.00108276,0.996124,0.0140356,0,-0.00103687
34,301.568,0.690502,0.0010168,0.998225,0.0140591,0,-0.00108825
35,302.527,0.712653,0.000943671,0.99931,0.0140826,0,-0.0011713
36,303.271,0.71352,0.000940903,1.00014,0.0141062,0,-0.00127279
37,303.974,0.737808,0.000861091,1.00091,0.0141297,0,-0.0013523
38,301.484,0.694308,0.00100547,0.99871,0.0141533,0,-0.00126798
39,300.288,0.676411,0.00106516,0.997625,0.0141768,0,-0.00135899
40,301.274,0.696026,0.00100014,0.998786,0.0142004,0,-0.00144346
41,300.582,0.678097,0.00105988,0.998217,0.0142239,0,-0.00153938
42,302.754,0.718957,0.000925006,1.0005,0.0142474,0,-0.00149583
43,305.083,0.765851,0.000771389,1.00264,0.014271,0,-0.00145033
44,307.118,0.788066,0.000699152,1.00431,0.0142945,0,-0.00152149
45,309.545,0.827586,0.00057158,1.006,0.0143181,0,-0.00148068
46,307.552,0.790363,0.000692717,1.00484,0.0143416,0,-0.00143436
47,303.165,0.723719,0.000912647,1.00154,0.0143652,0,-0.00113686
48,303.211,0.724643,0.000909695,1.00171,0.0143887,0,-0.00123312
49,303.438,0.725575,0.000906719,1.00203,0.0144122,0,-0.00132136
50,299.457,0.68677,0.0010364,0.998309,0.0144358,0,-0.00118214
51,295.684,0.626713,0.0012396,0.994159,0.0144593,0,-0.000916011
