tau,s_tmp,cash,delta,pv,r_for,q,PL,delta,,
0,297.22,0.584152,0.00136087,0.988629,,,0.00%,0.404477781,178.332,
1,296.967,0.585265,0.00135722,0.988462,0.0179022,0,-0.01%,0.403049552,,
2,296.717,0.586386,0.00135354,0.9883,0.0179066,0,-0.03%,0.401618328,,
3,294.955,0.534013,0.0015312,0.985963,0.0179111,0,-0.03%,0.451635096,,
4,296.638,0.588948,0.00134609,0.988566,0.0179155,0,-0.03%,0.399301445,,
5,297.361,0.590097,0.00134233,0.989744,0.0179199,0,-0.05%,0.399156591,,
6,297.301,0.591254,0.00133853,0.989852,0.0179244,0,-0.07%,0.397946308,,
7,297.301,0.592419,0.00133471,0.990039,0.0179288,0,-0.08%,0.396810618,,
8,296.454,0.567455,0.00141902,0.989068,0.0179332,0,-0.09%,0.420674155,,
9,293.231,0.512621,0.00160611,0.984519,0.0179377,0,-0.09%,0.470961241,,
10,291.278,0.483736,0.00170536,0.981541,0.0179421,0,-0.11%,0.49673385,,
11,292.773,0.515164,0.0015981,0.984214,0.0179465,0,-0.12%,0.467880531,,
12,291.15,0.486297,0.00169733,0.981737,0.017951,0,-0.13%,0.49417763,,
13,293.9,0.546698,0.0014919,0.986358,0.0179554,0,-0.12%,0.43846941,,
14,291.606,0.489222,0.00168909,0.982919,0.0179598,0,-0.11%,0.492548779,,
15,289.968,0.466485,0.00176759,0.980317,0.0179643,0,-0.13%,0.512544537,,
16,288.507,0.450199,0.00182412,0.977924,0.0179687,0,-0.15%,0.526271389,,
17,286.74,0.433173,0.00188357,0.974884,0.0179731,0,-0.16%,0.540094862,,
18,282.868,0.375242,0.00208845,0.967473,0.0179776,0,-0.15%,0.590755675,,
19,282.824,0.376343,0.00208462,0.967631,0.017982,0,-0.17%,0.589580567,,
20,283.59,0.39819,0.00200765,0.969444,0.0179864,0,-0.19%,0.569349464,,
21,289.665,0.475375,0.00174125,0.981092,0.0179909,0,-0.13%,0.504379181,,
22,284.063,0.402133,0.00199917,0.970883,0.0179953,0,-0.09%,0.567890228,,
23,281.399,0.361014,0.00214537,0.965662,0.0179997,0,-0.09%,0.603704973,,
24,282.882,0.383973,0.00206427,0.968995,0.0180042,0,-0.11%,0.583944826,,
25,286.895,0.446252,0.00184726,0.977026,0.0180086,0,-0.08%,0.529969658,,
26,288.503,0.466288,0.00177788,0.980157,0.018013,0,-0.09%,0.512923714,,
27,286.407,0.449456,0.00183674,0.976586,0.0180175,0,-0.11%,0.526055193,,
28,286.897,0.452057,0.00182821,0.977864,0.0180219,0.0933255,-0.13%,0.524507964,,
29,284.82,0.43529,0.00188766,0.974365,0.0180263,0.0999914,-0.14%,0.537643321,,
30,286.705,0.457702,0.00181012,0.978281,0.0180307,0.106657,-0.16%,0.518970455,,
31,285.66,0.440997,0.00186924,0.976763,0.0180352,0.113323,-0.18%,0.533967098,,
32,284.089,0.423315,0.00193217,0.974229,0.0180396,0.119989,-0.20%,0.548908243,,
33,281.257,0.38217,0.00207921,0.969053,0.018044,0.126655,-0.21%,0.584792367,,
