PX, uold, uold- volp,조기상환형 vega(%)
0,5.20E-16,-1.77E-16,-6.97E-16
1.4861,0.00465909,0.00465909,0.00E+00
2.9722,0.00931819,0.00931819,0.00E+00
4.4583,0.0139773,0.0139773,0.00E+00
5.9444,0.0186364,0.0186364,0.00E+00
7.4305,0.0232955,0.0232955,0.00E+00
8.9166,0.0279546,0.0279546,0.00E+00
10.4027,0.0326137,0.0326137,0.00E+00
11.8888,0.0372728,0.0372728,0.00E+00
13.3749,0.0419319,0.0419319,0.00E+00
14.861,0.0465909,0.0465909,0.00E+00
16.3471,0.05125,0.05125,0.00E+00
17.8332,0.0559091,0.0559091,0.00E+00
19.3193,0.0605682,0.0605682,0.00E+00
20.8054,0.0652273,0.0652273,0.00E+00
22.2915,0.0698864,0.0698864,0.00E+00
23.7776,0.0745455,0.0745455,0.00E+00
25.2637,0.0792046,0.0792046,0.00E+00
26.7498,0.0838637,0.0838637,0.00E+00
28.2359,0.0885228,0.0885228,0.00E+00
29.722,0.0931819,0.093182,1.00E-07
31.2081,0.097841,0.0978411,1.00E-07
32.6942,0.1025,0.1025,0.00E+00
34.1803,0.107159,0.107159,0.00E+00
35.6664,0.111818,0.111819,1.00E-06
37.1525,0.116478,0.116478,0.00E+00
38.6386,0.121137,0.121137,0.00E+00
40.1247,0.125796,0.125797,1.00E-06
41.6108,0.130456,0.130457,1.00E-06
43.0969,0.135115,0.135116,1.00E-06
44.583,0.139775,0.139777,2.00E-06
46.0691,0.144435,0.144437,2.00E-06
47.5552,0.149095,0.149098,3.00E-06
49.0413,0.153755,0.153759,4.00E-06
50.5274,0.158416,0.15842,4.00E-06
52.0135,0.163077,0.163082,5.00E-06
53.4996,0.167739,0.167745,6.00E-06
54.9857,0.172401,0.172409,8.00E-06
56.4718,0.177064,0.177073,9.00E-06
57.9579,0.181727,0.181739,1.20E-05
59.444,0.186392,0.186405,1.30E-05
60.9301,0.191057,0.191073,1.60E-05
62.4162,0.195723,0.195743,2.00E-05
63.9023,0.200391,0.200413,2.20E-05
65.3884,0.20506,0.205086,2.60E-05
66.8745,0.209731,0.209761,3.00E-05
68.3606,0.214403,0.214437,3.40E-05
69.8467,0.219078,0.219116,3.80E-05
71.3328,0.223754,0.223798,4.40E-05
72.8189,0.228433,0.228482,4.90E-05
74.305,0.233114,0.233169,5.50E-05
75.7911,0.237797,0.237859,6.20E-05
77.2772,0.242484,0.242553,6.90E-05
78.7633,0.247174,0.247249,7.50E-05
80.2494,0.251867,0.25195,8.30E-05
81.7355,0.256563,0.256655,9.20E-05
83.2216,0.261263,0.261363,1.00E-04
84.7077,0.265967,0.266076,1.09E-04
86.1938,0.270675,0.270794,1.19E-04
87.6799,0.275388,0.275517,1.29E-04
89.166,0.280105,0.280244,1.39E-04
90.6521,0.284827,0.284976,1.49E-04
92.1382,0.289554,0.289714,1.60E-04
