PX, uold
0,-1.76942e-16
1.4861,0.00465909
2.9722,0.00931819
4.4583,0.0139773
5.9444,0.0186364
7.4305,0.0232955
8.9166,0.0279546
10.4027,0.0326137
11.8888,0.0372728
13.3749,0.0419319
14.861,0.0465909
16.3471,0.05125
17.8332,0.0559091
19.3193,0.0605682
20.8054,0.0652273
22.2915,0.0698864
23.7776,0.0745455
25.2637,0.0792046
26.7498,0.0838637
28.2359,0.0885228
29.722,0.093182
31.2081,0.0978411
32.6942,0.1025
34.1803,0.107159
35.6664,0.111819
37.1525,0.116478
38.6386,0.121137
40.1247,0.125797
41.6108,0.130457
43.0969,0.135116
44.583,0.139777
46.0691,0.144437
47.5552,0.149098
49.0413,0.153759
50.5274,0.15842
52.0135,0.163082
53.4996,0.167745
54.9857,0.172409
56.4718,0.177073
57.9579,0.181739
59.444,0.186405
60.9301,0.191073
62.4162,0.195743
63.9023,0.200413
65.3884,0.205086
66.8745,0.209761
68.3606,0.214437
69.8467,0.219116
71.3328,0.223798
72.8189,0.228482
74.305,0.233169
75.7911,0.237859
77.2772,0.242553
78.7633,0.247249
80.2494,0.25195
81.7355,0.256655
83.2216,0.261363
84.7077,0.266076
86.1938,0.270794
87.6799,0.275517
89.166,0.280244
90.6521,0.284976
92.1382,0.289714
93.6243,0.294458
95.1104,0.299207
96.5965,0.303962
98.0826,0.308723
99.5687,0.313491
101.055,0.318265
102.541,0.323045
104.027,0.327832
105.513,0.332626
106.999,0.337426
108.485,0.342234
109.971,0.347049
111.457,0.351871
112.944,0.3567
114.43,0.361536
115.916,0.36638
117.402,0.371232
118.888,0.37609
120.374,0.380956
121.86,0.38583
123.346,0.390711
124.832,0.395599
126.318,0.400495
127.805,0.405398
129.291,0.410309
130.777,0.415227
132.263,0.420152
133.749,0.425084
135.235,0.430023
136.721,0.434969
138.207,0.439922
139.693,0.444882
141.179,0.449848
142.666,0.454821
144.152,0.4598
145.638,0.464786
147.124,0.469777
148.61,0.474775
150.096,0.479778
151.582,0.484786
153.068,0.489801
154.554,0.49482
156.04,0.499845
157.527,0.504874
159.013,0.509908
160.499,0.514947
161.985,0.51999
163.471,0.525037
164.957,0.530088
166.443,0.535142
167.929,0.5402
169.415,0.545262
170.901,0.550326
172.388,0.555393
173.874,0.560463
175.36,0.565535
176.846,0.57061
178.332,0.575686
179.818,0.582107
181.304,0.588527
182.79,0.594945
184.276,0.601358
185.762,0.607766
187.249,0.614168
188.735,0.620562
190.221,0.626946
191.707,0.633318
193.193,0.639679
194.679,0.646026
196.165,0.652359
197.651,0.658676
199.137,0.664977
200.623,0.67126
202.11,0.677524
203.596,0.683765
205.082,0.689981
206.568,0.696172
208.054,0.702337
209.54,0.708473
211.026,0.714582
212.512,0.72066
213.998,0.726709
215.484,0.732726
216.971,0.738711
218.457,0.744657
219.943,0.750563
221.429,0.756428
222.915,0.762251
224.401,0.768033
225.887,0.773771
227.373,0.779465
228.859,0.785115
230.345,0.790721
231.832,0.796281
233.318,0.801787
234.804,0.807238
236.29,0.812635
237.776,0.817977
239.262,0.823263
240.748,0.828494
242.234,0.833669
243.72,0.838788
245.206,0.843851
246.693,0.848858
248.179,0.85381
249.665,0.858705
251.151,0.863545
252.637,0.868329
254.123,0.873058
255.609,0.877733
257.095,0.882353
258.581,0.886919
260.067,0.891432
261.554,0.895892
263.04,0.900285
264.526,0.904611
266.012,0.908871
267.498,0.913067
268.984,0.9172
270.47,0.921269
271.956,0.925278
273.442,0.929226
274.928,0.933115
276.415,0.936946
277.901,0.94067
279.387,0.944288
280.873,0.947805
282.359,0.951222
283.845,0.954544
285.331,0.957771
286.817,0.960908
288.303,0.963957
289.789,0.966922
291.276,0.969805
292.762,0.972543
294.248,0.975144
295.734,0.977612
297.22,0.979952
298.706,0.982171
300.192,0.984274
301.678,0.986265
303.164,0.988149
304.65,0.989931
306.137,0.991616
307.623,0.99319
309.109,0.994658
310.595,0.996026
312.081,0.997296
313.567,0.998475
315.053,0.999567
316.539,1.00057
318.025,1.0015
319.512,1.00235
320.998,1.00315
322.484,1.0039
323.97,1.0046
325.456,1.00525
326.942,1.00586
328.428,1.00642
329.914,1.00695
331.4,1.00744
332.886,1.00789
334.373,1.0083
335.859,1.00869
337.345,1.00906
338.831,1.0094
340.317,1.00972
341.803,1.01002
343.289,1.01029
344.775,1.01055
346.261,1.01079
347.747,1.01102
349.234,1.01122
350.72,1.01142
352.206,1.0116
353.692,1.01176
355.178,1.01192
356.664,1.01206
358.15,1.0122
359.636,1.01232
361.122,1.01244
362.608,1.01254
364.095,1.01264
365.581,1.01273
367.067,1.01282
