PX, uold, uold-volup,조기상환형 베가
0,5.20E-16,-1.77E-16,0.00%
1.4861,0.00465909,0.00465909,0.00%
2.9722,0.00931819,0.00931819,0.00%
4.4583,0.0139773,0.0139773,0.00%
5.9444,0.0186364,0.0186364,0.00%
7.4305,0.0232955,0.0232955,0.00%
8.9166,0.0279546,0.0279546,0.00%
10.4027,0.0326137,0.0326137,0.00%
11.8888,0.0372728,0.0372728,0.00%
13.3749,0.0419319,0.0419319,0.00%
14.861,0.0465909,0.0465909,0.00%
16.3471,0.05125,0.05125,0.00%
17.8332,0.0559091,0.0559091,0.00%
19.3193,0.0605682,0.0605682,0.00%
20.8054,0.0652273,0.0652273,0.00%
22.2915,0.0698864,0.0698864,0.00%
23.7776,0.0745455,0.0745455,0.00%
25.2637,0.0792046,0.0792046,0.00%
26.7498,0.0838637,0.0838637,0.00%
28.2359,0.0885228,0.0885228,0.00%
29.722,0.0931819,0.093182,0.00%
31.2081,0.097841,0.0978411,0.00%
32.6942,0.1025,0.1025,0.00%
34.1803,0.107159,0.107159,0.00%
35.6664,0.111818,0.111819,0.00%
37.1525,0.116478,0.116478,0.00%
38.6386,0.121137,0.121137,0.00%
40.1247,0.125796,0.125797,0.00%
41.6108,0.130456,0.130457,0.00%
43.0969,0.135115,0.135116,0.00%
44.583,0.139775,0.139777,0.00%
46.0691,0.144435,0.144437,0.00%
47.5552,0.149095,0.149098,0.00%
49.0413,0.153755,0.153759,0.00%
50.5274,0.158416,0.15842,0.00%
52.0135,0.163077,0.163082,0.00%
53.4996,0.167739,0.167745,0.00%
54.9857,0.172401,0.172409,0.00%
56.4718,0.177064,0.177073,0.00%
57.9579,0.181727,0.181739,0.00%
59.444,0.186392,0.186405,0.00%
60.9301,0.191057,0.191073,0.00%
62.4162,0.195723,0.195743,0.00%
63.9023,0.200391,0.200413,0.00%
65.3884,0.20506,0.205086,0.00%
66.8745,0.209731,0.209761,0.00%
68.3606,0.214403,0.214437,0.00%
69.8467,0.219078,0.219116,0.00%
71.3328,0.223754,0.223798,0.00%
72.8189,0.228433,0.228482,0.00%
74.305,0.233114,0.233169,0.01%
75.7911,0.237797,0.237859,0.01%
77.2772,0.242484,0.242553,0.01%
78.7633,0.247174,0.247249,0.01%
80.2494,0.251867,0.25195,0.01%
81.7355,0.256563,0.256655,0.01%
83.2216,0.261263,0.261363,0.01%
