PX, uold4
0,-2.63678e-16
1.4699,0.00487914
2.9398,0.00975829
4.4097,0.0146374
5.8796,0.0195166
7.3495,0.0243957
8.8194,0.0292749
10.2893,0.034154
11.7592,0.0390332
13.2291,0.0439123
14.699,0.0487914
16.1689,0.0536706
17.6388,0.0585497
19.1087,0.0634289
20.5786,0.068308
22.0485,0.0731872
23.5184,0.0780663
24.9883,0.0829455
26.4582,0.0878246
27.9281,0.0927037
29.398,0.0975829
30.8679,0.102462
32.3378,0.107341
33.8077,0.11222
35.2776,0.117099
36.7475,0.121979
38.2174,0.126858
39.6873,0.131737
41.1572,0.136616
42.6271,0.141495
44.097,0.146374
45.5669,0.151253
47.0368,0.156133
48.5067,0.161012
49.9766,0.165891
51.4465,0.17077
52.9164,0.175649
54.3863,0.180528
55.8562,0.185407
57.3261,0.190287
58.796,0.195166
60.2659,0.200045
61.7358,0.204924
63.2057,0.209803
64.6756,0.214682
66.1455,0.219561
67.6154,0.224441
69.0853,0.22932
70.5552,0.234199
72.0251,0.239078
73.495,0.243957
74.9649,0.248836
76.4348,0.253716
77.9047,0.258595
79.3746,0.263474
80.8445,0.268353
82.3144,0.273232
83.7843,0.278111
85.2542,0.28299
86.7241,0.28787
88.194,0.292749
89.6639,0.297628
91.1338,0.302507
92.6037,0.307386
94.0736,0.312265
95.5435,0.317144
97.0134,0.322024
98.4833,0.326903
99.9532,0.331782
101.423,0.336661
102.893,0.341541
104.363,0.34642
105.833,0.351299
107.303,0.356179
108.773,0.361058
110.242,0.365938
111.712,0.370817
113.182,0.375697
114.652,0.380578
116.122,0.385458
117.592,0.390339
119.062,0.39522
120.532,0.400102
122.002,0.404984
123.472,0.409868
124.941,0.414752
126.411,0.419637
127.881,0.424523
129.351,0.429411
130.821,0.434301
132.291,0.439193
133.761,0.444088
135.231,0.448985
136.701,0.453885
138.171,0.45879
139.64,0.463698
141.11,0.468611
142.58,0.47353
144.05,0.478455
145.52,0.483387
146.99,0.488326
148.46,0.493275
149.93,0.498233
151.4,0.503201
152.87,0.508182
154.339,0.513175
155.809,0.518183
157.279,0.523207
158.749,0.528248
160.219,0.533308
161.689,0.538388
163.159,0.54349
164.629,0.548617
166.099,0.553769
167.569,0.558949
169.038,0.564159
170.508,0.569401
171.978,0.574677
173.448,0.57999
174.918,0.585342
176.388,0.590735
177.858,0.606226
179.328,0.621687
180.798,0.63709
182.268,0.652412
183.737,0.667628
185.207,0.682717
186.677,0.697647
188.147,0.712397
189.617,0.72695
191.087,0.741288
192.557,0.755394
194.027,0.769253
195.497,0.782853
196.967,0.796182
198.436,0.80923
199.906,0.821986
201.376,0.834416
202.846,0.846514
204.316,0.858272
205.786,0.869688
207.256,0.880759
208.726,0.891483
210.196,0.901859
211.666,0.911889
213.135,0.921575
214.605,0.930918
216.075,0.939892
217.545,0.9485
219.015,0.956751
220.485,0.964649
221.955,0.972203
223.425,0.979421
224.895,0.98631
226.365,0.992882
227.834,0.999144
229.304,1.00511
230.774,1.01075
232.244,1.0161
233.714,1.02114
235.184,1.02591
236.654,1.03041
238.124,1.03465
239.594,1.03864
241.064,1.04239
242.533,1.04592
244.003,1.04924
245.473,1.05234
246.943,1.05523
248.413,1.05792
249.883,1.06043
251.353,1.06276
252.823,1.06492
254.293,1.06693
255.763,1.0688
257.232,1.07053
258.702,1.07213
260.172,1.0736
261.642,1.07495
263.112,1.0762
264.582,1.07733
266.052,1.07838
267.522,1.07933
268.992,1.0802
270.462,1.081
271.931,1.08173
273.401,1.08239
274.871,1.083
276.341,1.08354
277.811,1.08403
279.281,1.08447
280.751,1.08487
282.221,1.08523
283.691,1.08555
285.161,1.08584
286.63,1.08611
288.1,1.08634
289.57,1.08655
291.04,1.08673
292.51,1.0869
293.98,1.08704
295.45,1.08717
296.92,1.08729
298.39,1.08739
299.86,1.08748
301.329,1.08755
302.799,1.08762
304.269,1.08768
305.739,1.08774
307.209,1.08778
308.679,1.08782
310.149,1.08786
311.619,1.08789
313.089,1.08791
314.559,1.08794
316.028,1.08796
317.498,1.08797
318.968,1.08799
320.438,1.088
321.908,1.08801
323.378,1.08802
324.848,1.08803
326.318,1.08803
327.788,1.08804
329.258,1.08804
330.727,1.08805
332.197,1.08805
333.667,1.08805
335.137,1.08806
336.607,1.08806
338.077,1.08806
339.547,1.08806
341.017,1.08806
342.487,1.08806
343.957,1.08806
345.426,1.08807
346.896,1.08807
348.366,1.08807
349.836,1.08807
351.306,1.08807
352.776,1.08807
354.246,1.08807
355.716,1.08807
357.186,1.08807
358.656,1.08807
360.125,1.08807
361.595,1.08807
363.065,1.08807
364.535,1.08807
366.005,1.08807
367.475,1.08807
368.945,1.08807
370.415,1.08807
371.885,1.08807
373.355,1.08807
374.824,1.08807
376.294,1.08807
377.764,1.08807
379.234,1.08807
380.704,1.08807
382.174,1.08807
