PX, uold
0,0
1.4699,0.005
2.9398,0.01
4.4097,0.015
5.8796,0.02
7.3495,0.025
8.8194,0.03
10.2893,0.035
11.7592,0.04
13.2291,0.045
14.699,0.05
16.1689,0.055
17.6388,0.06
19.1087,0.065
20.5786,0.07
22.0485,0.075
23.5184,0.08
24.9883,0.085
26.4582,0.09
27.9281,0.095
29.398,0.1
30.8679,0.105
32.3378,0.11
33.8077,0.115
35.2776,0.12
36.7475,0.125
38.2174,0.13
39.6873,0.135
41.1572,0.14
42.6271,0.145
44.097,0.15
45.5669,0.155
47.0368,0.16
48.5067,0.165
49.9766,0.17
51.4465,0.175
52.9164,0.18
54.3863,0.185
55.8562,0.19
57.3261,0.195
58.796,0.2
60.2659,0.205
61.7358,0.21
63.2057,0.215
64.6756,0.22
66.1455,0.225
67.6154,0.23
69.0853,0.235
70.5552,0.24
72.0251,0.245
73.495,0.25
74.9649,0.255
76.4348,0.26
77.9047,0.265
79.3746,0.27
80.8445,0.275
82.3144,0.28
83.7843,0.285
85.2542,0.29
86.7241,0.295
88.194,0.3
89.6639,0.305
91.1338,0.31
92.6037,0.315
94.0736,0.32
95.5435,0.325
97.0134,0.33
98.4833,0.335
99.9532,0.34
101.423,0.345
102.893,0.35
104.363,0.355
105.833,0.36
107.303,0.365
108.773,0.37
110.242,0.375
111.712,0.38
113.182,0.385
114.652,0.39
116.122,0.395
117.592,0.4
119.062,0.405
120.532,0.41
122.002,0.415
123.472,0.42
124.941,0.425
126.411,0.43
127.881,0.435
129.351,0.44
130.821,0.445
132.291,0.45
133.761,0.455
135.231,0.46
136.701,0.465
138.171,0.47
139.64,0.475
141.11,0.48
142.58,0.485
144.05,0.49
145.52,0.495
146.99,0.5
148.46,0.505
149.93,0.51
151.4,0.515
152.87,0.52
154.339,0.525
155.809,0.53
157.279,0.535
158.749,0.54
160.219,0.545
161.689,0.55
163.159,0.555
164.629,0.56
166.099,0.565
167.569,0.57
169.038,0.575
170.508,0.58
171.978,0.585
173.448,0.59
174.918,0.595
176.388,0.6
177.858,1.114
179.328,1.114
180.798,1.114
182.268,1.114
183.737,1.114
185.207,1.114
186.677,1.114
188.147,1.114
189.617,1.114
191.087,1.114
192.557,1.114
194.027,1.114
195.497,1.114
196.967,1.114
198.436,1.114
199.906,1.114
201.376,1.114
202.846,1.114
204.316,1.114
205.786,1.114
207.256,1.114
208.726,1.114
210.196,1.114
211.666,1.114
213.135,1.114
214.605,1.114
216.075,1.114
217.545,1.114
219.015,1.114
220.485,1.114
221.955,1.114
223.425,1.114
224.895,1.114
226.365,1.114
227.834,1.114
229.304,1.114
230.774,1.114
232.244,1.114
233.714,1.114
235.184,1.114
236.654,1.114
238.124,1.114
239.594,1.114
241.064,1.114
242.533,1.114
244.003,1.114
245.473,1.114
246.943,1.114
248.413,1.114
249.883,1.114
251.353,1.114
252.823,1.114
254.293,1.114
255.763,1.114
257.232,1.114
258.702,1.114
260.172,1.114
261.642,1.114
263.112,1.114
264.582,1.114
266.052,1.114
267.522,1.114
268.992,1.114
270.462,1.114
271.931,1.114
273.401,1.114
274.871,1.114
276.341,1.114
277.811,1.114
279.281,1.114
280.751,1.114
282.221,1.114
283.691,1.114
285.161,1.114
286.63,1.114
288.1,1.114
289.57,1.114
291.04,1.114
292.51,1.114
293.98,1.114
295.45,1.114
296.92,1.114
298.39,1.114
299.86,1.114
301.329,1.114
302.799,1.114
304.269,1.114
305.739,1.114
307.209,1.114
308.679,1.114
310.149,1.114
311.619,1.114
313.089,1.114
314.559,1.114
316.028,1.114
317.498,1.114
318.968,1.114
320.438,1.114
321.908,1.114
323.378,1.114
324.848,1.114
326.318,1.114
