PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기)
0%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0,,,,,,,,,,,,,,
1%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,1.4861,0.0000%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
1%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,2.9722,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,4.4583,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,5.9444,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
3%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,7.4305,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
3%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,8.9166,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
4%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,10.4027,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
4%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,11.8888,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
5%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,13.3749,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
5%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,14.861,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,16.3471,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,17.8332,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
7%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,19.3193,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
7%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,20.8054,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
8%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,22.2915,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
8%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,23.7776,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
9%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,25.2637,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
9%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,26.7498,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,28.2359,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10%,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,29.722,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
