PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
0%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,0,,,,,,,,,,,,,,,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
1%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,1.4861,0.0000%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
1%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,2.9722,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
2%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,4.4583,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
2%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,5.9444,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
3%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,7.4305,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
3%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,8.9166,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
4%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,10.4027,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
4%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,11.8888,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
5%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,13.3749,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
5%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,14.861,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
6%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,16.3471,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
6%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,17.8332,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
7%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,19.3193,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
