PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시 volup,6개월후up,12개월후up,18개월후uip,24개월후up,30개월후up,만기up,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
0%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,,,,,,,,,,,,,,,,-1.76942E-16,-2.91434E-16,-1.94289E-16,-1.00614E-16,-5.55112E-17,-3.46945E-18,0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
1%,0.47%,0.47%,0.48%,0.49%,0.49%,0.50%,0.50%,1.4861,0.4659%,0.47%,0.48%,0.49%,0.49%,0.50%,0.50%,,,,,,,,,0.00465909,0.00474296,0.00476659,0.00485332,0.00487802,0.00496911,0.005,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
1%,0.93%,0.95%,0.95%,0.97%,0.98%,0.99%,1.00%,2.9722,0.93%,0.95%,0.95%,0.97%,0.98%,0.99%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00931819,0.00948592,0.00953318,0.00970664,0.00975603,0.00993821,0.01,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
2%,1.40%,1.42%,1.43%,1.46%,1.46%,1.49%,1.50%,4.4583,1.40%,1.42%,1.43%,1.46%,1.46%,1.49%,1.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.0139773,0.0142289,0.0142998,0.01456,0.0146341,0.0149073,0.015,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
2%,1.86%,1.90%,1.91%,1.94%,1.95%,1.99%,2.00%,5.9444,1.86%,1.90%,1.91%,1.94%,1.95%,1.99%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.0186364,0.0189718,0.0190664,0.0194133,0.0195121,0.0198764,0.02,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
3%,2.33%,2.37%,2.38%,2.43%,2.44%,2.48%,2.50%,7.4305,2.33%,2.37%,2.38%,2.43%,2.44%,2.48%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.0232955,0.0237148,0.0238329,0.0242666,0.0243901,0.0248455,0.025,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
3%,2.80%,2.85%,2.86%,2.91%,2.93%,2.98%,3.00%,8.9166,2.80%,2.85%,2.86%,2.91%,2.93%,2.98%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.0279546,0.0284578,0.0285995,0.0291199,0.0292681,0.0298146,0.03,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
4%,3.26%,3.32%,3.34%,3.40%,3.41%,3.48%,3.50%,10.4027,3.26%,3.32%,3.34%,3.40%,3.41%,3.48%,3.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.0326137,0.0332007,0.0333661,0.0339732,0.0341461,0.0347838,0.035,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
4%,3.73%,3.79%,3.81%,3.88%,3.90%,3.98%,4.00%,11.8888,3.73%,3.79%,3.81%,3.88%,3.90%,3.98%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.0372728,0.0379437,0.0381327,0.0388266,0.0390241,0.0397529,0.04,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
5%,4.19%,4.27%,4.29%,4.37%,4.39%,4.47%,4.50%,13.3749,4.19%,4.27%,4.29%,4.37%,4.39%,4.47%,4.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.0419319,0.0426866,0.0428993,0.0436799,0.0439022,0.044722,0.045,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
