PX, vold, vold-volup,바닐라옵션 베가,바닐라옵션 vega(%),조기상환형 vega(%),헤지후 Net vega
0,263.108,263.108,0,0.00%,0.000%,0.00%
1.4861,261.656,261.656,0,0.00%,0.000%,0.00%
2.9722,260.203,260.203,0,0.00%,0.000%,0.00%
4.4583,258.751,258.751,0,0.00%,0.000%,0.00%
5.9444,257.298,257.298,0,0.00%,0.000%,0.00%
7.4305,255.845,255.845,0,0.00%,0.000%,0.00%
8.9166,254.393,254.393,0,0.00%,0.000%,0.00%
10.4027,252.94,252.94,0,0.00%,0.000%,0.00%
11.8888,251.488,251.488,0,0.00%,0.000%,0.00%
13.3749,250.035,250.035,0,0.00%,0.000%,0.00%
14.861,248.582,248.582,0,0.00%,0.000%,0.00%
16.3471,247.13,247.13,0,0.00%,0.000%,0.00%
17.8332,245.677,245.677,0,0.00%,0.000%,0.00%
19.3193,244.225,244.225,0,0.00%,0.000%,0.00%
20.8054,242.772,242.772,0,0.00%,0.000%,0.00%
22.2915,241.319,241.319,0,0.00%,0.000%,0.00%
23.7776,239.867,239.867,0,0.00%,0.000%,0.00%
25.2637,238.414,238.414,0,0.00%,0.000%,0.00%
26.7498,236.962,236.962,0,0.00%,0.000%,0.00%
28.2359,235.509,235.509,0,0.00%,0.000%,0.00%
29.722,234.057,234.057,0,0.00%,0.000%,0.00%
31.2081,232.604,232.604,0,0.00%,0.000%,0.00%
32.6942,231.151,231.151,0,0.00%,0.000%,0.00%
34.1803,229.699,229.699,0,0.00%,0.000%,0.00%
35.6664,228.246,228.246,0,0.00%,0.000%,0.00%
37.1525,226.794,226.794,0,0.00%,0.000%,0.00%
38.6386,225.341,225.341,0,0.00%,0.000%,0.00%
40.1247,223.888,223.888,0,0.00%,0.000%,0.00%
41.6108,222.436,222.436,0,0.00%,0.000%,0.00%
43.0969,220.983,220.983,0,0.00%,0.000%,0.00%
44.583,219.531,219.531,0,0.00%,0.000%,0.00%
46.0691,218.078,218.078,0,0.00%,0.000%,0.00%
47.5552,216.626,216.626,0,0.00%,0.000%,0.00%
49.0413,215.173,215.173,0,0.00%,0.000%,0.00%
50.5274,213.72,213.72,0,0.00%,0.000%,0.00%
52.0135,212.268,212.268,0,0.00%,0.001%,0.00%
53.4996,210.815,210.815,0,0.00%,0.001%,0.00%
54.9857,209.363,209.363,0,0.00%,0.001%,0.00%
56.4718,207.91,207.91,0,0.00%,0.001%,0.00%
57.9579,206.457,206.457,0,0.00%,0.001%,0.00%
59.444,205.005,205.005,0,0.00%,0.001%,0.00%
60.9301,203.552,203.552,0,0.00%,0.002%,0.00%
62.4162,202.1,202.1,0,0.00%,0.002%,0.00%
63.9023,200.647,200.647,0,0.00%,0.002%,0.00%
65.3884,199.195,199.195,0,0.00%,0.003%,0.00%
66.8745,197.742,197.742,0,0.00%,0.003%,0.00%
68.3606,196.289,196.29,0.001,0.00%,0.003%,0.00%
69.8467,194.837,194.837,0,0.00%,0.004%,0.00%
71.3328,193.384,193.385,0.001,0.00%,0.004%,0.01%
72.8189,191.932,191.932,0,0.00%,0.005%,0.00%
74.305,190.479,190.48,0.001,0.00%,0.005%,0.01%
75.7911,189.027,189.027,0,0.00%,0.006%,0.01%
77.2772,187.575,187.575,0,0.00%,0.007%,0.01%
78.7633,186.122,186.123,0.001,0.00%,0.007%,0.01%
80.2494,184.67,184.671,0.001,0.00%,0.008%,0.01%
81.7355,183.218,183.218,0,0.00%,0.009%,0.01%
83.2216,181.765,181.766,0.001,0.00%,0.010%,0.01%
84.7077,180.313,180.314,0.001,0.00%,0.011%,0.01%
86.1938,178.861,178.862,0.001,0.00%,0.012%,0.01%
87.6799,177.409,177.411,0.002,0.00%,0.013%,0.01%
89.166,175.957,175.959,0.002,0.00%,0.014%,0.02%
90.6521,174.505,174.508,0.003,0.00%,0.015%,0.02%
92.1382,173.054,173.056,0.002,0.00%,0.016%,0.02%
93.6243,171.602,171.605,0.003,0.00%,0.017%,0.02%
95.1104,170.151,170.154,0.003,0.00%,0.018%,0.02%
96.5965,168.7,168.704,0.004,0.00%,0.020%,0.02%
98.0826,167.249,167.253,0.004,0.00%,0.021%,0.02%
99.5687,165.798,165.803,0.005,0.00%,0.022%,0.03%
101.055,164.347,164.353,0.006,0.01%,0.023%,0.03%
102.541,162.897,162.904,0.007,0.01%,0.024%,0.03%
104.027,161.447,161.455,0.008,0.01%,0.026%,0.03%
105.513,159.997,160.006,0.009,0.01%,0.027%,0.03%
106.999,158.548,158.558,0.01,0.01%,0.028%,0.04%
108.485,157.099,157.11,0.011,0.01%,0.029%,0.04%
109.971,155.651,155.663,0.012,0.01%,0.031%,0.04%
111.457,154.203,154.217,0.014,0.01%,0.032%,0.04%
112.944,152.756,152.771,0.015,0.01%,0.033%,0.05%
114.43,151.309,151.326,0.017,0.02%,0.034%,0.05%
115.916,149.862,149.881,0.019,0.02%,0.035%,0.05%
117.402,148.417,148.437,0.02,0.02%,0.037%,0.05%
118.888,146.972,146.994,0.022,0.02%,0.038%,0.06%
120.374,145.527,145.552,0.025,0.02%,0.039%,0.06%
121.86,144.084,144.111,0.027,0.02%,0.040%,0.06%
123.346,142.641,142.671,0.03,0.03%,0.041%,0.07%
124.832,141.2,141.232,0.032,0.03%,0.042%,0.07%
126.318,139.759,139.794,0.035,0.03%,0.043%,0.07%
127.805,138.319,138.358,0.039,0.03%,0.044%,0.08%
129.291,136.88,136.922,0.042,0.04%,0.044%,0.08%
130.777,135.443,135.488,0.045,0.04%,0.045%,0.09%
132.263,134.006,134.055,0.049,0.04%,0.046%,0.09%
133.749,132.571,132.624,0.053,0.05%,0.046%,0.09%
135.235,131.137,131.194,0.057,0.05%,0.047%,0.10%
136.721,129.705,129.765,0.06,0.05%,0.047%,0.10%
138.207,128.274,128.339,0.065,0.06%,0.048%,0.11%
139.693,126.844,126.914,0.07,0.06%,0.048%,0.11%
141.179,125.416,125.491,0.075,0.07%,0.048%,0.11%
