,,,,,178.332,193.193,208.054,222.915,237.776,252.637,267.498,282.359,297.22,312.081,326.942,341.803,356.664,371.525,386.386,401.247,416.108
KOSPI200,M,기준일,,구간,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4
0.08333,,KOSPI200,I,1M,34.84,33.1,31.35,29.6,27.78,25.77,22.79,19.24,16.41,15.32,16.18,17.29,18.07,18.83,19.68,20.34,20.9
0.16667,,KOSPI200,I,2M,31.82,30.02,28.22,26.4,24.54,22.52,20.1,17.7,15.68,14.52,14.29,14.84,15.65,16.45,17.22,17.92,18.55
0.25,,KOSPI200,I,3M,30.69,28.83,26.97,25.09,23.18,21.18,19.07,16.99,15.27,14.32,14.23,14.76,15.54,16.34,17.11,17.82,18.49
0.5,,KOSPI200,I,6M,27.09,25.43,23.8,22.18,20.58,19,17.48,16.07,14.91,14.18,13.95,14.11,14.51,15.02,15.55,16.09,16.62
0.75,,KOSPI200,I,9M,24.41,23,21.63,20.29,19.01,17.78,16.64,15.62,14.79,14.23,13.96,13.94,14.1,14.37,14.7,15.06,15.43
1,,KOSPI200,I,12M,22.77,21.56,20.41,19.3,18.26,17.27,16.36,15.56,14.9,14.4,14.09,13.95,13.96,14.06,14.24,14.46,14.71
1.5,,KOSPI200,I,18M,20.73,19.81,18.95,18.14,17.39,16.69,16.06,15.5,15.03,14.65,14.36,14.16,14.04,14,14.01,14.07,14.17
2,,KOSPI200,I,24M,19.44,18.71,18.02,17.39,16.81,16.29,15.81,15.39,15.03,14.73,14.49,14.31,14.18,14.1,14.06,14.05,14.07
2.5,,KOSPI200,I,30M,18.76,18.15,17.6,17.09,16.62,16.19,15.8,15.46,15.16,14.9,14.68,14.51,14.36,14.26,14.18,14.13,14.1
3,,KOSPI200,I,36M,18.21,17.7,17.23,16.8,16.41,16.06,15.73,15.45,15.2,14.97,14.78,14.62,14.49,14.38,14.29,14.22,14.18
