PX, vold, vold-volup,바닐라옵션 베가,,바닐라옵션 vega(%),조기상환형 vega(%),노셔널,787.633
0,292.343,292.343,0,18.2298,0.00%,0.000%,,
1.4861,290.89,290.89,0,,0.00%,0.000%,,
2.9722,289.437,289.437,0,,0.00%,0.000%,,
4.4583,287.985,287.985,0,,0.00%,0.000%,,
5.9444,286.532,286.532,0,,0.00%,0.000%,,
7.4305,285.08,285.08,0,,0.00%,0.000%,,
8.9166,283.627,283.627,0,,0.00%,0.000%,,
10.4027,282.174,282.174,0,,0.00%,0.000%,,
11.8888,280.722,280.722,0,,0.00%,0.000%,,
13.3749,279.269,279.269,0,,0.00%,0.000%,,
14.861,277.817,277.817,0,,0.00%,0.000%,,
16.3471,276.364,276.364,0,,0.00%,0.000%,,
17.8332,274.911,274.911,0,,0.00%,0.000%,,
19.3193,273.459,273.459,0,,0.00%,0.000%,,
20.8054,272.006,272.006,0,,0.00%,0.000%,,
22.2915,270.554,270.554,0,,0.00%,0.000%,,
23.7776,269.101,269.101,0,,0.00%,0.000%,,
25.2637,267.649,267.649,0,,0.00%,0.000%,,
26.7498,266.196,266.196,0,,0.00%,0.000%,,
28.2359,264.743,264.743,0,,0.00%,0.000%,,
29.722,263.291,263.291,0,,0.00%,0.000%,,
31.2081,261.838,261.838,0,,0.00%,0.000%,,
32.6942,260.386,260.386,0,,0.00%,0.000%,,
34.1803,258.933,258.933,0,,0.00%,0.000%,,
35.6664,257.48,257.48,0,,0.00%,0.000%,,
37.1525,256.028,256.028,0,,0.00%,0.000%,,
38.6386,254.575,254.575,0,,0.00%,0.000%,,
40.1247,253.123,253.123,0,,0.00%,0.000%,,
41.6108,251.67,251.67,0,,0.00%,0.000%,,
43.0969,250.218,250.218,0,,0.00%,0.000%,,
44.583,248.765,248.765,0,,0.00%,0.000%,,
46.0691,247.312,247.312,0,,0.00%,0.000%,,
47.5552,245.86,245.86,0,,0.00%,0.000%,,
49.0413,244.407,244.407,0,,0.00%,0.000%,,
50.5274,242.955,242.955,0,,0.00%,0.000%,,
52.0135,241.502,241.502,0,,0.00%,0.001%,,
53.4996,240.049,240.049,0,,0.00%,0.001%,,
54.9857,238.597,238.597,0,,0.00%,0.001%,,
56.4718,237.144,237.144,0,,0.00%,0.001%,,
57.9579,235.692,235.692,0,,0.00%,0.001%,,
59.444,234.239,234.239,0,,0.00%,0.001%,,
60.9301,232.787,232.787,0,,0.00%,0.002%,,
62.4162,231.334,231.334,0,,0.00%,0.002%,,
63.9023,229.881,229.881,0,,0.00%,0.002%,,
65.3884,228.429,228.429,0,,0.00%,0.003%,,
66.8745,226.976,226.976,0,,0.00%,0.003%,,
68.3606,225.524,225.524,0,,0.00%,0.003%,,
69.8467,224.071,224.071,0,,0.00%,0.004%,,
71.3328,222.618,222.618,0,,0.00%,0.004%,,
72.8189,221.166,221.166,0,,0.00%,0.005%,,
74.305,219.713,219.713,0,,0.00%,0.005%,,
