PX, vold
0,263.108
1.4861,261.656
2.9722,260.203
4.4583,258.751
5.9444,257.298
7.4305,255.845
8.9166,254.393
10.4027,252.94
11.8888,251.488
13.3749,250.035
14.861,248.582
16.3471,247.13
17.8332,245.677
19.3193,244.225
20.8054,242.772
22.2915,241.319
23.7776,239.867
25.2637,238.414
26.7498,236.962
28.2359,235.509
29.722,234.057
31.2081,232.604
32.6942,231.151
34.1803,229.699
35.6664,228.246
37.1525,226.794
38.6386,225.341
40.1247,223.888
41.6108,222.436
43.0969,220.983
44.583,219.531
46.0691,218.078
47.5552,216.626
49.0413,215.173
50.5274,213.72
52.0135,212.268
53.4996,210.815
54.9857,209.363
56.4718,207.91
57.9579,206.457
59.444,205.005
60.9301,203.552
62.4162,202.1
63.9023,200.647
65.3884,199.195
66.8745,197.742
68.3606,196.289
69.8467,194.837
71.3328,193.384
72.8189,191.932
74.305,190.479
75.7911,189.027
77.2772,187.575
78.7633,186.122
80.2494,184.67
81.7355,183.218
83.2216,181.765
84.7077,180.313
86.1938,178.861
87.6799,177.409
89.166,175.957
90.6521,174.505
92.1382,173.054
93.6243,171.602
95.1104,170.151
96.5965,168.7
98.0826,167.249
99.5687,165.798
101.055,164.347
102.541,162.897
104.027,161.447
105.513,159.997
106.999,158.548
108.485,157.099
109.971,155.651
111.457,154.203
112.944,152.756
114.43,151.309
115.916,149.862
117.402,148.417
118.888,146.972
120.374,145.527
121.86,144.084
123.346,142.641
124.832,141.2
126.318,139.759
127.805,138.319
129.291,136.88
130.777,135.443
132.263,134.006
133.749,132.571
135.235,131.137
136.721,129.705
138.207,128.274
139.693,126.844
141.179,125.416
142.666,123.99
144.152,122.565
145.638,121.142
147.124,119.722
148.61,118.303
150.096,116.886
151.582,115.471
153.068,114.058
154.554,112.648
156.04,111.24
157.527,109.834
159.013,108.431
160.499,107.031
161.985,105.633
163.471,104.238
164.957,102.846
166.443,101.456
167.929,100.07
169.415,98.6867
170.901,97.3065
172.388,95.9295
173.874,94.5559
175.36,93.1856
176.846,91.8188
178.332,90.4556
179.818,89.0959
181.304,87.74
182.79,86.3878
184.276,85.0394
185.762,83.695
187.249,82.3546
188.735,81.0189
190.221,79.6881
191.707,78.3621
193.193,77.0411
194.679,75.7251
196.165,74.4143
197.651,73.1088
199.137,71.8085
200.623,70.5136
202.11,69.2241
203.596,67.9413
205.082,66.665
206.568,65.3956
208.054,64.1329
209.54,62.8772
211.026,61.6285
212.512,60.3868
213.998,59.1523
215.484,57.925
216.971,56.705
218.457,55.4938
219.943,54.2915
221.429,53.0981
222.915,51.9138
224.401,50.7385
225.887,49.5724
227.373,48.4154
228.859,47.2677
230.345,46.1293
231.832,45.0003
233.318,43.8823
234.804,42.7755
236.29,41.68
237.776,40.5956
239.262,39.5224
240.748,38.4605
242.234,37.4097
243.72,36.3701
245.206,35.3417
246.693,34.3244
248.179,33.3182
249.665,32.3233
251.151,31.3394
252.637,30.3666
254.123,29.4047
255.609,28.4536
257.095,27.5133
258.581,26.5837
260.067,25.6646
261.554,24.7559
263.04,23.8606
264.526,22.9785
266.012,22.1094
266.755,21.6796
268.241,20.8296
270.47,19.5779
271.956,18.7587
273.442,17.9513
274.928,17.1556
276.415,16.3713
277.901,15.6086
279.387,14.867
280.873,14.1458
282.359,13.4446
283.845,12.7627
285.331,12.0995
286.817,11.4544
288.303,10.8268
289.789,10.216
291.276,9.6215
292.762,9.0564
294.248,8.51947
295.734,8.00951
297.22,7.52534
298.706,7.06582
300.192,6.62985
301.678,6.21637
303.164,5.82436
304.65,5.45283
306.137,5.10086
307.623,4.77135
309.109,4.46325
310.595,4.17555
312.081,3.90733
313.567,3.6577
315.053,3.4258
316.539,3.21085
318.025,3.01207
319.512,2.82876
320.998,2.6562
322.484,2.49391
323.97,2.34149
325.456,2.19849
326.942,2.06451
328.428,1.93916
329.914,1.82207
331.4,1.71286
