PX, vold
0,292.343
1.4861,290.89
2.9722,289.437
4.4583,287.985
5.9444,286.532
7.4305,285.08
8.9166,283.627
10.4027,282.174
11.8888,280.722
13.3749,279.269
14.861,277.817
16.3471,276.364
17.8332,274.911
19.3193,273.459
20.8054,272.006
22.2915,270.554
23.7776,269.101
25.2637,267.649
26.7498,266.196
28.2359,264.743
29.722,263.291
31.2081,261.838
32.6942,260.386
34.1803,258.933
35.6664,257.48
37.1525,256.028
38.6386,254.575
40.1247,253.123
41.6108,251.67
43.0969,250.218
44.583,248.765
46.0691,247.312
47.5552,245.86
49.0413,244.407
50.5274,242.955
52.0135,241.502
53.4996,240.049
54.9857,238.597
56.4718,237.144
57.9579,235.692
59.444,234.239
60.9301,232.787
62.4162,231.334
63.9023,229.881
65.3884,228.429
66.8745,226.976
68.3606,225.524
69.8467,224.071
71.3328,222.618
72.8189,221.166
74.305,219.713
75.7911,218.261
77.2772,216.808
78.7633,215.356
80.2494,213.903
81.7355,212.451
83.2216,210.998
84.7077,209.546
86.1938,208.093
87.6799,206.641
89.166,205.188
90.6521,203.736
92.1382,202.283
93.6243,200.831
95.1104,199.379
96.5965,197.926
98.0826,196.474
99.5687,195.022
101.055,193.57
102.541,192.118
104.027,190.666
105.513,189.214
106.999,187.762
108.485,186.31
109.971,184.859
111.457,183.407
112.944,181.956
114.43,180.504
115.916,179.053
117.402,177.602
118.888,176.152
120.374,174.701
121.86,173.251
123.346,171.801
124.832,170.351
126.318,168.901
127.805,167.452
129.291,166.003
130.777,164.554
132.263,163.106
133.749,161.658
135.235,160.21
136.721,158.763
138.207,157.316
139.693,155.87
141.179,154.424
142.666,152.978
144.152,151.534
145.638,150.089
147.124,148.646
148.61,147.203
150.096,145.76
151.582,144.319
153.068,142.878
154.554,141.438
156.04,139.998
157.527,138.56
159.013,137.122
160.499,135.685
161.985,134.249
163.471,132.815
164.957,131.381
166.443,129.948
167.929,128.516
169.415,127.086
170.901,125.656
172.388,124.228
173.874,122.801
175.36,121.375
176.846,119.951
178.332,118.528
179.818,117.106
181.304,115.686
182.79,114.268
184.276,112.851
185.762,111.435
187.249,110.022
188.735,108.61
190.221,107.2
191.707,105.792
193.193,104.387
194.679,102.983
196.165,101.582
197.651,100.183
199.137,98.7869
200.623,97.3928
202.11,96.0012
203.596,94.6125
205.082,93.2269
206.568,91.8444
208.054,90.4651
209.54,89.0891
211.026,87.7164
212.512,86.3471
213.998,84.9812
215.484,83.6189
216.971,82.2603
218.457,80.906
219.943,79.5562
221.429,78.2109
222.915,76.8703
224.401,75.5343
225.887,74.2032
227.373,72.8769
