PX, vold
0,4.33681e-16
1.4861,0.00465909
2.9722,0.00931819
4.4583,0.0139773
5.9444,0.0186364
7.4305,0.0232955
8.9166,0.0279546
10.4027,0.0326137
11.8888,0.0372728
13.3749,0.0419319
14.861,0.0465909
16.3471,0.05125
17.8332,0.0559091
19.3193,0.0605682
20.8054,0.0652273
22.2915,0.0698864
23.7776,0.0745455
25.2637,0.0792046
26.7498,0.0838637
28.2359,0.0885228
29.722,0.093182
31.2081,0.0978411
32.6942,0.1025
34.1803,0.10716
35.6664,0.111819
37.1525,0.116478
38.6386,0.121138
40.1247,0.125797
41.6108,0.130457
43.0969,0.135117
44.583,0.139778
46.0691,0.144439
47.5552,0.1491
49.0413,0.153762
50.5274,0.158425
52.0135,0.163089
53.4996,0.167753
54.9857,0.172419
56.4718,0.177087
57.9579,0.181756
59.444,0.186426
60.9301,0.191099
62.4162,0.195774
63.9023,0.200452
65.3884,0.205132
66.8745,0.209816
68.3606,0.214503
69.8467,0.219194
71.3328,0.223889
72.8189,0.228589
74.305,0.233293
75.7911,0.238003
77.2772,0.242718
78.7633,0.247439
80.2494,0.252167
81.7355,0.256901
83.2216,0.261642
84.7077,0.266391
86.1938,0.271148
87.6799,0.275913
89.166,0.280686
90.6521,0.285468
92.1382,0.29026
93.6243,0.295061
95.1104,0.299873
96.5965,0.304694
98.0826,0.309526
99.5687,0.314369
101.055,0.319224
102.541,0.324089
104.027,0.328967
105.513,0.333856
106.999,0.338757
108.485,0.343671
109.971,0.348597
111.457,0.353536
112.944,0.358488
114.43,0.363453
115.916,0.36843
117.402,0.373421
118.888,0.378425
120.374,0.383442
121.86,0.388473
123.346,0.393517
124.832,0.398574
126.318,0.403644
127.805,0.408728
129.291,0.413824
130.777,0.418934
132.263,0.424056
133.749,0.429192
135.235,0.43434
136.721,0.4395
138.207,0.444673
139.693,0.449859
141.179,0.455056
142.666,0.460265
144.152,0.465485
145.638,0.470717
147.124,0.47596
148.61,0.481214
150.096,0.486479
151.582,0.491753
153.068,0.497038
154.554,0.502333
156.04,0.507637
157.527,0.51295
159.013,0.518272
160.499,0.523602
161.985,0.528941
163.471,0.534288
164.957,0.539641
166.443,0.545002
167.929,0.55037
169.415,0.555745
170.901,0.561125
172.388,0.566511
173.874,0.571902
175.36,0.577299
176.846,0.582699
178.332,0.588104
179.818,0.593513
181.304,0.598926
