PX, vold5
0,1.16226e-16
1.4861,0.00496911
2.9722,0.00993821
4.4583,0.0149073
5.9444,0.0198764
7.4305,0.0248455
8.9166,0.0298146
10.4027,0.0347838
11.8888,0.0397529
13.3749,0.044722
14.861,0.0496911
16.3471,0.0546602
17.8332,0.0596293
19.3193,0.0645984
20.8054,0.0695675
22.2915,0.0745366
23.7776,0.0795057
25.2637,0.0844748
26.7498,0.0894439
28.2359,0.094413
29.722,0.0993821
31.2081,0.104351
32.6942,0.10932
34.1803,0.114289
35.6664,0.119259
37.1525,0.124228
38.6386,0.129197
40.1247,0.134166
41.6108,0.139135
43.0969,0.144104
44.583,0.149073
46.0691,0.154042
47.5552,0.159011
49.0413,0.163981
50.5274,0.16895
52.0135,0.173919
53.4996,0.178888
54.9857,0.183857
56.4718,0.188826
57.9579,0.193795
59.444,0.198764
60.9301,0.203733
62.4162,0.208703
63.9023,0.213672
65.3884,0.218641
66.8745,0.22361
68.3606,0.228579
69.8467,0.233548
71.3328,0.238517
72.8189,0.243486
74.305,0.248455
75.7911,0.253424
77.2772,0.258394
78.7633,0.263363
80.2494,0.268332
81.7355,0.273301
83.2216,0.27827
84.7077,0.283239
86.1938,0.288208
87.6799,0.293177
89.166,0.298146
90.6521,0.303116
92.1382,0.308085
93.6243,0.313054
95.1104,0.318023
96.5965,0.322992
98.0826,0.327961
99.5687,0.33293
101.055,0.337899
102.541,0.342868
104.027,0.347838
105.513,0.352807
106.999,0.357776
108.485,0.362745
109.971,0.367714
111.457,0.372683
112.944,0.377652
114.43,0.382621
115.916,0.38759
117.402,0.392559
118.888,0.397529
120.374,0.402498
121.86,0.407467
123.346,0.412436
124.832,0.417405
126.318,0.422374
127.805,0.427343
129.291,0.432312
130.777,0.437281
132.263,0.442251
133.749,0.44722
135.235,0.452189
136.721,0.457158
138.207,0.462127
139.693,0.467096
141.179,0.472066
142.666,0.477035
144.152,0.482004
145.638,0.486974
147.124,0.491944
148.61,0.496914
150.096,0.501884
151.582,0.506854
153.068,0.511825
154.554,0.516797
156.04,0.52177
157.527,0.526743
159.013,0.531718
160.499,0.536695
161.985,0.541673
163.471,0.546655
164.957,0.551639
166.443,0.556627
167.929,0.56162
169.415,0.566618
170.901,0.571624
172.388,0.576637
173.874,0.581659
175.36,0.586693
176.846,0.59174
178.332,0.596801
179.818,0.60188
181.304,0.60698
182.79,0.612101
184.276,0.617249
185.762,0.622426
187.249,0.627636
188.735,0.632885
190.221,0.638177
191.707,0.643517
193.193,0.648909
194.679,0.654359
196.165,0.659872
197.651,0.665453
199.137,0.671108
200.623,0.676841
202.11,0.68266
203.596,0.688572
205.082,0.694583
206.568,0.700699
208.054,0.706925
209.54,0.713264
211.026,0.719722
212.512,0.726301
213.998,0.733004
215.484,0.739834
216.971,0.746792
218.457,0.753888
219.943,0.76112
221.429,0.768489
222.915,0.775992
224.401,0.783625
225.887,0.791385
227.373,0.799267
228.859,0.807263
230.345,0.815367
231.832,0.82357
233.318,0.83187
234.804,0.840255
236.29,0.848714
237.776,0.857234
239.262,0.865803
240.748,0.874405
242.234,0.883028
243.72,0.891657
245.206,0.900277
246.693,0.908872
248.179,0.917425
249.665,0.925922
251.151,0.934345
252.637,0.94268
254.123,0.950912
255.609,0.959026
257.095,0.967011
258.581,0.974851
260.067,0.982537
261.554,0.990057
263.04,0.997387
264.526,1.00452
266.012,1.01144
267.498,1.01815
268.984,1.02463
270.47,1.0309
271.956,1.03693
273.442,1.04273
274.928,1.0483
276.415,1.05363
277.901,1.05873
279.387,1.06358
280.873,1.0682
282.359,1.07258
283.845,1.07674
285.331,1.08067
286.817,1.08439
288.303,1.08789
289.789,1.09119
291.276,1.09429
292.762,1.09719
294.248,1.0999
295.734,1.10243
297.22,1.10479
298.706,1.10697
300.192,1.10901
301.678,1.11089
303.164,1.11263
304.65,1.11425
306.137,1.11574
307.623,1.1171
309.109,1.11836
310.595,1.11951
312.081,1.12056
313.567,1.12151
315.053,1.12239
316.539,1.12319
318.025,1.12391
319.512,1.12457
320.998,1.12517
322.484,1.1257
323.97,1.12619
325.456,1.12662
326.942,1.12701
328.428,1.12736
329.914,1.12767
331.4,1.12795
332.886,1.1282
334.373,1.12842
335.859,1.12862
337.345,1.1288
338.831,1.12896
340.317,1.1291
341.803,1.12922
343.289,1.12933
344.775,1.12943
346.261,1.12952
347.747,1.12959
349.234,1.12966
350.72,1.12972
352.206,1.12977
353.692,1.12982
355.178,1.12986
356.664,1.12989
358.15,1.12992
359.636,1.12995
361.122,1.12997
362.608,1.12999
364.095,1.13001
365.581,1.13003
367.067,1.13004
368.553,1.13005
370.039,1.13006
371.525,1.13007
373.011,1.13008
374.497,1.13008
375.983,1.13009
377.469,1.13009
378.956,1.1301
380.442,1.1301
381.928,1.1301
383.414,1.13011
