PX, vold,µ¨Å¸%,µ¨Å¸$,°¨¸¶$,°¨¸¶$2
0,262.747,,,,
1.4699,261.284,-0.995305803,-1.463,0.00%,
2.9398,259.821,-0.994965644,-2.925,0.00%,0.00%
4.4097,258.359,-0.994965644,-4.3875,-0.01%,0.00%
5.8796,256.896,-0.994965644,-5.85,0.02%,0.00%
7.3495,255.434,-0.994965644,-7.3125,-0.02%,0.00%
8.8194,253.971,-0.994965644,-8.775,0.04%,0.00%
10.2893,252.509,-0.994965644,-10.2375,-0.05%,0.00%
11.7592,251.046,-0.994965644,-11.7,0.06%,0.00%
13.2291,249.584,-0.994965644,-13.1625,-0.08%,0.00%
14.699,248.121,-0.994965644,-14.625,0.10%,0.00%
16.1689,246.659,-0.994965644,-16.0875,-0.12%,0.00%
17.6388,245.196,-0.994965644,-17.55,0.14%,0.00%
19.1087,243.734,-0.994965644,-19.0125,-0.17%,0.00%
20.5786,242.271,-0.994965644,-20.475,0.20%,0.00%
22.0485,240.809,-0.994965644,-21.9375,-0.23%,0.00%
23.5184,239.346,-0.994965644,-23.4,0.26%,0.00%
24.9883,237.884,-0.994965644,-24.8625,-0.29%,0.00%
26.4582,236.421,-0.994965644,-26.325,0.32%,0.00%
27.9281,234.959,-0.994965644,-27.7875,-0.36%,0.00%
29.398,233.496,-0.994965644,-29.25,0.40%,0.00%
30.8679,232.034,-0.994965644,-30.7125,-0.44%,0.00%
32.3378,230.571,-0.994965644,-32.175,0.48%,0.00%
33.8077,229.109,-0.994965644,-33.6375,-0.53%,-0.18%
35.2776,227.646,-0.995305803,-35.112,0.00%,0.00%
36.7475,226.183,-0.994965644,-36.5625,0.62%,0.21%
38.2174,224.721,-0.994965644,-38.025,-0.68%,0.00%
39.6873,223.258,-0.994965644,-39.4875,0.73%,0.00%
41.1572,221.796,-0.994965644,-40.95,-0.78%,0.00%
42.6271,220.333,-0.994965644,-42.4125,0.84%,0.00%
44.097,218.871,-0.994965644,-43.875,-0.90%,0.00%
45.5669,217.408,-0.994965644,-45.3375,0.96%,0.00%
47.0368,215.946,-0.994965644,-46.8,-1.02%,0.00%
48.5067,214.483,-0.994965644,-48.2625,1.09%,0.00%
49.9766,213.021,-0.994965644,-49.725,-1.16%,0.00%
51.4465,211.558,-0.994965644,-51.1875,1.23%,0.00%
52.9164,210.096,-0.994965644,-52.65,-1.30%,0.00%
54.3863,208.633,-0.994965644,-54.1125,1.37%,0.00%
55.8562,207.171,-0.994965644,-55.575,-1.44%,0.00%
57.3261,205.708,-0.994965644,-57.0375,1.52%,0.00%
58.796,204.246,-0.994965644,-58.5,-1.60%,0.00%
60.2659,202.783,-0.994965644,-59.9625,1.68%,0.00%
61.7358,201.321,-0.994965644,-61.425,-1.76%,0.00%
63.2057,199.858,-0.994965644,-62.8875,1.85%,0.00%
64.6756,198.396,-0.994965644,-64.35,-1.94%,0.00%
66.1455,196.933,-0.994965644,-65.8125,2.03%,0.00%
67.6154,195.471,-0.994965644,-67.275,-2.12%,-0.71%
69.0853,194.008,-0.995305803,-68.761,0.00%,0.00%
70.5552,192.545,-0.994965644,-70.2,2.30%,0.77%
72.0251,191.083,-0.994965644,-71.6625,-2.40%,0.00%
73.495,189.62,-0.994965644,-73.125,2.50%,0.00%
74.9649,188.158,-0.994965644,-74.5875,-2.60%,0.00%
76.4348,186.695,-0.994965644,-76.05,2.70%,0.00%
77.9047,185.233,-0.994965644,-77.5125,-2.81%,0.00%
79.3746,183.77,-0.994965644,-78.975,2.92%,0.00%
80.8445,182.308,-0.994965644,-80.4375,-3.02%,0.00%
82.3144,180.845,-0.994965644,-81.9,3.14%,0.00%
83.7843,179.383,-0.994965644,-83.3625,-3.25%,0.00%
85.2542,177.92,-0.994965644,-84.825,3.36%,0.00%
86.7241,176.458,-0.994965644,-86.2875,-3.48%,0.00%
88.194,174.995,-0.994965644,-87.75,3.60%,0.00%
89.6639,173.533,-0.994965644,-89.2125,-3.72%,0.00%
91.1338,172.07,-0.994965644,-90.675,3.84%,0.00%
92.6037,170.608,-0.994965644,-92.1375,-3.97%,0.00%
94.0736,169.145,-0.994965644,-93.6,4.10%,0.00%
95.5435,167.683,-0.994965644,-95.0625,-4.22%,0.00%
97.0134,166.22,-0.994965644,-96.525,4.36%,0.00%
98.4833,164.758,-0.994965644,-97.9875,-4.49%,-0.15%
99.9532,163.295,-0.99499949,-99.453383,4.16%,1.54%
101.423,161.833,-0.994625485,-100.8779005,0.95%,0.47%
102.893,160.371,-0.994897959,-102.3680357,-4.90%,-1.31%
104.363,158.908,-0.994897959,-103.8305357,5.04%,0.00%
105.833,157.446,-0.994897959,-105.2930357,-5.18%,0.00%
107.303,155.983,-0.994897959,-106.7555357,5.33%,0.01%
108.773,154.521,-0.994896223,-108.2178469,-5.45%,0.01%
110.242,153.059,-0.994896223,-109.6793494,5.60%,-0.01%
111.712,151.597,-0.994897959,-111.1420408,-5.78%,-0.01%
113.182,150.134,-0.994897959,-112.6045408,5.93%,1.98%
114.652,148.672,-0.994557823,-114.0280435,0.00%,2.03%
116.122,147.21,-0.994557823,-115.4900435,0.00%,2.08%
117.592,145.748,-0.994217687,-116.9120463,6.40%,2.13%
119.062,144.287,-0.994217687,-118.3735463,-6.56%,-2.19%
120.532,142.825,-0.994557823,-119.8760435,0.00%,0.00%
122.002,141.363,-0.994217687,-121.2965463,6.89%,2.31%
123.472,139.902,-0.99421572,-122.7578033,-7.02%,-2.34%
124.941,138.441,-0.994555971,-124.2608176,-0.04%,2.39%
126.411,136.979,-0.993877551,-125.6370551,14.79%,7.38%
127.881,135.519,-0.993537415,-127.0545582,-7.57%,2.52%
129.351,134.058,-0.993537415,-128.5150582,7.74%,2.58%
130.821,132.598,-0.993197279,-129.9310612,0.00%,2.64%
132.291,131.138,-0.993197279,-131.3910612,0.00%,0.00%
133.761,129.678,-0.993197279,-132.8510612,0.00%,2.76%
135.231,128.218,-0.992857143,-134.2650643,8.46%,8.46%
136.701,126.759,-0.992176871,-135.6315704,8.65%,5.79%
138.171,125.301,-0.992174209,-137.0897026,-8.77%,0.02%
139.64,123.843,-0.992174209,-138.5472065,8.96%,5.99%
141.11,122.385,-0.991496599,-139.910085,9.21%,12.26%
142.58,120.928,-0.990816327,-141.2705918,9.41%,12.54%
144.05,119.472,-0.990136054,-142.6290986,9.60%,9.60%
145.52,118.017,-0.989795918,-144.035102,0.00%,6.53%
146.99,116.562,-0.989455782,-145.4401054,10.00%,10.00%
148.46,115.108,-0.98877551,-146.7936122,10.20%,10.20%
149.93,113.655,-0.988435374,-148.1961156,0.00%,10.40%
151.4,112.202,-0.987755102,-149.5461224,21.22%,14.19%
152.87,110.751,-0.987070432,-150.893457,0.14%,18.08%
154.339,109.301,-0.986049677,-152.1859211,32.94%,22.00%
155.809,107.853,-0.985034014,-153.4771646,0.00%,18.67%
157.279,106.405,-0.984353741,-154.8181721,22.89%,19.08%
158.749,104.959,-0.983333333,-156.1031833,11.66%,23.32%
160.219,103.514,-0.982312925,-157.3851946,23.76%,27.72%
161.689,102.071,-0.980952381,-158.6092095,24.20%,29.04%
163.159,100.63,-0.979863946,-159.8736215,14.78%,26.69%
164.629,99.1902,-0.978741497,-161.1292338,26.34%,31.36%
166.099,97.7525,-0.977312925,-162.3306996,26.81%,31.18%
167.569,96.3169,-0.976250425,-163.5893075,13.31%,32.17%
169.038,94.8833,-0.974787343,-164.7761028,43.33%,43.98%
170.508,93.452,-0.972857143,-165.8799257,32.29%,47.42%
171.978,92.0231,-0.971190476,-167.0233957,34.22%,46.08%
173.448,90.5967,-0.969421769,-168.1442669,37.59%,49.19%
174.918,89.173,-0.967585034,-169.248039,38.23%,52.39%
176.388,87.752,-0.965646259,-170.3284122,43.19%,56.15%
177.858,86.334,-0.963605442,-171.3849367,43.92%,59.53%
179.328,84.919,-0.961496599,-172.423262,47.62%,63.50%
180.798,83.5072,-0.959251701,-173.430789,51.43%,62.75%
182.268,82.0988,-0.957264376,-174.4786632,37.58%,66.35%
183.737,80.6938,-0.954848588,-175.441015,72.77%,84.16%
185.207,79.2925,-0.951768707,-176.274227,69.84%,95.53%
186.677,77.8956,-0.948707483,-177.1018668,74.18%,98.37%
188.147,76.5033,-0.945544218,-177.9013079,76.99%,103.20%
189.617,75.1157,-0.942278912,-178.6721004,81.53%,109.26%
191.087,73.733,-0.938843537,-179.400795,87.87%,115.47%
192.557,72.3555,-0.935306122,-180.099741,89.23%,120.68%
194.027,70.9832,-0.931666667,-180.7684883,95.82%,127.18%
195.497,69.6164,-0.927857143,-181.3932879,100.81%,128.41%
196.967,68.2553,-0.924259952,-182.04871,87.60%,133.96%
198.436,66.9,-0.920244981,-182.6097331,126.19%,156.90%
199.906,65.5507,-0.91547619,-183.0091833,131.30%,175.20%
201.376,64.2085,-0.910578231,-183.3686019,136.99%,182.66%
202.846,62.8736,-0.905544218,-183.6860224,142.81%,189.78%
204.316,61.5462,-0.900408163,-183.9677943,146.82%,197.05%
205.786,60.2264,-0.895136054,-184.2064681,154.82%,205.12%
207.256,58.9145,-0.889727891,-184.4014438,159.03%,213.36%
208.726,57.6106,-0.884183673,-184.5521214,167.34%,222.45%
210.196,56.315,-0.878469388,-184.6507514,173.79%,224.46%
211.666,55.0279,-0.872984008,-184.7810331,158.24%,231.80%
213.135,53.7493,-0.867063627,-184.8016062,205.46%,259.84%
214.605,52.4796,-0.86037415,-184.6405944,211.00%,281.81%
216.075,51.2198,-0.853571429,-184.4354464,218.22%,290.96%
217.545,49.9701,-0.846632653,-184.1807005,225.58%,300.77%
219.015,48.7307,-0.839557823,-183.8757566,233.08%,309.29%
220.485,47.5018,-0.832414966,-183.5350138,236.22%,317.21%
221.955,46.2834,-0.825170068,-183.1506224,246.22%,326.77%
223.425,45.0758,-0.817789116,-182.7145332,251.80%,334.96%
224.895,43.8791,-0.81037415,-182.2490944,255.12%,336.32%
226.365,42.6933,-0.803130316,-181.8005941,246.71%,344.74%
227.834,41.5187,-0.795542702,-181.2516759,285.94%,360.43%
229.304,40.3552,-0.787823129,-180.6509948,262.79%,358.46%
230.774,39.2025,-0.780510204,-180.1214618,263.71%,354.07%
232.244,38.0605,-0.773163265,-179.5625294,272.07%,361.10%
233.714,36.9294,-0.765748299,-178.966098,275.53%,368.21%
235.184,35.8092,-0.75829932,-178.3398672,281.56%,373.71%
236.654,34.7,-0.75085034,-177.6917364,282.50%,378.40%
238.124,33.6017,-0.743401361,-177.0217056,288.65%,383.99%
239.594,32.5144,-0.735918367,-176.3216253,292.22%,383.26%
241.064,31.4381,-0.728683226,-175.6592931,276.41%,388.05%
242.533,30.3728,-0.721197686,-174.9142384,319.28%,422.28%
244.003,29.3185,-0.712857143,-173.9392814,352.67%,462.15%
245.473,28.277,-0.704081633,-172.8330306,362.51%,479.62%
246.943,27.2485,-0.695306122,-171.7009798,361.22%,482.56%
248.413,26.2328,-0.686632653,-170.5684772,362.68%,483.57%
249.883,25.2298,-0.678027211,-169.4274735,364.09%,486.42%
