PX, vold
0,262.747
1.4699,261.284
2.9398,259.821
4.4097,258.359
5.8796,256.896
7.3495,255.434
8.8194,253.971
10.2893,252.509
11.7592,251.046
13.2291,249.584
14.699,248.121
16.1689,246.659
17.6388,245.196
19.1087,243.734
20.5786,242.271
22.0485,240.809
23.5184,239.346
24.9883,237.884
26.4582,236.421
27.9281,234.959
29.398,233.496
30.8679,232.034
32.3378,230.571
33.8077,229.109
35.2776,227.646
36.7475,226.183
38.2174,224.721
39.6873,223.258
41.1572,221.796
42.6271,220.333
44.097,218.871
45.5669,217.408
47.0368,215.946
48.5067,214.483
49.9766,213.021
51.4465,211.558
52.9164,210.096
54.3863,208.633
55.8562,207.171
57.3261,205.708
58.796,204.246
60.2659,202.783
61.7358,201.321
63.2057,199.858
64.6756,198.396
66.1455,196.933
67.6154,195.471
69.0853,194.008
70.5552,192.545
72.0251,191.083
73.495,189.62
74.9649,188.158
76.4348,186.695
77.9047,185.233
79.3746,183.77
80.8445,182.308
82.3144,180.845
83.7843,179.383
85.2542,177.92
86.7241,176.458
88.194,174.995
89.6639,173.533
91.1338,172.07
92.6037,170.608
94.0736,169.145
95.5435,167.683
97.0134,166.22
98.4833,164.758
99.9532,163.295
101.423,161.833
102.893,160.371
104.363,158.908
105.833,157.446
107.303,155.983
108.773,154.521
110.242,153.059
111.712,151.597
113.182,150.134
114.652,148.672
116.122,147.21
117.592,145.748
119.062,144.287
120.532,142.825
122.002,141.363
123.472,139.902
124.941,138.441
126.411,136.979
127.881,135.519
129.351,134.058
130.821,132.598
132.291,131.138
133.761,129.678
135.231,128.218
136.701,126.759
138.171,125.301
139.64,123.843
141.11,122.385
142.58,120.928
144.05,119.472
145.52,118.017
146.99,116.562
148.46,115.108
149.93,113.655
151.4,112.202
152.87,110.751
154.339,109.301
155.809,107.853
157.279,106.405
158.749,104.959
160.219,103.514
161.689,102.071
163.159,100.63
164.629,99.1902
166.099,97.7525
167.569,96.3169
169.038,94.8833
170.508,93.452
171.978,92.0231
173.448,90.5967
174.918,89.173
176.388,87.752
177.858,86.334
179.328,84.919
180.798,83.5072
182.268,82.0988
183.737,80.6938
185.207,79.2925
186.677,77.8956
188.147,76.5033
189.617,75.1157
191.087,73.733
192.557,72.3555
194.027,70.9832
195.497,69.6164
196.967,68.2553
198.436,66.9
199.906,65.5507
201.376,64.2085
202.846,62.8736
204.316,61.5462
205.786,60.2264
207.256,58.9145
