PX, vold
0,291.941
1.4699,290.478
2.9398,289.016
4.4097,287.553
5.8796,286.091
7.3495,284.628
8.8194,283.165
10.2893,281.703
11.7592,280.24
13.2291,278.778
14.699,277.315
16.1689,275.853
17.6388,274.39
19.1087,272.928
20.5786,271.465
22.0485,270.003
23.5184,268.54
24.9883,267.078
26.4582,265.615
27.9281,264.153
29.398,262.69
30.8679,261.228
32.3378,259.765
33.8077,258.303
35.2776,256.84
36.7475,255.378
38.2174,253.915
39.6873,252.453
41.1572,250.99
42.6271,249.527
44.097,248.065
45.5669,246.602
47.0368,245.14
48.5067,243.677
49.9766,242.215
51.4465,240.752
52.9164,239.29
54.3863,237.827
55.8562,236.365
57.3261,234.902
58.796,233.44
60.2659,231.977
61.7358,230.515
63.2057,229.052
64.6756,227.59
66.1455,226.127
67.6154,224.665
69.0853,223.202
70.5552,221.74
72.0251,220.277
73.495,218.815
74.9649,217.352
76.4348,215.889
77.9047,214.427
79.3746,212.964
80.8445,211.502
82.3144,210.039
83.7843,208.577
85.2542,207.114
86.7241,205.652
88.194,204.189
89.6639,202.727
91.1338,201.264
92.6037,199.802
94.0736,198.339
95.5435,196.877
97.0134,195.414
98.4833,193.952
99.9532,192.489
101.423,191.027
102.893,189.564
104.363,188.102
105.833,186.639
107.303,185.177
108.773,183.714
110.242,182.252
111.712,180.789
113.182,179.327
114.652,177.864
116.122,176.401
117.592,174.939
119.062,173.477
120.532,172.014
122.002,170.552
123.472,169.089
124.941,167.627
126.411,166.164
127.881,164.702
129.351,163.239
130.821,161.777
132.291,160.315
133.761,158.852
135.231,157.39
136.701,155.928
138.171,154.465
139.64,153.003
141.11,151.541
142.58,150.079
144.05,148.617
145.52,147.155
146.99,145.693
148.46,144.231
149.93,142.769
151.4,141.307
152.87,139.846
154.339,138.384
155.809,136.923
157.279,135.462
158.749,134.001
160.219,132.54
161.689,131.079
163.159,129.619
164.629,128.159
166.099,126.699
167.569,125.239
169.038,123.78
170.508,122.321
171.978,120.862
173.448,119.404
174.918,117.946
176.388,116.489
177.858,115.032
179.328,113.575
180.798,112.119
182.268,110.664
183.737,109.209
185.207,107.755
186.677,106.302
188.147,104.849
189.617,103.398
191.087,101.947
192.557,100.498
194.027,99.0495
195.497,97.6023
196.967,96.1563
198.436,94.7116
199.906,93.2683
201.376,91.8266
202.846,90.3867
204.316,88.9485
205.786,87.5122
207.256,86.078
208.726,84.6458
210.196,83.2158
211.666,81.7881
213.135,80.3628
214.605,78.9399
216.075,77.52
217.545,76.103
219.015,74.6891
220.485,73.2785
221.955,71.8712
223.425,70.4674
224.895,69.0672
226.365,67.6707
227.834,66.278
229.304,64.8893
230.774,63.5044
232.244,62.1236
233.714,60.7468
235.184,59.3743
236.654,58.0061
238.124,56.6423
239.594,55.283
241.064,53.9284
242.533,52.5785
244.003,51.2335
245.473,49.8942
246.943,48.5609
248.413,47.2336
249.883,45.9125
251.353,44.5975
252.823,43.2889
254.293,41.9867
255.763,40.691
257.232,39.4018
258.702,38.1192
260.172,36.8479
261.642,35.5877
263.112,34.3389
264.582,33.1015
266.052,31.8756
267.522,30.6611
268.992,29.4583
270.462,28.2671
271.931,27.0874
273.401,25.9195
274.871,24.7739
276.341,23.6506
277.811,22.5497
279.281,21.4708
280.751,20.4139
282.221,19.3788
283.691,18.3652
285.161,17.373
286.63,16.402
288.1,15.4517
289.57,14.5376
291.04,13.6589
292.51,12.815
293.245,12.4058
294.715,11.6128
296.92,10.4852
298.39,9.77339
299.86,9.09271
301.329,8.44242
302.799,7.82176
304.269,7.24058
305.739,6.69775
307.209,6.19214
308.679,5.72265
310.149,5.28816
311.619,4.88757
313.089,4.51979
314.559,4.18374
316.028,3.87835
317.498,3.60256
318.968,3.34522
320.438,3.10572
321.908,2.88343
323.378,2.67774
324.848,2.48805
326.318,2.31375
327.788,2.15425
329.258,2.00897
330.727,1.87733
332.197,1.75876
333.667,1.64644
335.137,1.54009
336.607,1.43948
338.077,1.34434
339.547,1.25445
341.017,1.16956
342.487,1.08944
343.957,1.01387
345.426,0.942633
346.896,0.875508
348.366,0.81264
349.836,0.75381
351.306,0.698806
352.776,0.647424
354.246,0.599467
355.716,0.554745
357.186,0.513077
358.656,0.474287
360.125,0.438209
361.595,0.404683
363.065,0.373568
364.535,0.344719
366.005,0.317996
367.475,0.293266
368.945,0.270405
370.415,0.249293
371.885,0.229817
373.355,0.211872
374.824,0.195358
376.294,0.180181
377.764,0.16616
379.234,0.153221
380.704,0.141289
382.174,0.130297
383.644,0.120182
385.114,0.110883
386.584,0.102346
388.054,0.0945171
389.523,0.0873488
390.993,0.0807958
392.463,0.0747358
393.933,0.0691353
395.403,0.0639628
396.873,0.059189
398.343,0.0547864
399.813,0.0507294
401.283,0.0469943
402.753,0.043559
404.222,0.0404028
405.692,0.0375066
407.162,0.0348141
408.632,0.0323115
410.102,0.0299857
411.572,0.0278246
413.042,0.0258168
414.512,0.0239518
415.982,0.0222196
417.452,0.020611
418.921,0.0191174
420.391,0.0177307
421.861,0.0164434
423.331,0.0152485
424.801,0.0141396
426.271,0.0131105
427.741,0.0121555
429.211,0.0112695
430.681,0.0104475
432.151,0.00968502
433.62,0.0089777
435.09,0.00832166
436.56,0.0077132
438.03,0.00714893
439.5,0.00662567
440.97,0.00614046
442.44,0.00569057
443.91,0.00527345
445.38,0.00488674
446.85,0.00452823
448.319,0.00419589
449.789,0.00388782
451.259,0.00360226
452.729,0.00333757
454.199,0.00309225
455.669,0.00286488
457.139,0.00265416
458.609,0.00245887
460.079,0.0022779
461.549,0.00211019
463.018,0.00195479
464.488,0.00181079
465.958,0.00167735
467.428,0.00155372
468.898,0.00143917
470.368,0.00133303
471.838,0.00123469
473.308,0.00114359
474.778,0.00105919
476.248,0.000980992
477.717,0.000908552
479.187,0.000841446
480.657,0.00077928
482.127,0.000721694
483.597,0.00066835
485.067,0.000618938
486.537,0.000573168
488.007,0.000530773
489.477,0.000491505
490.947,0.000455133
492.416,0.000421446
493.886,0.000390245
495.356,0.000361347
496.826,0.000334583
498.296,0.000309796
499.766,0.00028684
501.236,0.000265581
502.706,0.000245892
504.176,0.00022766
505.646,0.000210775
507.115,0.000195138
508.585,0.000180659
510.055,0.00016725
511.525,0.000154833
512.995,0.000143336
514.465,0.000132689
515.935,0.00012283
517.405,0.000113701
518.875,0.000105247
520.345,9.74195e-05
521.814,9.01711e-05
523.284,8.34592e-05
524.754,7.7244e-05
526.224,7.14886e-05
527.694,6.61589e-05
529.164,6.12233e-05
530.634,5.66524e-05
532.104,5.24191e-05
533.574,4.84983e-05
535.044,4.48666e-05
536.513,4.15024e-05
537.983,3.83856e-05
539.453,3.54978e-05
540.923,3.28217e-05
542.393,3.03414e-05
543.863,2.80419e-05
545.333,2.59097e-05
546.803,2.3932e-05
548.273,2.2097e-05
549.743,2.03936e-05
551.213,1.88118e-05
552.682,1.7342e-05
554.152,1.59754e-05
555.622,1.47039e-05
557.092,1.35198e-05
558.562,1.2416e-05
560.032,1.13859e-05
561.502,1.04234e-05
