PX, vold
0,263.108
1.4861,261.656
2.9722,260.203
4.4583,258.751
5.9444,257.298
7.4305,255.845
8.9166,254.393
10.4027,252.94
11.8888,251.488
13.3749,250.035
14.861,248.582
16.3471,247.13
17.8332,245.677
19.3193,244.225
20.8054,242.772
22.2915,241.319
23.7776,239.867
25.2637,238.414
26.7498,236.962
28.2359,235.509
29.722,234.057
31.2081,232.604
32.6942,231.151
34.1803,229.699
35.6664,228.246
37.1525,226.794
38.6386,225.341
40.1247,223.888
41.6108,222.436
43.0969,220.983
44.583,219.531
46.0691,218.078
47.5552,216.626
49.0413,215.173
50.5274,213.72
52.0135,212.268
53.4996,210.815
54.9857,209.363
56.4718,207.91
57.9579,206.457
59.444,205.005
60.9301,203.552
62.4162,202.1
63.9023,200.647
65.3884,199.195
66.8745,197.742
68.3606,196.29
69.8467,194.837
71.3328,193.385
72.8189,191.932
74.305,190.48
75.7911,189.027
77.2772,187.575
78.7633,186.123
80.2494,184.671
81.7355,183.218
83.2216,181.766
84.7077,180.314
86.1938,178.862
87.6799,177.411
89.166,175.959
90.6521,174.508
92.1382,173.056
93.6243,171.605
95.1104,170.154
96.5965,168.704
98.0826,167.253
99.5687,165.803
101.055,164.353
102.541,162.904
104.027,161.455
105.513,160.006
106.999,158.558
108.485,157.11
109.971,155.663
111.457,154.217
112.944,152.771
114.43,151.326
115.916,149.881
117.402,148.437
118.888,146.994
120.374,145.552
121.86,144.111
123.346,142.671
124.832,141.232
126.318,139.794
127.805,138.358
129.291,136.922
130.777,135.488
132.263,134.055
133.749,132.624
135.235,131.194
136.721,129.765
138.207,128.339
139.693,126.914
141.179,125.491
142.666,124.07
144.152,122.65
145.638,121.233
147.124,119.818
148.61,118.405
150.096,116.994
151.582,115.586
153.068,114.18
154.554,112.777
156.04,111.376
157.527,109.978
159.013,108.583
160.499,107.19
161.985,105.8
163.471,104.414
164.957,103.03
166.443,101.65
167.929,100.273
169.415,98.8986
170.901,97.5281
172.388,96.161
173.874,94.7975
175.36,93.4375
176.846,92.0813
178.332,90.7288
179.818,89.3802
181.304,88.0355
182.79,86.6948
184.276,85.3581
185.762,84.0256
187.249,82.6973
188.735,81.3739
190.221,80.0555
191.707,78.7422
193.193,77.4341
194.679,76.1313
196.165,74.8338
197.651,73.5416
199.137,72.255
200.623,70.9739
202.11,69.6984
203.596,68.4296
205.082,67.1676
206.568,65.9125
208.054,64.6643
209.54,63.4231
211.026,62.189
212.512,60.9621
213.998,59.7423
215.484,58.5299
216.971,57.3248
218.457,56.1284
219.943,54.941
221.429,53.7624
222.915,52.5928
224.401,51.4322
225.887,50.2807
227.373,49.1383
228.859,48.005
230.345,46.8809
231.832,45.7659
233.318,44.6619
234.804,43.5688
236.29,42.4866
237.776,41.4153
239.262,40.3549
240.748,39.3054
242.234,38.2668
243.72,37.2391
245.206,36.2221
246.693,35.216
248.179,34.2206
249.665,33.2359
251.151,32.262
252.637,31.2986
254.123,30.3458
255.609,29.4034
257.095,28.4713
258.581,27.5495
260.067,26.6378
261.554,25.7361
263.04,24.8472
264.526,23.9709
266.012,23.107
266.755,22.6796
268.241,21.8339
270.47,20.5878
271.956,19.7715
273.442,18.9667
274.928,18.173
276.415,17.3903
277.901,16.6279
279.387,15.8854
280.873,15.1622
282.359,14.4578
283.845,13.7717
285.331,13.1034
286.817,12.4523
288.303,11.8179
289.789,11.1997
291.276,10.5971
292.762,10.022
294.248,9.47351
295.734,8.95049
297.22,8.45196
298.706,7.97695
300.192,7.52451
301.678,7.09373
303.164,6.68372
304.65,6.29364
306.137,5.92268
307.623,5.57357
309.109,5.2454
310.595,4.9373
312.081,4.64844
313.567,4.37803
315.053,4.12532
316.539,3.88959
318.025,3.67014
319.512,3.46634
320.998,3.27353
322.484,3.09132
323.97,2.91927
325.456,2.75701
326.942,2.60415
328.428,2.46032
329.914,2.32516
331.4,2.19833
