PX, vold, uold, vold vol up, uold vol up,vega
0,5.20E-16,5.20417E-16,-1.77E-16,-1.77E-16,0.000%
1.4861,0.00465909,0.00465909,0.00465909,0.00465909,0.000%
2.9722,0.00931819,0.00931819,0.00931819,0.00931819,0.000%
4.4583,0.0139773,0.0139773,0.0139773,0.0139773,0.000%
5.9444,0.0186364,0.0186364,0.0186364,0.0186364,0.000%
7.4305,0.0232955,0.0232955,0.0232955,0.0232955,0.000%
8.9166,0.0279546,0.0279546,0.0279546,0.0279546,0.000%
10.4027,0.0326137,0.0326137,0.0326137,0.0326137,0.000%
11.8888,0.0372728,0.0372728,0.0372728,0.0372728,0.000%
13.3749,0.0419319,0.0419319,0.0419319,0.0419319,0.000%
14.861,0.0465909,0.0465909,0.0465909,0.0465909,0.000%
16.3471,0.05125,0.05125,0.05125,0.05125,0.000%
17.8332,0.0559091,0.0559091,0.0559091,0.0559091,0.000%
19.3193,0.0605682,0.0605682,0.0605682,0.0605682,0.000%
20.8054,0.0652273,0.0652273,0.0652273,0.0652273,0.000%
22.2915,0.0698864,0.0698864,0.0698864,0.0698864,0.000%
23.7776,0.0745455,0.0745455,0.0745455,0.0745455,0.000%
25.2637,0.0792046,0.0792046,0.0792046,0.0792046,0.000%
26.7498,0.0838637,0.0838637,0.0838637,0.0838637,0.000%
28.2359,0.0885228,0.0885228,0.0885228,0.0885228,0.000%
29.722,0.0931819,0.0931819,0.093182,0.093182,0.000%
31.2081,0.097841,0.097841,0.0978411,0.0978411,0.000%
32.6942,0.1025,0.1025,0.1025,0.1025,0.000%
34.1803,0.107159,0.107159,0.107159,0.107159,0.000%
35.6664,0.111818,0.111818,0.111819,0.111819,0.000%
37.1525,0.116478,0.116478,0.116478,0.116478,0.000%
38.6386,0.121137,0.121137,0.121137,0.121137,0.000%
40.1247,0.125796,0.125796,0.125797,0.125797,0.000%
41.6108,0.130456,0.130456,0.130457,0.130457,0.000%
43.0969,0.135115,0.135115,0.135116,0.135116,0.000%
44.583,0.139775,0.139775,0.139777,0.139777,0.000%
46.0691,0.144435,0.144435,0.144437,0.144437,0.000%
47.5552,0.149095,0.149095,0.149098,0.149098,0.000%
49.0413,0.153755,0.153755,0.153759,0.153759,0.000%
50.5274,0.158416,0.158416,0.15842,0.15842,0.000%
52.0135,0.163077,0.163077,0.163082,0.163082,0.001%
53.4996,0.167739,0.167739,0.167745,0.167745,0.001%
54.9857,0.172401,0.172401,0.172409,0.172409,0.001%
56.4718,0.177064,0.177064,0.177073,0.177073,0.001%
57.9579,0.181727,0.181727,0.181739,0.181739,0.001%
59.444,0.186392,0.186392,0.186405,0.186405,0.001%
60.9301,0.191057,0.191057,0.191073,0.191073,0.002%
62.4162,0.195723,0.195723,0.195743,0.195743,0.002%
63.9023,0.200391,0.200391,0.200413,0.200413,0.002%
65.3884,0.20506,0.20506,0.205086,0.205086,0.003%
66.8745,0.209731,0.209731,0.209761,0.209761,0.003%
68.3606,0.214403,0.214403,0.214437,0.214437,0.003%
69.8467,0.219078,0.219078,0.219116,0.219116,0.004%
71.3328,0.223754,0.223754,0.223798,0.223798,0.004%
72.8189,0.228433,0.228433,0.228482,0.228482,0.005%
74.305,0.233114,0.233114,0.233169,0.233169,0.005%
75.7911,0.237797,0.237797,0.237859,0.237859,0.006%
77.2772,0.242484,0.242484,0.242553,0.242553,0.007%
78.7633,0.247174,0.247174,0.247249,0.247249,0.007%
80.2494,0.251867,0.251867,0.25195,0.25195,0.008%
81.7355,0.256563,0.256563,0.256655,0.256655,0.009%
83.2216,0.261263,0.261263,0.261363,0.261363,0.010%
84.7077,0.265967,0.265967,0.266076,0.266076,0.011%
86.1938,0.270675,0.270675,0.270794,0.270794,0.012%
87.6799,0.275388,0.275388,0.275517,0.275517,0.013%
89.166,0.280105,0.280105,0.280244,0.280244,0.014%
90.6521,0.284827,0.284827,0.284976,0.284976,0.015%
92.1382,0.289554,0.289554,0.289714,0.289714,0.016%
93.6243,0.294286,0.294286,0.294458,0.294458,0.017%
95.1104,0.299024,0.299024,0.299207,0.299207,0.018%
96.5965,0.303767,0.303767,0.303962,0.303962,0.020%
98.0826,0.308517,0.308517,0.308723,0.308723,0.021%
99.5687,0.313272,0.313272,0.313491,0.313491,0.022%
101.055,0.318033,0.318033,0.318265,0.318265,0.023%
102.541,0.322801,0.322801,0.323045,0.323045,0.024%
104.027,0.327576,0.327576,0.327832,0.327832,0.026%
105.513,0.332357,0.332357,0.332626,0.332626,0.027%
106.999,0.337145,0.337145,0.337426,0.337426,0.028%
108.485,0.34194,0.34194,0.342234,0.342234,0.029%
109.971,0.346742,0.346742,0.347049,0.347049,0.031%
111.457,0.351551,0.351551,0.351871,0.351871,0.032%
112.944,0.356368,0.356368,0.3567,0.3567,0.033%
114.43,0.361193,0.361193,0.361536,0.361536,0.034%
115.916,0.366025,0.366025,0.36638,0.36638,0.035%
117.402,0.370864,0.370864,0.371232,0.371232,0.037%
118.888,0.375712,0.375712,0.37609,0.37609,0.038%
120.374,0.380567,0.380567,0.380956,0.380956,0.039%
121.86,0.38543,0.38543,0.38583,0.38583,0.040%
123.346,0.390301,0.390301,0.390711,0.390711,0.041%
124.832,0.39518,0.39518,0.395599,0.395599,0.042%
126.318,0.400067,0.400067,0.400495,0.400495,0.043%
127.805,0.404962,0.404962,0.405398,0.405398,0.044%
129.291,0.409865,0.409865,0.410309,0.410309,0.044%
130.777,0.414776,0.414776,0.415227,0.415227,0.045%
132.263,0.419694,0.419694,0.420152,0.420152,0.046%
133.749,0.424621,0.424621,0.425084,0.425084,0.046%
135.235,0.429555,0.429555,0.430023,0.430023,0.047%
136.721,0.434497,0.434497,0.434969,0.434969,0.047%
138.207,0.439447,0.439447,0.439922,0.439922,0.048%
139.693,0.444404,0.444404,0.444882,0.444882,0.048%
141.179,0.449369,0.449369,0.449848,0.449848,0.048%
142.666,0.454341,0.454341,0.454821,0.454821,0.048%
144.152,0.459321,0.459321,0.4598,0.4598,0.048%
145.638,0.464308,0.464308,0.464786,0.464786,0.048%
147.124,0.469302,0.469302,0.469777,0.469777,0.048%
148.61,0.474302,0.474302,0.474775,0.474775,0.047%
150.096,0.47931,0.47931,0.479778,0.479778,0.047%
151.582,0.484324,0.484324,0.484786,0.484786,0.046%
153.068,0.489345,0.489345,0.489801,0.489801,0.046%
